V_sipm	I_sipm	R_rtd
0.01	-1.10513e-09	981.3704
0.02	-8.54039e-10	981.4057
0.03	-9.48656e-10	981.3962
0.04	-5.87475e-10	981.4089
0.05	-9.15623e-10	981.412
0.06	-9.36759e-10	981.3683
0.07	-1.24242e-09	981.3757
0.08	-8.91137e-10	981.3705
0.09	-9.5551e-10	981.361
0.1	-1.20835e-09	981.3652
0.11	-1.06343e-09	981.3585
0.12	-7.86173e-10	981.3613
0.13	-8.74579e-10	981.3682
0.14	-9.24933e-10	981.3595
0.15	-2.23458e-10	981.3431
0.16	-6.71732e-10	981.3677
0.17	-7.11632e-10	981.3458
0.18	-5.13446e-10	981.3572
0.19	-2.94745e-10	981.3311
0.2	-5.35488e-11	981.3535
0.21	3.38852e-10	981.3359
0.22	9.09722e-10	981.3422
0.23	1.19646e-09	981.3444
0.24	2.03913e-09	981.3453
0.25	3.0419e-09	981.327
0.26	4.72342e-09	981.3388
0.27	5.99321e-09	981.3276
0.28	8.30057e-09	981.3208
0.29	1.09921e-08	981.309
0.3	1.41626e-08	981.3139
0.31	1.98452e-08	981.3121
0.32	2.65963e-08	981.3123
0.33	3.52241e-08	981.3121
0.34	4.72605e-08	981.3017
0.35	6.33637e-08	981.3045
0.36	8.47009e-08	981.2924
0.37	1.14588e-07	981.2947
0.38	1.5557e-07	981.3033
0.39	2.12782e-07	981.3004
0.4	2.93395e-07	981.2757
0.41	4.0667e-07	981.2882
0.42	5.68096e-07	981.2912
0.43	8.00235e-07	981.2714
0.44	1.13448e-06	981.2742
0.45	1.62135e-06	981.2794
0.46	2.33018e-06	981.2811
0.47	3.37427e-06	981.2743
0.48	4.90668e-06	981.2615
0.49	7.17862e-06	981.2684
0.5	1.05209e-05	981.2538
0.51	1.54819e-05	981.2321
0.52	2.28375e-05	981.2835
0.53	3.36238e-05	981.2363
0.54	4.94344e-05	981.2494
0.55	7.22058e-05	981.2312
0.56	0.000104716	981.2356
0.57	0.000149809	981.2412
0.58	0.00021123	981.2297
0.59	0.000291627	981.235
0.6	0.000394222	981.2458
0.61	0.000519645	981.2122
0.62	0.000668508	981.2269
0.63	0.000840678	981.2123
0.64	0.00103386	981.2114
0.65	0.00124656	981.2214
0.66	0.00147559	981.2157
0.67	0.00172078	981.1976
0.68	0.00197817	981.1916
0.69	0.00224823	981.1975
0.7	0.00252716	981.2104
0.71	0.00281529	981.1993
0.72	0.00311207	981.1807
0.73	0.00341501	981.2056
0.74	0.00372496	981.1779
0.75	0.00403926	981.1943
0.76	0.00435945	981.1869
0.77	0.00468314	981.1814
0.78	0.00501197	981.1977
0.79	0.00534371	981.1647
0.8	0.00567945	981.1975
0.81	0.00601707	981.1572
0.82	0.00635756	981.1619
0.83	0.00670184	981.1714
0.84	0.00704722	981.155
0.85	0.00739574	981.1539
0.86	0.0077454	981.1749
0.87	0.00809821	981.1566
0.88	0.00845107	981.1554
0.89	0.00880725	981.1699
0.9	0.0091635	981.1342
0.91	0.00952117	981.1576
0.92	0.00988142	981.1507
0.93	0.0102412	981.1541
0.94	0.0106039	981.141
0.95	0.0109664	981.1393
0.96	0.0113308	981.142
0.97	0.0116951	981.1397
0.98	0.0120615	981.1576
0.99	0.0124271	981.1458
1.0	0.0127903	981.1306
