V_sipm	I_sipm	R_rtd
20.0	-9.51953e-09	982.454
20.1	4.43599e-09	982.4737
20.2	2.45712e-09	982.437
20.3	3.81355e-09	982.4454
20.4	3.95932e-09	982.4641
20.5	5.21438e-09	982.4489
20.6	4.19296e-09	982.4631
20.7	3.96736e-09	982.4648
20.8	3.97038e-09	982.4564
20.9	5.2371e-09	982.4515
21.0	3.9094e-09	982.479
21.1	4.36394e-09	982.4869
21.2	4.91261e-09	982.4892
21.3	2.2797e-09	982.4855
21.4	4.3506e-09	982.4958
21.5	4.77507e-09	982.5029
21.6	3.86754e-09	982.4962
21.7	4.02379e-09	982.4745
21.8	4.42811e-09	982.4946
21.9	4.65513e-09	982.4966
22.0	3.99494e-09	982.525
22.1	4.89606e-09	982.5145
22.2	4.59422e-09	982.5301
22.3	3.92255e-09	982.5343
22.4	2.57207e-09	982.5083
22.5	4.08504e-09	982.5266
22.6	4.09917e-09	982.5142
22.7	4.25425e-09	982.5184
22.8	3.89694e-09	982.5373
22.9	4.06173e-09	982.5331
23.0	4.20117e-09	982.5513
23.1	3.93642e-09	982.5433
23.2	4.10824e-09	982.5574
23.3	4.25419e-09	982.5342
23.4	2.70033e-09	982.5312
23.5	4.10663e-09	982.5378
23.6	4.9193e-09	982.5626
23.7	5.14185e-09	982.555
23.8	4.23683e-09	982.5539
23.9	4.31935e-09	982.564
24.0	5.05306e-09	982.5677
24.1	6.37726e-09	982.5797
24.2	6.92637e-09	982.5764
24.3	3.19516e-08	982.5736
24.4	2.22489e-07	982.5906
24.5	6.16135e-07	982.5758
24.6	1.16802e-06	982.5934
24.7	1.89615e-06	982.5979
24.8	2.75908e-06	982.6
24.9	3.78053e-06	982.5761
25.0	4.90883e-06	982.5788
25.1	6.14872e-06	982.5652
25.2	7.55336e-06	982.6107
25.3	9.02175e-06	982.6093
25.4	1.06517e-05	982.6105
25.5	1.23218e-05	982.6001
25.6	1.41623e-05	982.6219
25.7	1.59876e-05	982.6157
25.8	1.79803e-05	982.599
25.9	2.00525e-05	982.6277
26.0	2.21457e-05	982.6184
26.1	2.44288e-05	982.6359
26.2	2.67308e-05	982.6352
26.3	2.92189e-05	982.6169
26.4	3.16658e-05	982.6317
26.5	3.42101e-05	982.6181
26.6	3.68313e-05	982.6403
26.7	3.95935e-05	982.6378
26.8	4.2379e-05	982.6766
26.9	4.51984e-05	982.6494
27.0	4.8221e-05	982.6644
27.1	5.12341e-05	982.6333
27.2	5.45474e-05	982.6457
27.3	5.77546e-05	982.6682
27.4	6.11878e-05	982.6738
27.5	6.44641e-05	982.6831
27.6	6.80995e-05	982.6931
27.7	7.1582e-05	982.6793
27.8	7.5424e-05	982.6725
27.9	7.92909e-05	982.6964
28.0	8.31572e-05	982.6864
28.1	8.7311e-05	982.7181
28.2	9.14638e-05	982.7081
28.3	9.58688e-05	982.7132
28.4	0.000100341	982.7251
28.5	0.000104961	982.6998
28.6	0.00010988	982.7222
28.7	0.000114809	982.7059
28.8	0.000119877	982.7169
28.9	0.00012513	982.7225
29.0	0.000130535	982.7014
29.1	0.000136173	982.7171
29.2	0.000142103	982.7296
29.3	0.000148247	982.7357
29.4	0.000154522	982.7047
29.5	0.000161107	982.7415
29.6	0.000168238	982.7392
29.7	0.000175169	982.7673
29.8	0.000182518	982.7781
29.9	0.000190573	982.7625
