V_sipm	I_sipm	R_rtd
20.0	-8.37191e-09	1093.924
20.1	8.19389e-09	1093.911
20.2	7.87557e-09	1093.931
20.3	6.84265e-09	1093.919
20.4	7.06718e-09	1093.931
20.5	5.91316e-09	1093.934
20.6	7.76182e-09	1093.906
20.7	7.13626e-09	1093.92
20.8	7.16504e-09	1093.932
20.9	7.52937e-09	1093.93
21.0	8.08452e-09	1093.926
21.1	8.05266e-09	1093.934
21.2	7.04572e-09	1093.922
21.3	7.74256e-09	1093.922
21.4	8.28782e-09	1093.922
21.5	7.91856e-09	1093.94
21.6	5.943e-09	1093.934
21.7	7.54162e-09	1093.926
21.8	8.68748e-09	1093.922
21.9	7.78211e-09	1093.925
22.0	7.37817e-09	1093.928
22.1	7.51524e-09	1093.926
22.2	8.02761e-09	1093.916
22.3	8.93031e-09	1093.919
22.4	7.45232e-09	1093.914
22.5	7.85909e-09	1093.909
22.6	8.21646e-09	1093.934
22.7	7.0646e-09	1093.93
22.8	7.70356e-09	1093.93
22.9	8.11045e-09	1093.922
23.0	8.48807e-09	1093.916
23.1	8.26666e-09	1093.918
23.2	8.08539e-09	1093.917
23.3	8.32255e-09	1093.933
23.4	9.77466e-09	1093.925
23.5	8.57794e-09	1093.923
23.6	8.66504e-09	1093.902
23.7	7.70777e-09	1093.91
23.8	1.0359e-08	1093.902
23.9	9.21837e-09	1093.913
24.0	9.85252e-09	1093.919
24.1	1.01517e-08	1093.907
24.2	1.0246e-08	1093.885
24.3	1.13764e-08	1093.899
24.4	1.33897e-08	1093.92
24.5	1.36135e-08	1093.929
24.6	1.7291e-08	1093.931
24.7	3.12255e-08	1093.924
24.8	1.70135e-07	1093.931
24.9	1.50457e-06	1093.899
25.0	4.44133e-06	1093.906
25.1	8.75933e-06	1093.893
25.2	1.46165e-05	1093.918
25.3	2.14645e-05	1093.915
25.4	2.97391e-05	1093.901
25.5	3.87686e-05	1093.889
25.6	4.92021e-05	1093.909
25.7	6.01943e-05	1093.901
25.8	7.24849e-05	1093.872
25.9	8.5118e-05	1093.89
26.0	9.86714e-05	1093.907
26.1	0.000113396	1093.889
26.2	0.00012843	1093.912
26.3	0.000144751	1093.89
26.4	0.000160948	1093.892
26.5	0.000178606	1093.921
26.6	0.000196395	1093.891
26.7	0.000215111	1093.89
26.8	0.000233932	1093.899
26.9	0.000253605	1093.878
27.0	0.000274636	1093.879
27.1	0.000295217	1093.908
27.2	0.000317364	1093.897
27.3	0.000339741	1093.871
27.4	0.000363312	1093.884
27.5	0.000386603	1093.877
27.6	0.00041146	1093.88
27.7	0.000436147	1093.864
27.8	0.000462419	1093.87
27.9	0.000488658	1093.877
28.0	0.000515693	1093.888
28.1	0.000544515	1093.882
28.2	0.000573687	1093.883
28.3	0.000603846	1093.876
28.4	0.000635216	1093.895
28.5	0.000666923	1093.896
28.6	0.000699723	1093.894
28.7	0.000734161	1093.898
28.8	0.000768621	1093.902
28.9	0.000803748	1093.88
29.0	0.000840835	1093.882
29.1	0.000879732	1093.881
29.2	0.000919591	1093.893
29.3	0.000960253	1093.88
29.4	0.00100518	1093.915
29.5	0.00104886	1093.882
29.6	0.00109419	1093.895
29.7	0.00114171	1093.891
29.8	0.00119068	1093.887
29.9	0.00124334	1093.891
