V_sipm	I_sipm	R_rtd
0.01	-1.06466e-09	996.9894
0.02	-1.05106e-09	996.9923
0.03	-1.02082e-09	996.9803
0.04	-9.22394e-10	996.9827
0.05	-1.28815e-09	996.985
0.06	-5.96702e-10	996.9629
0.07	-9.20188e-10	996.9761
0.08	-1.11068e-09	996.9729
0.09	-1.0587e-09	996.9753
0.1	-9.03273e-10	996.9882
0.11	-1.02577e-09	996.9601
0.12	-9.51231e-10	996.9752
0.13	-9.20033e-10	996.9518
0.14	-8.22771e-10	996.9823
0.15	-9.95565e-10	996.9599
0.16	-7.71773e-10	996.9667
0.17	-9.79662e-11	996.9512
0.18	-8.44312e-10	996.9761
0.19	-4.97055e-10	996.959
0.2	-7.5531e-11	996.9531
0.21	-1.8611e-10	996.9396
0.22	3.10862e-10	996.9304
0.23	1.02293e-09	996.9342
0.24	1.5204e-09	996.9487
0.25	1.99443e-09	996.9384
0.26	3.28839e-09	996.9341
0.27	4.6805e-09	996.9076
0.28	6.79512e-09	996.9286
0.29	8.83977e-09	996.9333
0.3	1.20365e-08	996.9262
0.31	1.60701e-08	996.905
0.32	2.1587e-08	996.9142
0.33	2.89404e-08	996.9445
0.34	3.84715e-08	996.9028
0.35	5.18117e-08	996.8959
0.36	6.98345e-08	996.8912
0.37	9.35223e-08	996.9255
0.38	1.27318e-07	996.902
0.39	1.73917e-07	996.903
0.4	2.39413e-07	996.8984
0.41	3.31913e-07	996.895
0.42	4.63359e-07	996.8862
0.43	6.52761e-07	996.8862
0.44	9.25754e-07	996.8926
0.45	1.32473e-06	996.8935
0.46	1.90623e-06	996.8686
0.47	2.76467e-06	996.8727
0.48	4.02844e-06	996.8792
0.49	5.90805e-06	996.8846
0.5	8.6903e-06	996.8925
0.51	1.28142e-05	996.8798
0.52	1.89728e-05	996.8766
0.53	2.80617e-05	996.8715
0.54	4.14805e-05	996.8644
0.55	6.09853e-05	996.8723
0.56	8.91087e-05	996.8417
0.57	0.000128589	996.8672
0.58	0.000183136	996.8555
0.59	0.000255644	996.8653
0.6	0.000349543	996.8715
0.61	0.000466086	996.867
0.62	0.000606307	996.8448
0.63	0.000770385	996.831
0.64	0.000955692	996.8605
0.65	0.00116195	996.8309
0.66	0.0013854	996.8363
0.67	0.00162546	996.8329
0.68	0.00187848	996.8456
0.69	0.0021447	996.823
0.7	0.0024204	996.8364
0.71	0.00270563	996.8415
0.72	0.00299983	996.852
0.73	0.00330031	996.843
0.74	0.00360824	996.8266
0.75	0.00392075	996.8297
0.76	0.00423952	996.8334
0.77	0.00456178	996.8293
0.78	0.00488939	996.8336
0.79	0.00521942	996.8503
0.8	0.00555418	996.8138
0.81	0.00589053	996.8461
0.82	0.00622997	996.8245
0.83	0.00657318	996.813
0.84	0.00691754	996.8167
0.85	0.00726515	996.827
0.86	0.00761389	996.8236
0.87	0.00796566	996.835
0.88	0.00831778	996.804
0.89	0.0086728	996.8373
0.9	0.00902832	996.8303
0.91	0.00938511	996.8264
0.92	0.00974451	996.8369
0.93	0.0101035	996.8251
0.94	0.0104653	996.8208
0.95	0.010827	996.8079
0.96	0.0111907	996.8087
0.97	0.0115541	996.8145
0.98	0.0119201	996.8339
0.99	0.0122849	996.8114
1.0	0.0126478	996.8292
