V_sipm	I_sipm	R_rtd
0.01	-1.06633e-09	1091.94
0.02	-8.86309e-10	1091.967
0.03	-9.55486e-10	1091.954
0.04	-1.15243e-09	1091.932
0.05	-8.83639e-10	1091.938
0.06	-7.25842e-10	1091.962
0.07	-9.31096e-10	1091.949
0.08	-1.07183e-09	1091.949
0.09	-6.11365e-10	1091.961
0.1	-3.67653e-10	1091.935
0.11	-7.1342e-10	1091.968
0.12	-7.62153e-10	1091.952
0.13	3.21162e-10	1091.947
0.14	6.84285e-10	1091.963
0.15	1.2634e-09	1091.959
0.16	1.58812e-09	1091.958
0.17	2.6919e-09	1091.953
0.18	3.60675e-09	1091.939
0.19	4.31181e-09	1091.954
0.2	7.14374e-09	1091.956
0.21	9.4094e-09	1091.961
0.22	1.18592e-08	1091.949
0.23	1.5245e-08	1091.955
0.24	2.15224e-08	1091.94
0.25	2.82224e-08	1091.954
0.26	3.73475e-08	1091.951
0.27	4.93113e-08	1091.942
0.28	6.51446e-08	1091.949
0.29	8.60136e-08	1091.968
0.3	1.14274e-07	1091.957
0.31	1.52366e-07	1091.95
0.32	2.04493e-07	1091.952
0.33	2.75631e-07	1091.955
0.34	3.74142e-07	1091.973
0.35	5.10208e-07	1091.946
0.36	7.00654e-07	1091.947
0.37	9.66617e-07	1091.943
0.38	1.34314e-06	1091.946
0.39	1.87393e-06	1091.944
0.4	2.63158e-06	1091.948
0.41	3.70822e-06	1091.951
0.42	5.2485e-06	1091.95
0.43	7.46391e-06	1091.956
0.44	1.06216e-05	1091.933
0.45	1.5194e-05	1091.957
0.46	2.17188e-05	1091.952
0.47	3.10839e-05	1091.962
0.48	4.43537e-05	1091.947
0.49	6.31356e-05	1091.948
0.5	8.92462e-05	1091.957
0.51	0.000125116	1091.953
0.52	0.000173596	1091.96
0.53	0.000237274	1091.943
0.54	0.000319216	1091.938
0.55	0.000421013	1091.947
0.56	0.000544724	1091.968
0.57	0.000689762	1091.964
0.58	0.000856786	1091.961
0.59	0.00104362	1091.961
0.6	0.00124981	1091.95
0.61	0.0014721	1091.95
0.62	0.00170962	1091.971
0.63	0.00196143	1091.959
0.64	0.00222448	1091.949
0.65	0.00249916	1091.938
0.66	0.00278234	1091.958
0.67	0.00307488	1091.962
0.68	0.00337369	1091.953
0.69	0.00368053	1091.959
0.7	0.00399188	1091.936
0.71	0.00430879	1091.945
0.72	0.00463165	1091.946
0.73	0.00495777	1091.953
0.74	0.00528903	1091.971
0.75	0.00562293	1091.946
0.76	0.00596142	1091.959
0.77	0.0063016	1091.967
0.78	0.00664601	1091.955
0.79	0.00699194	1091.965
0.8	0.00734135	1091.948
0.81	0.00769164	1091.969
0.82	0.0080443	1091.949
0.83	0.00840008	1091.968
0.84	0.00875656	1091.959
0.85	0.00911585	1091.946
0.86	0.00947571	1091.959
0.87	0.00983812	1091.96
0.88	0.0102002	1091.943
0.89	0.0105656	1091.949
0.9	0.010931	1091.958
0.91	0.0112975	1091.955
0.92	0.0116662	1091.953
0.93	0.0120349	1091.944
0.94	0.0124059	1091.95
0.95	0.0127766	1091.942
0.96	0.013149	1091.951
0.97	0.0135214	1091.958
0.98	0.0138959	1091.953
0.99	0.0142689	1091.947
1.0	0.01464	1091.952
