V_sipm	I_sipm	R_rtd
20.0	-7.7008e-09	1091.747
20.1	7.68282e-09	1091.736
20.2	5.86264e-09	1091.743
20.3	6.35166e-09	1091.746
20.4	7.66548e-09	1091.759
20.5	6.37004e-09	1091.745
20.6	5.93017e-09	1091.741
20.7	5.97553e-09	1091.745
20.8	7.17553e-09	1091.757
20.9	6.37904e-09	1091.766
21.0	5.95661e-09	1091.759
21.1	6.66251e-09	1091.748
21.2	7.90314e-09	1091.747
21.3	7.66307e-09	1091.737
21.4	6.683e-09	1091.749
21.5	6.27904e-09	1091.734
21.6	7.65213e-09	1091.738
21.7	8.17364e-09	1091.742
21.8	5.58895e-09	1091.741
21.9	6.33494e-09	1091.759
22.0	7.49847e-09	1091.742
22.1	8.29686e-09	1091.724
22.2	7.43183e-09	1091.73
22.3	6.52012e-09	1091.73
22.4	6.68874e-09	1091.74
22.5	7.74882e-09	1091.727
22.6	7.68722e-09	1091.743
22.7	6.78555e-09	1091.735
22.8	6.83203e-09	1091.761
22.9	7.33082e-09	1091.733
23.0	7.71992e-09	1091.742
23.1	7.0935e-09	1091.736
23.2	7.09548e-09	1091.735
23.3	8.33459e-09	1091.735
23.4	9.02926e-09	1091.724
23.5	8.32462e-09	1091.734
23.6	7.80593e-09	1091.731
23.7	8.8575e-09	1091.74
23.8	9.59605e-09	1091.739
23.9	8.82531e-09	1091.731
24.0	7.58162e-09	1091.709
24.1	9.67342e-09	1091.714
24.2	1.06379e-08	1091.737
24.3	1.03619e-08	1091.732
24.4	1.09385e-08	1091.717
24.5	1.29869e-08	1091.713
24.6	1.72013e-08	1091.705
24.7	3.29538e-08	1091.723
24.8	2.22478e-07	1091.732
24.9	1.73253e-06	1091.724
25.0	4.74764e-06	1091.716
25.1	9.10401e-06	1091.725
25.2	1.49333e-05	1091.733
25.3	2.17337e-05	1091.713
25.4	2.98889e-05	1091.712
25.5	3.88151e-05	1091.721
25.6	4.90884e-05	1091.726
25.7	5.98397e-05	1091.71
25.8	7.18843e-05	1091.698
25.9	8.42802e-05	1091.721
26.0	9.74961e-05	1091.701
26.1	0.000111905	1091.706
26.2	0.000126443	1091.708
26.3	0.000142377	1091.699
26.4	0.00015836	1091.72
26.5	0.000175455	1091.718
26.6	0.000192713	1091.708
26.7	0.000211042	1091.72
26.8	0.000229647	1091.697
26.9	0.000248576	1091.696
27.0	0.000268931	1091.706
27.1	0.000289311	1091.715
27.2	0.000310986	1091.702
27.3	0.000332671	1091.683
27.4	0.000355939	1091.698
27.5	0.000378899	1091.693
27.6	0.00040291	1091.698
27.7	0.000427117	1091.697
27.8	0.000452958	1091.696
27.9	0.000478544	1091.701
28.0	0.000504538	1091.7
28.1	0.000532673	1091.689
28.2	0.000560571	1091.707
28.3	0.000590348	1091.697
28.4	0.000619404	1091.684
28.5	0.000650839	1091.676
28.6	0.000682191	1091.677
28.7	0.000715909	1091.682
28.8	0.000749697	1091.692
28.9	0.000783978	1091.7
29.0	0.000820957	1091.689
29.1	0.00085809	1091.688
29.2	0.000897212	1091.683
29.3	0.000937534	1091.684
29.4	0.000979687	1091.685
29.5	0.0010227	1091.676
29.6	0.00106838	1091.682
29.7	0.00111567	1091.688
29.8	0.00116279	1091.668
29.9	0.00121417	1091.704
