V_sipm	I_sipm	R_rtd
20.0	-6.39905e-09	1076.152
20.1	9.60596e-09	1076.131
20.2	6.38911e-09	1076.107
20.3	2.98479e-09	1076.136
20.4	7.34198e-09	1076.128
20.5	6.25365e-09	1076.127
20.6	5.12786e-09	1076.131
20.7	5.47893e-09	1076.14
20.8	6.6833e-09	1076.136
20.9	7.36225e-09	1076.121
21.0	5.89039e-09	1076.113
21.1	5.92097e-09	1076.124
21.2	5.19929e-09	1076.12
21.3	5.82954e-09	1076.127
21.4	3.30367e-09	1076.127
21.5	6.69632e-09	1076.122
21.6	7.50869e-09	1076.111
21.7	5.97993e-09	1076.134
21.8	5.35318e-09	1076.115
21.9	5.95979e-09	1076.138
22.0	6.98298e-09	1076.137
22.1	7.53627e-09	1076.138
22.2	7.60909e-09	1076.14
22.3	6.05333e-09	1076.129
22.4	5.60344e-09	1076.14
22.5	3.53254e-09	1076.137
22.6	5.81501e-09	1076.127
22.7	7.11221e-09	1076.131
22.8	7.87426e-09	1076.126
22.9	6.50327e-09	1076.125
23.0	5.82545e-09	1076.136
23.1	6.36438e-09	1076.137
23.2	7.44667e-09	1076.156
23.3	7.61128e-09	1076.13
23.4	7.87656e-09	1076.135
23.5	6.5582e-09	1076.143
23.6	4.33452e-09	1076.145
23.7	6.38986e-09	1076.147
23.8	7.05093e-09	1076.138
23.9	8.55237e-09	1076.14
24.0	8.44955e-09	1076.135
24.1	7.44596e-09	1076.138
24.2	7.80177e-09	1076.141
24.3	9.52715e-09	1076.148
24.4	1.01877e-08	1076.137
24.5	1.3202e-08	1076.12
24.6	2.01665e-08	1076.115
24.7	1.12248e-07	1076.146
24.8	9.63127e-07	1076.144
24.9	3.00291e-06	1076.139
25.0	5.94296e-06	1076.133
25.1	9.75977e-06	1076.121
25.2	1.4612e-05	1076.138
25.3	2.00321e-05	1076.144
25.4	2.64087e-05	1076.131
25.5	3.32883e-05	1076.127
25.6	4.10371e-05	1076.129
25.7	4.91359e-05	1076.145
25.8	5.80782e-05	1076.163
25.9	6.73551e-05	1076.152
26.0	7.70345e-05	1076.154
26.1	8.75943e-05	1076.158
26.2	9.83678e-05	1076.148
26.3	0.000109872	1076.143
26.4	0.000121545	1076.145
26.5	0.000133975	1076.155
26.6	0.000146561	1076.161
26.7	0.000160032	1076.168
26.8	0.000173186	1076.161
26.9	0.000187283	1076.153
27.0	0.000201922	1076.158
27.1	0.000216499	1076.146
27.2	0.000232471	1076.154
27.3	0.000248134	1076.155
27.4	0.000264948	1076.129
27.5	0.000281199	1076.149
27.6	0.000298942	1076.152
27.7	0.000316183	1076.146
27.8	0.000334975	1076.148
27.9	0.000353724	1076.146
28.0	0.000372857	1076.148
28.1	0.000393024	1076.156
28.2	0.00041264	1076.164
28.3	0.000434778	1076.153
28.4	0.000456478	1076.18
28.5	0.000479209	1076.153
28.6	0.000502437	1076.163
28.7	0.000527167	1076.167
28.8	0.000551612	1076.163
28.9	0.000576355	1076.156
29.0	0.000603572	1076.169
29.1	0.00063034	1076.165
29.2	0.000659587	1076.162
29.3	0.000688799	1076.178
29.4	0.00072055	1076.168
29.5	0.000751184	1076.166
29.6	0.000785038	1076.173
29.7	0.000818446	1076.156
29.8	0.000853564	1076.166
29.9	0.000891641	1076.172
