V_sipm	I_sipm	R_rtd
0.01	-1.10376e-09	976.5839
0.02	-8.11982e-10	976.582
0.03	-8.83579e-10	976.5848
0.04	-8.91507e-10	976.5705
0.05	-1.19468e-09	976.5771
0.06	-1.24542e-09	976.5527
0.07	-8.43704e-10	976.5546
0.08	-8.15594e-10	976.5601
0.09	-1.03304e-09	976.5643
0.1	-8.90768e-10	976.5547
0.11	-1.12796e-10	976.5448
0.12	-5.27895e-10	976.5413
0.13	-7.38001e-10	976.5283
0.14	-9.00769e-10	976.5383
0.15	-8.86405e-10	976.5393
0.16	-5.57721e-10	976.526
0.17	-3.649e-10	976.518
0.18	-5.44214e-10	976.5284
0.19	-3.58129e-10	976.5085
0.2	7.50423e-11	976.5239
0.21	4.62401e-10	976.5076
0.22	1.5751e-09	976.5121
0.23	1.21853e-09	976.5092
0.24	1.63592e-09	976.4859
0.25	2.94372e-09	976.5056
0.26	4.55679e-09	976.4769
0.27	6.02214e-09	976.4819
0.28	7.45364e-09	976.4824
0.29	9.60656e-09	976.4741
0.3	1.36286e-08	976.4722
0.31	1.74041e-08	976.4737
0.32	2.30663e-08	976.4508
0.33	3.12827e-08	976.4527
0.34	4.11258e-08	976.4557
0.35	5.42957e-08	976.4528
0.36	7.13385e-08	976.4507
0.37	9.61667e-08	976.4851
0.38	1.34611e-07	976.428
0.39	1.83913e-07	976.4382
0.4	2.53292e-07	976.4151
0.41	3.51176e-07	976.4239
0.42	4.90783e-07	976.4159
0.43	6.92155e-07	976.4056
0.44	9.81076e-07	976.4144
0.45	1.40458e-06	976.4083
0.46	2.02162e-06	976.4157
0.47	2.93356e-06	976.4271
0.48	4.2755e-06	976.3983
0.49	6.27099e-06	976.4097
0.5	9.22166e-06	976.4412
0.51	1.35954e-05	976.3845
0.52	2.01189e-05	976.3867
0.53	2.97393e-05	976.3976
0.54	4.39129e-05	976.3736
0.55	6.44429e-05	976.3838
0.56	9.39638e-05	976.3691
0.57	0.000135288	976.3638
0.58	0.000192058	976.3635
0.59	0.000267225	976.3604
0.6	0.000364037	976.3562
0.61	0.000483562	976.3394
0.62	0.000626726	976.3508
0.63	0.000793492	976.3447
0.64	0.000981348	976.379
0.65	0.00118997	976.3509
0.66	0.00141523	976.3295
0.67	0.00165693	976.342
0.68	0.00191133	976.3329
0.69	0.00217867	976.322
0.7	0.00245531	976.334
0.71	0.00274136	976.3137
0.72	0.00303617	976.3049
0.73	0.00333722	976.3089
0.74	0.00364556	976.3127
0.75	0.00395873	976.3023
0.76	0.00427766	976.302
0.77	0.00460043	976.291
0.78	0.00492816	976.3009
0.79	0.00525853	976.2865
0.8	0.00559337	976.2655
0.81	0.00592989	976.2834
0.82	0.0062694	976.2598
0.83	0.00661267	976.267
0.84	0.00695702	976.2538
0.85	0.00730474	976.2505
0.86	0.00765339	976.2545
0.87	0.00800502	976.241
0.88	0.00835706	976.2505
0.89	0.00871227	976.2611
0.9	0.00906763	976.2526
0.91	0.00942447	976.231
0.92	0.00978398	976.2402
0.93	0.0101427	976.2119
0.94	0.0105046	976.2296
0.95	0.0108662	976.2268
0.96	0.0112299	976.2031
0.97	0.0115934	976.2379
0.98	0.011959	976.2217
0.99	0.0123235	976.2252
1.0	0.0126858	976.2119
