V_sipm	I_sipm	R_rtd
20.0	-9.59027e-09	981.389
20.1	5.25999e-09	981.4064
20.2	4.50354e-09	981.4133
20.3	4.9269e-09	981.3989
20.4	3.90267e-09	981.4237
20.5	4.18758e-09	981.413
20.6	4.20994e-09	981.4079
20.7	3.92146e-09	981.4054
20.8	3.91974e-09	981.3922
20.9	4.43211e-09	981.4199
21.0	2.62959e-09	981.408
21.1	4.09225e-09	981.4106
21.2	4.09119e-09	981.4286
21.3	5.18144e-09	981.4405
21.4	3.87673e-09	981.4181
21.5	3.99655e-09	981.4343
21.6	4.59895e-09	981.413
21.7	4.56964e-09	981.4267
21.8	4.01473e-09	981.4371
21.9	4.82794e-09	981.4219
22.0	4.64946e-09	981.4589
22.1	2.10896e-09	981.441
22.2	5.25566e-09	981.4447
22.3	4.67335e-09	981.4397
22.4	3.80019e-09	981.4443
22.5	3.98432e-09	981.4346
22.6	4.95142e-09	981.4559
22.7	4.64891e-09	981.4455
22.8	3.86111e-09	981.4595
22.9	5.10546e-09	981.4593
23.0	4.51577e-09	981.4342
23.1	3.88725e-09	981.4519
23.2	2.34127e-09	981.4525
23.3	4.74033e-09	981.4581
23.4	4.01189e-09	981.4396
23.5	4.05838e-09	981.4536
23.6	4.67885e-09	981.4545
23.7	4.79996e-09	981.4595
23.8	4.3065e-09	981.4574
23.9	4.40108e-09	981.4668
24.0	4.73481e-09	981.4497
24.1	5.07987e-09	981.4476
24.2	7.35996e-09	981.4417
24.3	3.40054e-08	981.4703
24.4	2.32534e-07	981.4788
24.5	6.27288e-07	981.4705
24.6	1.17218e-06	981.4429
24.7	1.89874e-06	981.4583
24.8	2.74528e-06	981.4727
24.9	3.75165e-06	981.4653
25.0	4.86462e-06	981.4464
25.1	6.09279e-06	981.4725
25.2	7.46472e-06	981.4709
25.3	8.8835e-06	981.45
25.4	1.04855e-05	981.4738
25.5	1.2145e-05	981.481
25.6	1.39054e-05	981.4475
25.7	1.57427e-05	981.467
25.8	1.76878e-05	981.4509
25.9	1.96896e-05	981.4683
26.0	2.17962e-05	981.4648
26.1	2.39644e-05	981.4672
26.2	2.61891e-05	981.4679
26.3	2.86122e-05	981.4747
26.4	3.09882e-05	981.5027
26.5	3.35491e-05	981.4749
26.6	3.60731e-05	981.4756
26.7	3.8762e-05	981.4846
26.8	4.15116e-05	981.4883
26.9	4.42394e-05	981.4772
27.0	4.71883e-05	981.4856
27.1	5.01786e-05	981.4857
27.2	5.33051e-05	981.4932
27.3	5.63999e-05	981.5031
27.4	5.96702e-05	981.4901
27.5	6.29906e-05	981.5052
27.6	6.6586e-05	981.5336
27.7	7.00618e-05	981.533
27.8	7.38993e-05	981.5057
27.9	7.75379e-05	981.5146
28.0	8.13386e-05	981.4946
28.1	8.56403e-05	981.5032
28.2	8.96361e-05	981.5052
28.3	9.40673e-05	981.5175
28.4	9.83458e-05	981.4958
28.5	0.000103055	981.5168
28.6	0.000107592	981.5255
28.7	0.000112541	981.5206
28.8	0.000117525	981.5325
28.9	0.000122772	981.5291
29.0	0.00012822	981.5436
29.1	0.000133755	981.5356
29.2	0.000139433	981.5521
29.3	0.000145516	981.5328
29.4	0.000151546	981.562
29.5	0.000158238	981.562
29.6	0.00016523	981.5591
29.7	0.000171954	981.5544
29.8	0.000179452	981.5505
29.9	0.000186952	981.5706
