V_sipm	I_sipm	R_rtd
0.01	-1.10315e-09	1007.701
0.02	-9.44293e-10	1007.698
0.03	-8.79288e-10	1007.697
0.04	-8.13282e-10	1007.696
0.05	-5.66733e-10	1007.711
0.06	-8.90887e-10	1007.695
0.07	-9.78494e-10	1007.723
0.08	-7.76851e-10	1007.725
0.09	-1.07002e-09	1007.715
0.1	-8.55136e-10	1007.728
0.11	-7.79891e-10	1007.756
0.12	-7.10595e-10	1007.713
0.13	-8.05163e-10	1007.732
0.14	-7.07293e-10	1007.761
0.15	-6.90615e-10	1007.742
0.16	-9.86218e-11	1007.739
0.17	-5.21386e-10	1007.753
0.18	-2.25759e-10	1007.759
0.19	-4.9603e-11	1007.758
0.2	2.27273e-10	1007.779
0.21	5.78606e-10	1007.784
0.22	9.36472e-10	1007.791
0.23	1.73985e-09	1007.807
0.24	2.72193e-09	1007.788
0.25	3.17148e-09	1007.799
0.26	4.67219e-09	1007.807
0.27	6.82063e-09	1007.8
0.28	8.74344e-09	1007.804
0.29	1.16977e-08	1007.819
0.3	1.59091e-08	1007.823
0.31	2.14681e-08	1007.834
0.32	2.80916e-08	1007.822
0.33	3.80583e-08	1007.813
0.34	5.09604e-08	1007.833
0.35	6.83788e-08	1007.841
0.36	9.12066e-08	1007.857
0.37	1.23919e-07	1007.846
0.38	1.68481e-07	1007.838
0.39	2.31073e-07	1007.854
0.4	3.19539e-07	1007.85
0.41	4.44106e-07	1007.871
0.42	6.22044e-07	1007.874
0.43	8.78794e-07	1007.875
0.44	1.25023e-06	1007.894
0.45	1.79201e-06	1007.91
0.46	2.5824e-06	1007.896
0.47	3.74824e-06	1007.885
0.48	5.46188e-06	1007.897
0.49	8.00315e-06	1007.924
0.5	1.17404e-05	1007.918
0.51	1.72841e-05	1007.909
0.52	2.54935e-05	1007.924
0.53	3.75047e-05	1007.947
0.54	5.50479e-05	1007.929
0.55	8.01895e-05	1007.957
0.56	0.00011587	1007.948
0.57	0.000164989	1007.954
0.58	0.000231279	1007.963
0.59	0.000317288	1007.984
0.6	0.000425921	1007.969
0.61	0.000557532	1007.992
0.62	0.000712446	1007.966
0.63	0.000890252	1008.014
0.64	0.00108836	1008.002
0.65	0.0013057	1008.008
0.66	0.00153888	1008.02
0.67	0.00178752	1008.011
0.68	0.00204816	1008.024
0.69	0.00232092	1008.027
0.7	0.00260234	1008.044
0.71	0.00289267	1008.034
0.72	0.00319138	1008.04
0.73	0.00349583	1008.058
0.74	0.00380741	1008.046
0.75	0.00412332	1008.052
0.76	0.00444507	1008.069
0.77	0.00477008	1008.078
0.78	0.00510017	1008.076
0.79	0.00543277	1008.086
0.8	0.00576987	1008.105
0.81	0.00610837	1008.109
0.82	0.00644975	1008.1
0.83	0.00679487	1008.119
0.84	0.00714102	1008.143
0.85	0.00749059	1008.146
0.86	0.00784094	1008.149
0.87	0.00819452	1008.144
0.88	0.00854821	1008.161
0.89	0.00890499	1008.181
0.9	0.009262	1008.196
0.91	0.00962033	1008.171
0.92	0.00998121	1008.2
0.93	0.0103415	1008.199
0.94	0.010705	1008.226
0.95	0.011068	1008.239
0.96	0.011433	1008.244
0.97	0.0117981	1008.237
0.98	0.0121652	1008.256
0.99	0.0125313	1008.253
1.0	0.0128957	1008.265
