V_sipm	I_sipm	R_rtd
20.0	-1.39358e-08	996.9933
20.1	9.06769e-09	996.9929
20.2	4.72708e-09	996.9818
20.3	3.81103e-09	997.0002
20.4	4.04346e-09	997.0054
20.5	5.12472e-09	996.9945
20.6	3.82179e-09	997.008
20.7	4.06822e-09	996.9966
20.8	2.69047e-09	997.0125
20.9	4.0964e-09	997.0099
21.0	3.96976e-09	997.0174
21.1	4.27238e-09	997.0198
21.2	5.41812e-09	997.0027
21.3	4.20045e-09	997.0312
21.4	3.85193e-09	997.0037
21.5	3.89369e-09	997.0273
21.6	4.51357e-09	997.0081
21.7	3.73809e-09	997.0131
21.8	4.08572e-09	997.0201
21.9	2.77815e-09	997.0332
22.0	3.85994e-09	997.0007
22.1	3.92431e-09	997.0039
22.2	4.26184e-09	997.0056
22.3	5.02055e-09	997.0331
22.4	3.82365e-09	997.0114
22.5	4.26152e-09	997.0395
22.6	4.16298e-09	997.0424
22.7	3.99644e-09	997.0455
22.8	4.02678e-09	997.0253
22.9	4.32034e-09	997.0316
23.0	2.84097e-09	997.0245
23.1	4.1182e-09	997.0449
23.2	4.10594e-09	997.031
23.3	5.42688e-09	997.0464
23.4	4.97843e-09	997.0446
23.5	3.8986e-09	997.0605
23.6	4.26215e-09	997.0347
23.7	4.56246e-09	997.0325
23.8	4.1917e-09	997.0357
23.9	4.50249e-09	997.0545
24.0	5.1089e-09	997.0416
24.1	4.19148e-09	997.0441
24.2	9.04738e-09	997.0497
24.3	6.85392e-08	997.0662
24.4	3.01511e-07	997.0679
24.5	6.89297e-07	997.0656
24.6	1.19736e-06	997.0553
24.7	1.85702e-06	997.0773
24.8	2.6019e-06	997.0441
24.9	3.49444e-06	997.0582
25.0	4.46843e-06	997.0617
25.1	5.52564e-06	997.0571
25.2	6.7185e-06	997.0603
25.3	7.96543e-06	997.0646
25.4	9.33163e-06	997.056
25.5	1.07622e-05	997.0569
25.6	1.22738e-05	997.0629
25.7	1.38714e-05	997.0665
25.8	1.54755e-05	997.0852
25.9	1.71461e-05	997.0813
26.0	1.89237e-05	997.0811
26.1	2.08028e-05	997.0565
26.2	2.27244e-05	997.0732
26.3	2.47138e-05	997.0978
26.4	2.6741e-05	997.0841
26.5	2.8854e-05	997.0998
26.6	3.09941e-05	997.0732
26.7	3.33568e-05	997.098
26.8	3.56352e-05	997.0834
26.9	3.7943e-05	997.0889
27.0	4.04189e-05	997.0953
27.1	4.29168e-05	997.0665
27.2	4.55714e-05	997.089
27.3	4.82725e-05	997.0979
27.4	5.10052e-05	997.0964
27.5	5.37862e-05	997.1092
27.6	5.67743e-05	997.1263
27.7	5.97514e-05	997.0971
27.8	6.28975e-05	997.0807
27.9	6.60647e-05	997.1098
28.0	6.93724e-05	997.1093
28.1	7.27051e-05	997.1269
28.2	7.61369e-05	997.1271
28.3	7.9901e-05	997.1194
28.4	8.35398e-05	997.1202
28.5	8.73318e-05	997.1405
28.6	9.15516e-05	997.1288
28.7	9.54846e-05	997.1407
28.8	9.97084e-05	997.1268
28.9	0.000104094	997.1423
29.0	0.000108641	997.1219
29.1	0.000113357	997.1414
29.2	0.000118147	997.134
29.3	0.000123004	997.1496
29.4	0.000128662	997.1487
29.5	0.000133746	997.1777
29.6	0.000139604	997.1623
29.7	0.000145598	997.1634
29.8	0.000151658	997.1838
29.9	0.000158174	997.1672
