V_sipm	I_sipm	R_rtd
0.01	-8.89361e-10	1091.751
0.02	-1.01558e-09	1091.757
0.03	-1.4068e-09	1091.766
0.04	-1.87955e-09	1091.764
0.05	-9.81951e-10	1091.766
0.06	-7.75087e-10	1091.757
0.07	-5.90694e-10	1091.764
0.08	-1.51794e-09	1091.772
0.09	-7.75492e-10	1091.752
0.1	-3.9947e-10	1091.762
0.11	-6.95658e-10	1091.766
0.12	-7.3297e-10	1091.756
0.13	2.53773e-10	1091.787
0.14	6.32262e-10	1091.775
0.15	9.54235e-10	1091.758
0.16	1.23628e-09	1091.771
0.17	2.54662e-09	1091.761
0.18	4.01984e-09	1091.772
0.19	4.39971e-09	1091.777
0.2	6.07136e-09	1091.778
0.21	9.28587e-09	1091.767
0.22	1.19829e-08	1091.788
0.23	1.52911e-08	1091.761
0.24	2.08281e-08	1091.789
0.25	2.79881e-08	1091.782
0.26	3.68252e-08	1091.77
0.27	4.85621e-08	1091.802
0.28	6.41707e-08	1091.793
0.29	8.48022e-08	1091.795
0.3	1.12723e-07	1091.791
0.31	1.5037e-07	1091.787
0.32	2.01916e-07	1091.786
0.33	2.72312e-07	1091.801
0.34	3.69745e-07	1091.787
0.35	5.04305e-07	1091.788
0.36	6.92961e-07	1091.796
0.37	9.56372e-07	1091.8
0.38	1.32961e-06	1091.804
0.39	1.85635e-06	1091.816
0.4	2.60777e-06	1091.811
0.41	3.67669e-06	1091.793
0.42	5.20557e-06	1091.806
0.43	7.40656e-06	1091.784
0.44	1.05441e-05	1091.805
0.45	1.50865e-05	1091.807
0.46	2.15716e-05	1091.823
0.47	3.08905e-05	1091.809
0.48	4.40818e-05	1091.811
0.49	6.27815e-05	1091.811
0.5	8.87764e-05	1091.83
0.51	0.000124498	1091.8
0.52	0.000172837	1091.838
0.53	0.000236343	1091.83
0.54	0.000318142	1091.834
0.55	0.000419741	1091.83
0.56	0.000543276	1091.823
0.57	0.000688172	1091.832
0.58	0.000855087	1091.855
0.59	0.00104179	1091.82
0.6	0.0012478	1091.827
0.61	0.00146997	1091.831
0.62	0.00170749	1091.813
0.63	0.00195921	1091.822
0.64	0.00222223	1091.858
0.65	0.00249667	1091.828
0.66	0.00277972	1091.85
0.67	0.00307222	1091.844
0.68	0.00337114	1091.852
0.69	0.00367786	1091.84
0.7	0.00398942	1091.861
0.71	0.00430623	1091.842
0.72	0.00462914	1091.856
0.73	0.00495535	1091.859
0.74	0.00528661	1091.857
0.75	0.00562053	1091.858
0.76	0.00595891	1091.862
0.77	0.00629933	1091.845
0.78	0.00664362	1091.877
0.79	0.00698945	1091.854
0.8	0.00733891	1091.862
0.81	0.00768924	1091.877
0.82	0.00804188	1091.834
0.83	0.0083978	1091.856
0.84	0.00875417	1091.845
0.85	0.00911356	1091.866
0.86	0.00947336	1091.875
0.87	0.00983598	1091.869
0.88	0.0101981	1091.876
0.89	0.0105635	1091.874
0.9	0.0109289	1091.874
0.91	0.0112953	1091.869
0.92	0.0116643	1091.884
0.93	0.012033	1091.902
0.94	0.0124041	1091.887
0.95	0.0127746	1091.893
0.96	0.0131472	1091.889
0.97	0.0135193	1091.882
0.98	0.0138936	1091.889
0.99	0.0142669	1091.901
1.0	0.0146378	1091.884
