V_sipm	I_sipm	R_rtd
20.0	-5.19218e-09	1091.81
20.1	9.75335e-09	1091.798
20.2	6.76719e-09	1091.805
20.3	6.82921e-09	1091.819
20.4	8.10875e-09	1091.818
20.5	7.33675e-09	1091.813
20.6	5.9391e-09	1091.807
20.7	6.56961e-09	1091.815
20.8	7.79769e-09	1091.819
20.9	5.73286e-09	1091.807
21.0	6.06865e-09	1091.799
21.1	6.28557e-09	1091.811
21.2	7.23822e-09	1091.811
21.3	8.02716e-09	1091.801
21.4	6.73317e-09	1091.81
21.5	6.28015e-09	1091.83
21.6	6.09827e-09	1091.832
21.7	7.66989e-09	1091.811
21.8	7.24884e-09	1091.808
21.9	6.58186e-09	1091.815
22.0	6.62183e-09	1091.805
22.1	6.58423e-09	1091.811
22.2	7.94239e-09	1091.814
22.3	8.26453e-09	1091.806
22.4	7.2019e-09	1091.812
22.5	6.75275e-09	1091.812
22.6	6.9658e-09	1091.831
22.7	8.73598e-09	1091.822
22.8	7.37057e-09	1091.812
22.9	6.99708e-09	1091.826
23.0	6.85512e-09	1091.805
23.1	8.28348e-09	1091.827
23.2	7.38212e-09	1091.808
23.3	7.24099e-09	1091.823
23.4	8.22911e-09	1091.802
23.5	9.06208e-09	1091.812
23.6	8.33583e-09	1091.806
23.7	7.67047e-09	1091.807
23.8	9.0012e-09	1091.818
23.9	9.88003e-09	1091.825
24.0	9.23874e-09	1091.801
24.1	7.75435e-09	1091.808
24.2	1.0015e-08	1091.827
24.3	1.13186e-08	1091.818
24.4	1.15133e-08	1091.798
24.5	1.27396e-08	1091.814
24.6	1.67647e-08	1091.822
24.7	3.28524e-08	1091.824
24.8	2.22669e-07	1091.829
24.9	1.73458e-06	1091.8
25.0	4.76526e-06	1091.833
25.1	9.13356e-06	1091.814
25.2	1.49882e-05	1091.833
25.3	2.18167e-05	1091.825
25.4	3.00404e-05	1091.822
25.5	3.89916e-05	1091.828
25.6	4.92934e-05	1091.827
25.7	6.01542e-05	1091.817
25.8	7.23208e-05	1091.834
25.9	8.48113e-05	1091.821
26.0	9.81426e-05	1091.829
26.1	0.0001126	1091.829
26.2	0.00012726	1091.845
26.3	0.000143132	1091.83
26.4	0.000159207	1091.826
26.5	0.000176539	1091.834
26.6	0.000194298	1091.834
26.7	0.000212441	1091.81
26.8	0.000231238	1091.836
26.9	0.000250643	1091.838
27.0	0.000271101	1091.825
27.1	0.000291581	1091.827
27.2	0.000313359	1091.813
27.3	0.000334813	1091.816
27.4	0.000357987	1091.824
27.5	0.000381104	1091.829
27.6	0.000405274	1091.834
27.7	0.000429791	1091.84
27.8	0.000455692	1091.819
27.9	0.000481831	1091.817
28.0	0.000508096	1091.832
28.1	0.000536698	1091.82
28.2	0.000564639	1091.838
28.3	0.000595017	1091.819
28.4	0.000624809	1091.81
28.5	0.00065642	1091.842
28.6	0.000689026	1091.824
28.7	0.000722265	1091.827
28.8	0.000756003	1091.827
28.9	0.000791008	1091.83
29.0	0.000828518	1091.831
29.1	0.000865006	1091.835
29.2	0.00090388	1091.822
29.3	0.000944974	1091.848
29.4	0.000987182	1091.823
29.5	0.00102967	1091.845
29.6	0.00107617	1091.831
29.7	0.00112231	1091.835
29.8	0.00117087	1091.836
29.9	0.00122169	1091.838
