V_sipm	I_sipm	R_rtd
20.0	-6.35905e-09	1082.165
20.1	1.01546e-08	1082.161
20.2	6.6353e-09	1082.152
20.3	5.58788e-09	1082.158
20.4	5.38775e-09	1082.184
20.5	5.68746e-09	1082.149
20.6	6.84339e-09	1082.162
20.7	3.30451e-09	1082.167
20.8	7.6897e-09	1082.155
20.9	6.47839e-09	1082.166
21.0	5.65368e-09	1082.184
21.1	5.61324e-09	1082.166
21.2	6.57432e-09	1082.155
21.3	5.91812e-09	1082.162
21.4	5.61779e-09	1082.148
21.5	5.62825e-09	1082.167
21.6	6.28312e-09	1082.164
21.7	7.2125e-09	1082.167
21.8	3.43707e-09	1082.161
21.9	6.19282e-09	1082.164
22.0	5.86169e-09	1082.151
22.1	6.25601e-09	1082.137
22.2	7.3102e-09	1082.159
22.3	7.91905e-09	1082.153
22.4	6.53765e-09	1082.135
22.5	6.13465e-09	1082.157
22.6	5.90625e-09	1082.141
22.7	6.38807e-09	1082.14
22.8	7.38292e-09	1082.125
22.9	4.04215e-09	1082.143
23.0	7.52411e-09	1082.137
23.1	6.58742e-09	1082.14
23.2	6.20482e-09	1082.148
23.3	6.71296e-09	1082.122
23.4	6.87115e-09	1082.119
23.5	6.5747e-09	1082.141
23.6	7.19903e-09	1082.115
23.7	7.38615e-09	1082.142
23.8	8.43983e-09	1082.118
23.9	9.35582e-09	1082.115
24.0	5.67443e-09	1082.12
24.1	8.62106e-09	1082.094
24.2	8.42398e-09	1082.115
24.3	9.00451e-09	1082.122
24.4	1.08934e-08	1082.109
24.5	1.35724e-08	1082.11
24.6	1.84155e-08	1082.112
24.7	6.28916e-08	1082.08
24.8	6.52611e-07	1082.116
24.9	2.65858e-06	1082.097
25.0	5.74992e-06	1082.11
25.1	9.88791e-06	1082.108
25.2	1.52309e-05	1082.111
25.3	2.12974e-05	1082.099
25.4	2.8416e-05	1082.105
25.5	3.6147e-05	1082.102
25.6	4.49677e-05	1082.092
25.7	5.41389e-05	1082.114
25.8	6.43833e-05	1082.116
25.9	7.4902e-05	1082.114
26.0	8.5994e-05	1082.117
26.1	9.81721e-05	1082.111
26.2	0.00011039	1082.136
26.3	0.000123652	1082.114
26.4	0.000137159	1082.137
26.5	0.000151452	1082.123
26.6	0.000166007	1082.131
26.7	0.000181329	1082.122
26.8	0.000196787	1082.127
26.9	0.000212591	1082.136
27.0	0.00022985	1082.137
27.1	0.000246778	1082.128
27.2	0.000264775	1082.123
27.3	0.000282736	1082.135
27.4	0.000302026	1082.115
27.5	0.000320954	1082.14
27.6	0.000341497	1082.121
27.7	0.00036155	1082.135
27.8	0.000382933	1082.149
27.9	0.000404328	1082.139
28.0	0.00042659	1082.141
28.1	0.000449856	1082.14
28.2	0.000473167	1082.152
28.3	0.000497884	1082.151
28.4	0.0005226	1082.164
28.5	0.000549015	1082.158
28.6	0.000575273	1082.166
28.7	0.000603692	1082.159
28.8	0.000631102	1082.157
28.9	0.000660314	1082.163
29.0	0.000691168	1082.161
29.1	0.000721668	1082.178
29.2	0.000754275	1082.183
29.3	0.000787781	1082.16
29.4	0.000822809	1082.164
29.5	0.000858438	1082.174
29.6	0.000898566	1082.187
29.7	0.000937324	1082.177
29.8	0.000976882	1082.163
29.9	0.00101981	1082.199
