V_sipm	I_sipm	R_rtd
0.01	-1.21474e-11	1000.731
0.02	-1.16229e-09	1000.72
0.03	-1.343e-09	1000.728
0.04	-8.51238e-10	1000.726
0.05	-9.0642e-10	1000.737
0.06	-8.56102e-10	1000.723
0.07	-8.80933e-10	1000.726
0.08	-1.23408e-09	1000.71
0.09	-1.33326e-09	1000.696
0.1	-7.94256e-10	1000.711
0.11	6.69718e-11	1000.703
0.12	-6.71089e-10	1000.701
0.13	-6.61397e-10	1000.722
0.14	-9.86123e-10	1000.698
0.15	-7.25818e-10	1000.71
0.16	-7.80106e-10	1000.707
0.17	-1.95754e-10	1000.717
0.18	4.58956e-11	1000.711
0.19	2.08998e-10	1000.689
0.2	2.34342e-10	1000.712
0.21	9.26352e-10	1000.716
0.22	2.6158e-09	1000.721
0.23	2.69254e-09	1000.718
0.24	3.53699e-09	1000.7
0.25	4.51386e-09	1000.709
0.26	6.2098e-09	1000.684
0.27	9.28905e-09	1000.715
0.28	1.25633e-08	1000.701
0.29	1.62484e-08	1000.707
0.3	2.12032e-08	1000.704
0.31	2.90661e-08	1000.69
0.32	3.87459e-08	1000.691
0.33	5.1721e-08	1000.706
0.34	6.91839e-08	1000.695
0.35	9.23136e-08	1000.702
0.36	1.24873e-07	1000.705
0.37	1.69322e-07	1000.7
0.38	2.31277e-07	1000.71
0.39	3.17984e-07	1000.714
0.4	4.40923e-07	1000.696
0.41	6.14853e-07	1000.723
0.42	8.63906e-07	1000.702
0.43	1.22379e-06	1000.712
0.44	1.74352e-06	1000.713
0.45	2.50302e-06	1000.695
0.46	3.60933e-06	1000.705
0.47	5.23962e-06	1000.723
0.48	7.6264e-06	1000.69
0.49	1.11423e-05	1000.698
0.5	1.6327e-05	1000.708
0.51	2.39321e-05	1000.7
0.52	3.51021e-05	1000.702
0.53	5.1257e-05	1000.697
0.54	7.45477e-05	1000.696
0.55	0.000107347	1000.691
0.56	0.000152945	1000.705
0.57	0.000214235	1000.701
0.58	0.00029478	1000.694
0.59	0.000396443	1000.706
0.6	0.000521437	1000.69
0.61	0.000669124	1000.701
0.62	0.000839214	1000.717
0.63	0.00103124	1000.699
0.64	0.00124147	1000.71
0.65	0.00146978	1000.685
0.66	0.00171251	1000.694
0.67	0.00196931	1000.681
0.68	0.00223699	1000.69
0.69	0.00251574	1000.7
0.7	0.00280277	1000.691
0.71	0.00309769	1000.687
0.72	0.00340055	1000.693
0.73	0.00370867	1000.688
0.74	0.00402348	1000.681
0.75	0.00434219	1000.698
0.76	0.00466666	1000.684
0.77	0.00499387	1000.684
0.78	0.00532634	1000.662
0.79	0.0056608	1000.679
0.8	0.00599948	1000.688
0.81	0.00633954	1000.696
0.82	0.0066827	1000.691
0.83	0.00702942	1000.686
0.84	0.00737697	1000.716
0.85	0.00772783	1000.683
0.86	0.00807952	1000.691
0.87	0.00843412	1000.686
0.88	0.00878902	1000.687
0.89	0.00914681	1000.687
0.9	0.00950474	1000.692
0.91	0.00986416	1000.686
0.92	0.0102256	1000.664
0.93	0.0105876	1000.683
0.94	0.010952	1000.682
0.95	0.011316	1000.675
0.96	0.011682	1000.682
0.97	0.0120477	1000.68
0.98	0.0124157	1000.661
0.99	0.0127828	1000.665
1.0	0.0131475	1000.669
