N	R	I
0	984.659	9.7e-05
1	984.668	9.7e-05
2	984.646	9.7e-05
3	984.671	9.7e-05
4	984.664	9.7e-05
5	984.636	9.7e-05
6	984.661	9.7e-05
7	984.658	9.7e-05
8	984.668	9.7e-05
9	984.665	9.7e-05
10	984.671	9.7e-05
11	984.651	9.7e-05
12	984.668	9.7e-05
13	984.669	9.7e-05
14	984.669	9.7e-05
15	984.67	9.7e-05
16	984.679	9.7e-05
17	984.663	9.7e-05
18	984.68	9.7e-05
19	984.671	9.7e-05
20	984.688	9.7e-05
21	984.68	9.7e-05
22	984.685	9.7e-05
23	984.689	9.7e-05
24	984.681	9.7e-05
25	984.673	9.7e-05
26	984.7	9.7e-05
27	984.668	9.7e-05
28	984.672	9.7e-05
29	984.681	9.7e-05
30	984.671	9.7e-05
31	984.676	9.7e-05
32	984.674	9.7e-05
33	984.679	9.7e-05
34	984.656	9.7e-05
35	984.662	9.7e-05
36	984.656	9.7e-05
37	984.681	9.7e-05
38	984.657	9.7e-05
39	984.643	9.7e-05
40	984.663	9.7e-05
41	984.666	9.7e-05
42	984.671	9.7e-05
43	984.659	9.7e-05
44	984.642	9.7e-05
45	984.655	9.7e-05
46	984.666	9.7e-05
47	984.653	9.7e-05
48	984.639	9.7e-05
49	984.648	9.7e-05
50	984.684	9.7e-05
51	984.666	9.7e-05
52	984.634	9.7e-05
53	984.671	9.7e-05
54	984.637	9.7e-05
55	984.65	9.7e-05
56	984.666	9.7e-05
57	984.653	9.7e-05
58	984.682	9.7e-05
59	984.663	9.7e-05
60	984.668	9.7e-05
61	984.667	9.7e-05
62	984.677	9.7e-05
63	984.661	9.7e-05
64	984.668	9.7e-05
65	984.656	9.7e-05
66	984.663	9.7e-05
67	984.651	9.7e-05
68	984.661	9.7e-05
69	984.663	9.7e-05
70	984.651	9.7e-05
71	984.654	9.7e-05
72	984.641	9.7e-05
73	984.657	9.7e-05
74	984.683	9.7e-05
75	984.644	9.7e-05
76	984.67	9.7e-05
77	984.645	9.7e-05
78	984.647	9.7e-05
79	984.67	9.7e-05
80	984.655	9.7e-05
81	984.673	9.7e-05
82	984.668	9.7e-05
83	984.713	9.7e-05
84	984.687	9.7e-05
85	984.686	9.7e-05
86	984.677	9.7e-05
87	984.67	9.7e-05
88	984.662	9.7e-05
89	984.693	9.7e-05
90	984.689	9.7e-05
91	984.681	9.7e-05
92	984.682	9.7e-05
93	984.684	9.7e-05
94	984.663	9.7e-05
95	984.678	9.7e-05
96	984.69	9.7e-05
97	984.682	9.7e-05
98	984.692	9.7e-05
99	984.673	9.7e-05
100	984.661	9.7e-05
101	984.69	9.7e-05
102	984.69	9.7e-05
103	984.698	9.7e-05
104	984.691	9.7e-05
105	984.688	9.7e-05
106	984.696	9.7e-05
107	984.698	9.7e-05
108	984.665	9.7e-05
109	984.684	9.7e-05
110	984.687	9.7e-05
111	984.662	9.7e-05
112	984.651	9.7e-05
113	984.663	9.7e-05
114	984.662	9.7e-05
115	984.648	9.7e-05
116	984.662	9.7e-05
117	984.665	9.7e-05
118	984.675	9.7e-05
119	984.66	9.7e-05
120	984.669	9.7e-05
121	984.677	9.7e-05
122	984.678	9.7e-05
123	984.684	9.7e-05
124	984.688	9.7e-05
125	984.706	9.7e-05
126	984.706	9.7e-05
127	984.704	9.7e-05
128	984.706	9.7e-05
129	984.715	9.7e-05
130	984.715	9.7e-05
131	984.722	9.7e-05
132	984.714	9.7e-05
133	984.716	9.7e-05
134	984.714	9.7e-05
135	984.723	9.7e-05
136	984.706	9.7e-05
137	984.684	9.7e-05
138	984.701	9.7e-05
139	984.708	9.7e-05
140	984.721	9.7e-05
141	984.71	9.7e-05
142	984.713	9.7e-05
143	984.722	9.7e-05
144	984.703	9.7e-05
145	984.722	9.7e-05
146	984.71	9.7e-05
147	984.723	9.7e-05
148	984.746	9.7e-05
149	984.727	9.7e-05
150	984.731	9.7e-05
151	984.731	9.7e-05
152	984.718	9.7e-05
153	984.757	9.7e-05
154	984.75	9.7e-05
155	984.747	9.7e-05
156	984.755	9.7e-05
157	984.759	9.7e-05
158	984.77	9.7e-05
159	984.757	9.7e-05
160	984.759	9.7e-05
161	984.771	9.7e-05
162	984.766	9.7e-05
163	984.773	9.7e-05
164	984.789	9.7e-05
165	984.773	9.7e-05
166	984.778	9.7e-05
167	984.77	9.7e-05
168	984.777	9.7e-05
169	984.766	9.7e-05
170	984.767	9.7e-05
171	984.786	9.7e-05
172	984.781	9.7e-05
173	984.783	9.7e-05
174	984.812	9.7e-05
175	984.799	9.7e-05
176	984.808	9.7e-05
177	984.807	9.7e-05
178	984.787	9.7e-05
179	984.786	9.7e-05
180	984.793	9.7e-05
181	984.814	9.7e-05
182	984.779	9.7e-05
183	984.819	9.7e-05
184	984.807	9.7e-05
185	984.806	9.7e-05
186	984.815	9.7e-05
187	984.81	9.7e-05
188	984.802	9.7e-05
189	984.798	9.7e-05
190	984.817	9.7e-05
191	984.826	9.7e-05
192	984.827	9.7e-05
193	984.807	9.7e-05
194	984.842	9.7e-05
195	984.823	9.7e-05
196	984.829	9.7e-05
197	984.822	9.7e-05
198	984.815	9.7e-05
199	984.803	9.7e-05
200	984.821	9.7e-05
201	984.806	9.7e-05
