N	R	I
0	941.88	9.7e-05
1	941.894	9.7e-05
2	941.903	9.7e-05
3	941.89	9.7e-05
4	941.917	9.7e-05
5	941.91	9.7e-05
6	941.908	9.7e-05
7	941.899	9.7e-05
8	941.917	9.7e-05
9	941.894	9.7e-05
10	941.905	9.7e-05
11	941.91	9.7e-05
12	941.912	9.7e-05
13	941.906	9.7e-05
14	941.911	9.7e-05
15	941.877	9.7e-05
16	941.922	9.7e-05
17	941.905	9.7e-05
18	941.901	9.7e-05
19	941.911	9.7e-05
20	941.918	9.7e-05
21	941.901	9.7e-05
22	941.908	9.7e-05
23	941.915	9.7e-05
24	941.928	9.7e-05
25	941.93	9.7e-05
26	941.951	9.7e-05
27	941.952	9.7e-05
28	941.933	9.7e-05
29	941.94	9.7e-05
30	941.941	9.7e-05
31	941.94	9.7e-05
32	941.927	9.7e-05
33	941.933	9.7e-05
34	941.961	9.7e-05
35	941.951	9.7e-05
36	941.958	9.7e-05
37	941.959	9.7e-05
38	941.971	9.7e-05
39	941.98	9.7e-05
40	941.996	9.7e-05
41	941.978	9.7e-05
42	941.982	9.7e-05
43	942.007	9.7e-05
44	942.021	9.7e-05
45	942.004	9.7e-05
46	942.029	9.7e-05
47	942.041	9.7e-05
48	942.043	9.7e-05
49	942.034	9.7e-05
50	942.057	9.7e-05
51	942.077	9.7e-05
52	942.088	9.7e-05
53	942.076	9.7e-05
54	942.071	9.7e-05
55	942.072	9.7e-05
56	942.089	9.7e-05
57	942.091	9.7e-05
58	942.103	9.7e-05
59	942.119	9.7e-05
60	942.146	9.7e-05
61	942.148	9.7e-05
62	942.167	9.7e-05
63	942.18	9.7e-05
64	942.203	9.7e-05
65	942.21	9.7e-05
66	942.224	9.7e-05
67	942.211	9.7e-05
68	942.241	9.7e-05
69	942.277	9.7e-05
70	942.271	9.7e-05
71	942.281	9.7e-05
72	942.312	9.7e-05
73	942.3	9.7e-05
74	942.303	9.7e-05
75	942.29	9.7e-05
76	942.341	9.7e-05
77	942.329	9.7e-05
78	942.37	9.7e-05
79	942.386	9.7e-05
80	942.397	9.7e-05
81	942.407	9.7e-05
82	942.437	9.7e-05
83	942.425	9.7e-05
84	942.462	9.7e-05
85	942.484	9.7e-05
86	942.492	9.7e-05
87	942.501	9.7e-05
88	942.518	9.7e-05
89	942.54	9.7e-05
90	942.541	9.7e-05
91	942.602	9.7e-05
92	942.595	9.7e-05
93	942.613	9.7e-05
94	942.619	9.7e-05
95	942.611	9.7e-05
96	942.654	9.7e-05
97	942.656	9.7e-05
98	942.683	9.7e-05
99	942.692	9.7e-05
100	942.713	9.7e-05
101	942.737	9.7e-05
102	942.772	9.7e-05
103	942.761	9.7e-05
104	942.798	9.7e-05
105	942.804	9.7e-05
106	942.844	9.7e-05
107	942.842	9.7e-05
108	942.899	9.7e-05
109	942.92	9.7e-05
110	942.903	9.7e-05
111	942.929	9.7e-05
112	942.974	9.7e-05
113	942.994	9.7e-05
114	943.018	9.7e-05
115	943.041	9.7e-05
116	943.07	9.7e-05
117	943.099	9.7e-05
118	943.076	9.7e-05
119	943.112	9.7e-05
120	943.104	9.7e-05
121	943.154	9.7e-05
122	943.162	9.7e-05
123	943.186	9.7e-05
124	943.187	9.7e-05
125	943.212	9.7e-05
126	943.235	9.7e-05
127	943.255	9.7e-05
128	943.279	9.7e-05
129	943.268	9.7e-05
130	943.304	9.7e-05
131	943.318	9.7e-05
132	943.32	9.7e-05
133	943.344	9.7e-05
134	943.321	9.7e-05
135	943.357	9.7e-05
136	943.374	9.7e-05
137	943.413	9.7e-05
138	943.431	9.7e-05
139	943.45	9.7e-05
