N	R	I
0	985.119	9.7e-05
1	985.144	9.7e-05
2	985.154	9.7e-05
3	985.139	9.7e-05
4	985.123	9.7e-05
5	985.102	9.7e-05
6	985.134	9.7e-05
7	985.109	9.7e-05
8	985.113	9.7e-05
9	985.108	9.7e-05
10	985.113	9.7e-05
11	985.095	9.7e-05
12	985.13	9.7e-05
13	985.139	9.7e-05
14	985.105	9.7e-05
15	985.099	9.7e-05
16	985.073	9.7e-05
17	985.072	9.7e-05
18	985.078	9.7e-05
19	985.089	9.7e-05
20	985.101	9.7e-05
21	985.106	9.7e-05
22	985.071	9.7e-05
23	985.062	9.7e-05
24	985.074	9.7e-05
25	985.075	9.7e-05
26	985.079	9.7e-05
27	985.072	9.7e-05
28	985.073	9.7e-05
29	985.073	9.7e-05
30	985.067	9.7e-05
31	985.095	9.7e-05
32	985.059	9.7e-05
33	985.051	9.7e-05
34	985.061	9.7e-05
35	985.042	9.7e-05
36	985.072	9.7e-05
37	985.059	9.7e-05
38	985.055	9.7e-05
39	985.06	9.7e-05
40	985.061	9.7e-05
41	985.057	9.7e-05
42	985.045	9.7e-05
43	985.046	9.7e-05
44	985.053	9.7e-05
45	985.039	9.7e-05
46	985.05	9.7e-05
47	985.068	9.7e-05
48	985.056	9.7e-05
49	985.051	9.7e-05
50	985.047	9.7e-05
51	985.037	9.7e-05
52	985.031	9.7e-05
53	985.052	9.7e-05
54	985.038	9.7e-05
55	985.021	9.7e-05
56	985.059	9.7e-05
57	985.034	9.7e-05
58	985.036	9.7e-05
59	985.033	9.7e-05
60	985.021	9.7e-05
61	985.016	9.7e-05
62	985.02	9.7e-05
63	985.024	9.7e-05
64	985.006	9.7e-05
65	985.019	9.7e-05
66	985.015	9.7e-05
67	985.008	9.7e-05
68	985.011	9.7e-05
69	984.986	9.7e-05
70	985.015	9.7e-05
71	985.002	9.7e-05
72	985.025	9.7e-05
73	985.007	9.7e-05
74	985.004	9.7e-05
75	985.001	9.7e-05
76	985.015	9.7e-05
77	984.996	9.7e-05
78	984.996	9.7e-05
79	984.999	9.7e-05
80	985.004	9.7e-05
81	984.99	9.7e-05
82	984.989	9.7e-05
83	985.001	9.7e-05
84	984.969	9.7e-05
85	984.971	9.7e-05
86	984.974	9.7e-05
87	984.978	9.7e-05
88	984.962	9.7e-05
89	984.982	9.7e-05
90	984.977	9.7e-05
91	984.941	9.7e-05
92	984.974	9.7e-05
93	985.003	9.7e-05
94	984.982	9.7e-05
95	984.964	9.7e-05
96	984.972	9.7e-05
97	984.986	9.7e-05
98	984.98	9.7e-05
99	984.961	9.7e-05
100	984.966	9.7e-05
101	984.953	9.7e-05
102	984.981	9.7e-05
103	984.972	9.7e-05
104	984.957	9.7e-05
105	984.971	9.7e-05
106	984.943	9.7e-05
107	984.963	9.7e-05
108	984.975	9.7e-05
109	984.957	9.7e-05
110	984.964	9.7e-05
111	984.961	9.7e-05
112	984.965	9.7e-05
113	984.95	9.7e-05
114	984.956	9.7e-05
115	984.978	9.7e-05
116	984.992	9.7e-05
117	984.97	9.7e-05
118	984.974	9.7e-05
119	984.979	9.7e-05
120	984.971	9.7e-05
121	984.964	9.7e-05
122	984.995	9.7e-05
123	984.999	9.7e-05
124	984.999	9.7e-05
125	984.972	9.7e-05
126	985.011	9.7e-05
127	984.986	9.7e-05
128	984.973	9.7e-05
129	984.983	9.7e-05
130	984.997	9.7e-05
131	984.989	9.7e-05
132	985.005	9.7e-05
133	985.004	9.7e-05
134	984.991	9.7e-05
135	984.992	9.7e-05
136	984.984	9.7e-05
137	984.966	9.7e-05
138	984.989	9.7e-05
139	984.978	9.7e-05
140	984.974	9.7e-05
141	984.978	9.7e-05
142	984.997	9.7e-05
143	984.997	9.7e-05
144	984.999	9.7e-05
145	985.011	9.7e-05
146	984.989	9.7e-05
147	984.987	9.7e-05
148	985.0	9.7e-05
149	984.997	9.7e-05
150	985.016	9.7e-05
151	985.01	9.7e-05
152	984.991	9.7e-05
153	984.985	9.7e-05
154	984.984	9.7e-05
155	984.984	9.7e-05
156	984.987	9.7e-05
157	985.003	9.7e-05
158	984.999	9.7e-05
159	985.009	9.7e-05
160	985.021	9.7e-05
161	984.995	9.7e-05
162	985.011	9.7e-05
163	984.986	9.7e-05
164	985.009	9.7e-05
165	985.007	9.7e-05
166	985.003	9.7e-05
167	985.007	9.7e-05
168	984.982	9.7e-05
169	985.012	9.7e-05
170	985.007	9.7e-05
171	985.028	9.7e-05
172	984.991	9.7e-05
173	985.018	9.7e-05
174	985.022	9.7e-05
175	985.01	9.7e-05
176	985.0	9.7e-05
177	984.991	9.7e-05
178	984.999	9.7e-05
179	985.029	9.7e-05
180	985.015	9.7e-05
181	985.005	9.7e-05
182	985.005	9.7e-05
183	985.014	9.7e-05
184	985.028	9.7e-05
185	985.027	9.7e-05
186	985.007	9.7e-05
187	985.033	9.7e-05
188	985.022	9.7e-05
189	985.002	9.7e-05
190	985.028	9.7e-05
191	985.0	9.7e-05
192	985.017	9.7e-05
193	985.029	9.7e-05
194	985.036	9.7e-05
195	985.05	9.7e-05
196	985.01	9.7e-05
197	985.028	9.7e-05
198	985.038	9.7e-05
199	985.032	9.7e-05
200	985.052	9.7e-05
201	985.017	9.7e-05
