time	R	I
0.0	913.244	9.7e-05
0.01	913.253	9.7e-05
0.02	913.248	9.7e-05
0.03	913.252	9.7e-05
0.04	913.251	9.7e-05
0.05	913.252	9.7e-05
0.06	913.259	9.7e-05
0.07	913.249	9.7e-05
0.08	913.221	9.7e-05
0.09	913.253	9.7e-05
0.1	913.232	9.7e-05
0.11	913.27	9.7e-05
0.12	913.253	9.7e-05
0.13	913.255	9.7e-05
0.14	913.256	9.7e-05
0.15	913.258	9.7e-05
0.16	913.274	9.7e-05
0.17	913.271	9.7e-05
0.18	913.252	9.7e-05
0.19	913.228	9.7e-05
0.2	913.238	9.7e-05
0.21	913.255	9.7e-05
0.22	913.241	9.7e-05
0.23	913.235	9.7e-05
0.24	913.271	9.7e-05
0.25	913.248	9.7e-05
0.26	913.238	9.7e-05
0.27	913.226	9.7e-05
0.28	913.242	9.7e-05
0.29	913.261	9.7e-05
0.3	913.221	9.7e-05
0.31	913.211	9.7e-05
0.32	913.24	9.7e-05
0.33	913.238	9.7e-05
0.34	913.241	9.7e-05
0.35	913.223	9.7e-05
0.36	913.231	9.7e-05
0.37	913.242	9.7e-05
0.38	913.258	9.7e-05
0.39	913.256	9.7e-05
0.4	913.257	9.7e-05
0.41	913.257	9.7e-05
0.42	913.251	9.7e-05
0.43	913.238	9.7e-05
0.44	913.256	9.7e-05
0.45	913.242	9.7e-05
0.46	913.267	9.7e-05
0.47	913.249	9.7e-05
0.48	913.252	9.7e-05
0.49	913.301	9.7e-05
0.5	913.257	9.7e-05
0.51	913.287	9.7e-05
0.52	913.25	9.7e-05
0.53	913.27	9.7e-05
0.54	913.237	9.7e-05
0.55	913.278	9.7e-05
0.56	913.249	9.7e-05
0.57	913.257	9.7e-05
0.58	913.236	9.7e-05
0.59	913.244	9.7e-05
0.6	913.251	9.7e-05
0.61	913.253	9.7e-05
0.62	913.254	9.7e-05
0.63	913.265	9.7e-05
0.64	913.254	9.7e-05
0.65	913.266	9.7e-05
0.66	913.261	9.7e-05
0.67	913.262	9.7e-05
0.68	913.254	9.7e-05
0.69	913.245	9.7e-05
0.7	913.292	9.7e-05
0.71	913.268	9.7e-05
0.72	913.268	9.7e-05
0.73	913.275	9.7e-05
0.74	913.306	9.7e-05
0.75	913.273	9.7e-05
0.76	913.271	9.7e-05
0.77	913.27	9.7e-05
0.78	913.281	9.7e-05
0.79	913.285	9.7e-05
0.8	913.285	9.7e-05
0.81	913.276	9.7e-05
0.82	913.244	9.7e-05
0.83	913.267	9.7e-05
0.84	913.285	9.7e-05
0.85	913.276	9.7e-05
0.86	913.291	9.7e-05
0.87	913.282	9.7e-05
0.88	913.264	9.7e-05
0.89	913.265	9.7e-05
0.9	913.278	9.7e-05
0.91	913.282	9.7e-05
0.92	913.292	9.7e-05
0.93	913.271	9.7e-05
0.94	913.293	9.7e-05
0.95	913.27	9.7e-05
0.96	913.274	9.7e-05
0.97	913.279	9.7e-05
0.98	913.272	9.7e-05
0.99	913.272	9.7e-05
