time	R	I
0.0	990.226	9.7e-05
0.01	990.247	9.7e-05
0.02	990.234	9.7e-05
0.03	990.22	9.7e-05
0.04	990.227	9.7e-05
0.05	990.204	9.7e-05
0.06	990.222	9.7e-05
0.07	990.213	9.7e-05
0.08	990.213	9.7e-05
0.09	990.209	9.7e-05
0.1	990.231	9.7e-05
0.11	990.218	9.7e-05
0.12	990.219	9.7e-05
0.13	990.189	9.7e-05
0.14	990.213	9.7e-05
0.15	990.209	9.7e-05
0.16	990.213	9.7e-05
0.17	990.204	9.7e-05
0.18	990.208	9.7e-05
0.19	990.209	9.7e-05
0.2	990.212	9.7e-05
0.21	990.216	9.7e-05
0.22	990.22	9.7e-05
0.23	990.206	9.7e-05
0.24	990.215	9.7e-05
0.25	990.184	9.7e-05
0.26	990.188	9.7e-05
0.27	990.211	9.7e-05
0.28	990.208	9.7e-05
0.29	990.2	9.7e-05
0.3	990.192	9.7e-05
0.31	990.2	9.7e-05
0.32	990.199	9.7e-05
0.33	990.187	9.7e-05
0.34	990.2	9.7e-05
0.35	990.191	9.7e-05
0.36	990.19	9.7e-05
0.37	990.189	9.7e-05
0.38	990.19	9.7e-05
0.39	990.202	9.7e-05
0.4	990.16	9.7e-05
0.41	990.156	9.7e-05
0.42	990.159	9.7e-05
0.43	990.144	9.7e-05
0.44	990.181	9.7e-05
0.45	990.182	9.7e-05
0.46	990.172	9.7e-05
0.47	990.158	9.7e-05
0.48	990.178	9.7e-05
0.49	990.182	9.7e-05
0.5	990.171	9.7e-05
0.51	990.179	9.7e-05
0.52	990.183	9.7e-05
0.53	990.185	9.7e-05
0.54	990.191	9.7e-05
0.55	990.194	9.7e-05
0.56	990.192	9.7e-05
0.57	990.199	9.7e-05
0.58	990.193	9.7e-05
0.59	990.173	9.7e-05
0.6	990.182	9.7e-05
0.61	990.164	9.7e-05
0.62	990.182	9.7e-05
0.63	990.179	9.7e-05
0.64	990.183	9.7e-05
0.65	990.199	9.7e-05
0.66	990.204	9.7e-05
0.67	990.197	9.7e-05
0.68	990.185	9.7e-05
0.69	990.195	9.7e-05
0.7	990.176	9.7e-05
0.71	990.193	9.7e-05
0.72	990.172	9.7e-05
0.73	990.176	9.7e-05
0.74	990.19	9.7e-05
0.75	990.185	9.7e-05
0.76	990.185	9.7e-05
0.77	990.167	9.7e-05
0.78	990.188	9.7e-05
0.79	990.175	9.7e-05
0.8	990.159	9.7e-05
0.81	990.178	9.7e-05
0.82	990.176	9.7e-05
0.83	990.189	9.7e-05
0.84	990.176	9.7e-05
0.85	990.176	9.7e-05
0.86	990.185	9.7e-05
0.87	990.191	9.7e-05
0.88	990.199	9.7e-05
0.89	990.199	9.7e-05
0.9	990.193	9.7e-05
0.91	990.211	9.7e-05
0.92	990.205	9.7e-05
0.93	990.206	9.7e-05
0.94	990.204	9.7e-05
0.95	990.206	9.7e-05
0.96	990.226	9.7e-05
0.97	990.219	9.7e-05
0.98	990.202	9.7e-05
0.99	990.236	9.7e-05
