N	R	I
0	1098.99	9.7e-05
1	1098.99	9.7e-05
2	1099.0	9.7e-05
3	1098.95	9.7e-05
4	1098.98	9.7e-05
5	1098.98	9.7e-05
6	1099.0	9.7e-05
7	1098.98	9.7e-05
8	1099.0	9.7e-05
9	1098.99	9.7e-05
10	1098.98	9.7e-05
11	1098.99	9.7e-05
12	1098.98	9.7e-05
13	1098.99	9.7e-05
14	1099.02	9.7e-05
15	1098.99	9.7e-05
16	1099.0	9.7e-05
17	1098.98	9.7e-05
18	1098.99	9.7e-05
19	1099.0	9.7e-05
20	1098.99	9.7e-05
21	1098.99	9.7e-05
22	1098.99	9.7e-05
23	1099.0	9.7e-05
24	1099.0	9.7e-05
25	1099.0	9.7e-05
26	1099.01	9.7e-05
27	1099.0	9.7e-05
28	1099.01	9.7e-05
29	1098.99	9.7e-05
30	1099.0	9.7e-05
31	1098.99	9.7e-05
32	1099.02	9.7e-05
33	1098.99	9.7e-05
34	1099.01	9.7e-05
35	1099.01	9.7e-05
36	1099.0	9.7e-05
37	1098.98	9.7e-05
38	1098.97	9.7e-05
39	1098.99	9.7e-05
