N	R	I
0	1096.28	9.7e-05
1	1096.25	9.7e-05
2	1096.25	9.7e-05
3	1096.27	9.7e-05
4	1096.26	9.7e-05
5	1096.26	9.7e-05
6	1096.27	9.7e-05
7	1096.26	9.7e-05
8	1096.25	9.7e-05
9	1096.23	9.7e-05
10	1096.23	9.7e-05
11	1096.22	9.7e-05
12	1096.23	9.7e-05
13	1096.23	9.7e-05
14	1096.24	9.7e-05
15	1096.24	9.7e-05
16	1096.24	9.7e-05
17	1096.24	9.7e-05
18	1096.24	9.7e-05
19	1096.23	9.7e-05
20	1096.24	9.7e-05
21	1096.24	9.7e-05
22	1096.23	9.7e-05
23	1096.24	9.7e-05
24	1096.26	9.7e-05
25	1096.25	9.7e-05
26	1096.26	9.7e-05
27	1096.24	9.7e-05
28	1096.26	9.7e-05
29	1096.29	9.7e-05
30	1096.27	9.7e-05
31	1096.29	9.7e-05
32	1096.28	9.7e-05
33	1096.26	9.7e-05
34	1096.28	9.7e-05
35	1096.27	9.7e-05
36	1096.26	9.7e-05
37	1096.26	9.7e-05
38	1096.25	9.7e-05
39	1096.24	9.7e-05
40	1096.26	9.7e-05
