N	R	I
0	1049.78	9.7e-05
1	1049.86	9.7e-05
2	1049.91	9.7e-05
3	1049.95	9.7e-05
4	1050.02	9.7e-05
5	1050.07	9.7e-05
6	1050.12	9.7e-05
7	1050.17	9.7e-05
8	1050.19	9.7e-05
9	1050.26	9.7e-05
10	1050.29	9.7e-05
11	1050.35	9.7e-05
12	1050.39	9.7e-05
13	1050.44	9.7e-05
14	1050.49	9.7e-05
15	1050.55	9.7e-05
16	1050.63	9.7e-05
17	1050.67	9.7e-05
18	1050.74	9.7e-05
19	1050.78	9.7e-05
20	1050.85	9.7e-05
21	1050.88	9.7e-05
22	1050.97	9.7e-05
23	1051.02	9.7e-05
24	1051.05	9.7e-05
25	1051.14	9.7e-05
26	1051.2	9.7e-05
27	1051.25	9.7e-05
28	1051.29	9.7e-05
29	1051.36	9.7e-05
30	1051.43	9.7e-05
31	1051.46	9.7e-05
32	1051.54	9.7e-05
33	1051.63	9.7e-05
34	1051.69	9.7e-05
35	1051.75	9.7e-05
36	1051.79	9.7e-05
37	1051.84	9.7e-05
38	1051.91	9.7e-05
39	1051.95	9.7e-05
40	1052.03	9.7e-05
41	1052.05	9.7e-05
42	1052.12	9.7e-05
43	1052.21	9.7e-05
44	1052.23	9.7e-05
45	1052.26	9.7e-05
46	1052.34	9.7e-05
47	1052.4	9.7e-05
48	1052.43	9.7e-05
49	1052.49	9.7e-05
50	1052.6	9.7e-05
51	1052.64	9.7e-05
52	1052.69	9.7e-05
53	1052.75	9.7e-05
54	1052.8	9.7e-05
55	1052.83	9.7e-05
56	1052.95	9.7e-05
57	1052.98	9.7e-05
58	1053.03	9.7e-05
59	1053.13	9.7e-05
60	1053.18	9.7e-05
61	1053.21	9.7e-05
62	1053.29	9.7e-05
63	1053.35	9.7e-05
64	1053.41	9.7e-05
65	1053.44	9.7e-05
66	1053.51	9.7e-05
67	1053.58	9.7e-05
68	1053.62	9.7e-05
69	1053.7	9.7e-05
70	1053.74	9.7e-05
71	1053.8	9.7e-05
72	1053.85	9.7e-05
73	1053.91	9.7e-05
74	1053.95	9.7e-05
75	1054.0	9.7e-05
76	1054.08	9.7e-05
77	1054.13	9.7e-05
78	1054.2	9.7e-05
79	1054.25	9.7e-05
80	1054.29	9.7e-05
81	1054.35	9.7e-05
82	1054.39	9.7e-05
83	1054.48	9.7e-05
84	1054.51	9.7e-05
85	1054.55	9.7e-05
86	1054.59	9.7e-05
87	1054.68	9.7e-05
88	1054.76	9.7e-05
89	1054.8	9.7e-05
90	1054.84	9.7e-05
91	1054.88	9.7e-05
92	1054.95	9.7e-05
93	1055.0	9.7e-05
94	1055.06	9.7e-05
95	1055.09	9.7e-05
96	1055.15	9.7e-05
97	1055.15	9.7e-05
98	1055.24	9.7e-05
99	1055.29	9.7e-05
100	1055.34	9.7e-05
101	1055.39	9.7e-05
102	1055.43	9.7e-05
103	1055.5	9.7e-05
104	1055.53	9.7e-05
105	1055.57	9.7e-05
106	1055.63	9.7e-05
107	1055.68	9.7e-05
108	1055.76	9.7e-05
109	1055.79	9.7e-05
110	1055.83	9.7e-05
111	1055.87	9.7e-05
112	1055.94	9.7e-05
113	1055.98	9.7e-05
114	1056.01	9.7e-05
115	1056.09	9.7e-05
116	1056.12	9.7e-05
117	1056.19	9.7e-05
118	1056.2	9.7e-05
119	1056.28	9.7e-05
120	1056.3	9.7e-05
121	1056.35	9.7e-05
122	1056.37	9.7e-05
123	1056.45	9.7e-05
124	1056.48	9.7e-05
125	1056.51	9.7e-05
126	1056.55	9.7e-05
127	1056.58	9.7e-05
128	1056.62	9.7e-05
129	1056.63	9.7e-05
130	1056.68	9.7e-05
131	1056.71	9.7e-05
132	1056.79	9.7e-05
133	1056.8	9.7e-05
134	1056.85	9.7e-05
135	1056.89	9.7e-05
136	1056.93	9.7e-05
137	1056.96	9.7e-05
138	1057.0	9.7e-05
139	1057.06	9.7e-05
140	1057.09	9.7e-05
141	1057.13	9.7e-05
142	1057.15	9.7e-05
143	1057.2	9.7e-05
144	1057.22	9.7e-05
145	1057.27	9.7e-05
146	1057.31	9.7e-05
147	1057.36	9.7e-05
148	1057.4	9.7e-05
149	1057.43	9.7e-05
150	1057.48	9.7e-05
151	1057.53	9.7e-05
152	1057.57	9.7e-05
153	1057.59	9.7e-05
154	1057.61	9.7e-05
155	1057.69	9.7e-05
156	1057.7	9.7e-05
157	1057.74	9.7e-05
158	1057.75	9.7e-05
159	1057.79	9.7e-05
160	1057.83	9.7e-05
161	1057.89	9.7e-05
162	1057.93	9.7e-05
163	1057.95	9.7e-05
164	1057.99	9.7e-05
165	1058.04	9.7e-05
166	1058.04	9.7e-05
167	1058.09	9.7e-05
168	1058.12	9.7e-05
169	1058.16	9.7e-05
170	1058.22	9.7e-05
171	1058.24	9.7e-05
172	1058.28	9.7e-05
173	1058.34	9.7e-05
174	1058.38	9.7e-05
175	1058.41	9.7e-05
176	1058.47	9.7e-05
177	1058.47	9.7e-05
178	1058.52	9.7e-05
179	1058.55	9.7e-05
180	1058.59	9.7e-05
181	1058.62	9.7e-05
182	1058.66	9.7e-05
183	1058.69	9.7e-05
184	1058.71	9.7e-05
185	1058.77	9.7e-05
186	1058.82	9.7e-05
187	1058.86	9.7e-05
188	1058.88	9.7e-05
189	1058.93	9.7e-05
190	1058.97	9.7e-05
191	1058.96	9.7e-05
192	1059.01	9.7e-05
193	1059.0	9.7e-05
194	1059.06	9.7e-05
195	1059.11	9.7e-05
196	1059.15	9.7e-05
197	1059.18	9.7e-05
198	1059.23	9.7e-05
