N	R	I
0	1022.79	9.7e-05
1	1022.78	9.7e-05
2	1022.81	9.7e-05
3	1022.78	9.7e-05
4	1022.79	9.7e-05
5	1022.8	9.7e-05
6	1022.8	9.7e-05
7	1022.79	9.7e-05
8	1022.77	9.7e-05
9	1022.77	9.7e-05
10	1022.79	9.7e-05
11	1022.79	9.7e-05
12	1022.76	9.7e-05
13	1022.76	9.7e-05
14	1022.75	9.7e-05
15	1022.76	9.7e-05
16	1022.77	9.7e-05
17	1022.76	9.7e-05
18	1022.78	9.7e-05
19	1022.79	9.7e-05
20	1022.8	9.7e-05
21	1022.8	9.7e-05
22	1022.8	9.7e-05
23	1022.8	9.7e-05
24	1022.78	9.7e-05
25	1022.81	9.7e-05
26	1022.81	9.7e-05
27	1022.78	9.7e-05
28	1022.8	9.7e-05
29	1022.81	9.7e-05
30	1022.79	9.7e-05
31	1022.82	9.7e-05
32	1022.82	9.7e-05
33	1022.81	9.7e-05
34	1022.79	9.7e-05
35	1022.81	9.7e-05
36	1022.8	9.7e-05
37	1022.82	9.7e-05
38	1022.81	9.7e-05
39	1022.82	9.7e-05
40	1022.84	9.7e-05
41	1022.82	9.7e-05
42	1022.83	9.7e-05
43	1022.82	9.7e-05
44	1022.82	9.7e-05
45	1022.81	9.7e-05
46	1022.84	9.7e-05
47	1022.84	9.7e-05
48	1022.85	9.7e-05
49	1022.85	9.7e-05
50	1022.84	9.7e-05
51	1022.84	9.7e-05
52	1022.85	9.7e-05
53	1022.87	9.7e-05
54	1022.86	9.7e-05
55	1022.88	9.7e-05
56	1022.87	9.7e-05
57	1022.88	9.7e-05
58	1022.87	9.7e-05
59	1022.88	9.7e-05
60	1022.86	9.7e-05
61	1022.88	9.7e-05
62	1022.88	9.7e-05
63	1022.88	9.7e-05
64	1022.88	9.7e-05
65	1022.88	9.7e-05
66	1022.91	9.7e-05
67	1022.92	9.7e-05
68	1022.92	9.7e-05
69	1022.94	9.7e-05
70	1022.93	9.7e-05
71	1022.94	9.7e-05
72	1022.95	9.7e-05
73	1022.95	9.7e-05
74	1022.96	9.7e-05
75	1022.97	9.7e-05
76	1022.98	9.7e-05
77	1022.96	9.7e-05
78	1022.98	9.7e-05
79	1022.99	9.7e-05
80	1022.99	9.7e-05
81	1023.02	9.7e-05
82	1023.02	9.7e-05
83	1023.0	9.7e-05
84	1023.04	9.7e-05
85	1023.04	9.7e-05
86	1023.05	9.7e-05
87	1023.06	9.7e-05
88	1023.08	9.7e-05
89	1023.08	9.7e-05
90	1023.08	9.7e-05
91	1023.08	9.7e-05
92	1023.1	9.7e-05
93	1023.12	9.7e-05
94	1023.1	9.7e-05
95	1023.12	9.7e-05
96	1023.14	9.7e-05
97	1023.15	9.7e-05
98	1023.16	9.7e-05
99	1023.16	9.7e-05
100	1023.18	9.7e-05
101	1023.17	9.7e-05
102	1023.19	9.7e-05
103	1023.21	9.7e-05
104	1023.24	9.7e-05
105	1023.22	9.7e-05
106	1023.25	9.7e-05
107	1023.25	9.7e-05
108	1023.26	9.7e-05
109	1023.26	9.7e-05
110	1023.29	9.7e-05
111	1023.27	9.7e-05
112	1023.29	9.7e-05
113	1023.3	9.7e-05
114	1023.29	9.7e-05
115	1023.33	9.7e-05
116	1023.34	9.7e-05
117	1023.33	9.7e-05
118	1023.33	9.7e-05
119	1023.33	9.7e-05
120	1023.37	9.7e-05
121	1023.4	9.7e-05
122	1023.4	9.7e-05
123	1023.4	9.7e-05
124	1023.43	9.7e-05
125	1023.41	9.7e-05
126	1023.44	9.7e-05
127	1023.44	9.7e-05
128	1023.43	9.7e-05
129	1023.45	9.7e-05
130	1023.48	9.7e-05
131	1023.47	9.7e-05
132	1023.47	9.7e-05
133	1023.51	9.7e-05
134	1023.49	9.7e-05
135	1023.48	9.7e-05
136	1023.52	9.7e-05
137	1023.52	9.7e-05
138	1023.54	9.7e-05
139	1023.54	9.7e-05
