N	R	I
0	1087.3	9.7e-05
1	1087.3	9.7e-05
2	1087.31	9.7e-05
3	1087.35	9.7e-05
4	1087.33	9.7e-05
5	1087.32	9.7e-05
6	1087.32	9.7e-05
7	1087.31	9.7e-05
8	1087.32	9.7e-05
9	1087.32	9.7e-05
10	1087.3	9.7e-05
11	1087.31	9.7e-05
12	1087.29	9.7e-05
13	1087.27	9.7e-05
14	1087.27	9.7e-05
15	1087.32	9.7e-05
16	1087.3	9.7e-05
17	1087.29	9.7e-05
18	1087.3	9.7e-05
19	1087.3	9.7e-05
20	1087.3	9.7e-05
21	1087.3	9.7e-05
22	1087.3	9.7e-05
23	1087.31	9.7e-05
24	1087.3	9.7e-05
25	1087.32	9.7e-05
26	1087.31	9.7e-05
27	1087.29	9.7e-05
28	1087.3	9.7e-05
29	1087.29	9.7e-05
30	1087.29	9.7e-05
31	1087.27	9.7e-05
32	1087.29	9.7e-05
33	1087.27	9.7e-05
34	1087.29	9.7e-05
35	1087.28	9.7e-05
36	1087.29	9.7e-05
37	1087.32	9.7e-05
38	1087.28	9.7e-05
39	1087.28	9.7e-05
40	1087.31	9.7e-05
41	1087.3	9.7e-05
42	1087.31	9.7e-05
43	1087.3	9.7e-05
44	1087.27	9.7e-05
45	1087.29	9.7e-05
46	1087.28	9.7e-05
47	1087.28	9.7e-05
48	1087.32	9.7e-05
49	1087.31	9.7e-05
50	1087.33	9.7e-05
51	1087.33	9.7e-05
52	1087.33	9.7e-05
53	1087.29	9.7e-05
54	1087.31	9.7e-05
55	1087.32	9.7e-05
56	1087.35	9.7e-05
57	1087.33	9.7e-05
58	1087.32	9.7e-05
59	1087.29	9.7e-05
60	1087.32	9.7e-05
61	1087.31	9.7e-05
62	1087.32	9.7e-05
63	1087.29	9.7e-05
64	1087.32	9.7e-05
65	1087.32	9.7e-05
66	1087.34	9.7e-05
67	1087.34	9.7e-05
68	1087.32	9.7e-05
69	1087.29	9.7e-05
70	1087.3	9.7e-05
71	1087.3	9.7e-05
72	1087.29	9.7e-05
73	1087.29	9.7e-05
74	1087.29	9.7e-05
75	1087.28	9.7e-05
76	1087.34	9.7e-05
77	1087.32	9.7e-05
78	1087.29	9.7e-05
79	1087.31	9.7e-05
80	1087.29	9.7e-05
81	1087.29	9.7e-05
82	1087.28	9.7e-05
83	1087.29	9.7e-05
84	1087.29	9.7e-05
85	1087.27	9.7e-05
86	1087.29	9.7e-05
87	1087.28	9.7e-05
88	1087.29	9.7e-05
89	1087.31	9.7e-05
90	1087.29	9.7e-05
91	1087.28	9.7e-05
92	1087.28	9.7e-05
93	1087.26	9.7e-05
94	1087.27	9.7e-05
95	1087.29	9.7e-05
96	1087.29	9.7e-05
97	1087.29	9.7e-05
98	1087.29	9.7e-05
99	1087.29	9.7e-05
100	1087.29	9.7e-05
101	1087.27	9.7e-05
102	1087.31	9.7e-05
103	1087.33	9.7e-05
104	1087.31	9.7e-05
105	1087.28	9.7e-05
106	1087.29	9.7e-05
107	1087.28	9.7e-05
108	1087.27	9.7e-05
109	1087.28	9.7e-05
110	1087.32	9.7e-05
111	1087.3	9.7e-05
112	1087.27	9.7e-05
113	1087.29	9.7e-05
114	1087.29	9.7e-05
115	1087.28	9.7e-05
116	1087.27	9.7e-05
117	1087.29	9.7e-05
118	1087.3	9.7e-05
119	1087.32	9.7e-05
120	1087.32	9.7e-05
121	1087.31	9.7e-05
122	1087.32	9.7e-05
123	1087.3	9.7e-05
124	1087.29	9.7e-05
125	1087.33	9.7e-05
126	1087.32	9.7e-05
127	1087.3	9.7e-05
128	1087.3	9.7e-05
129	1087.31	9.7e-05
130	1087.3	9.7e-05
131	1087.29	9.7e-05
132	1087.31	9.7e-05
133	1087.27	9.7e-05
134	1087.3	9.7e-05
135	1087.3	9.7e-05
136	1087.3	9.7e-05
137	1087.31	9.7e-05
138	1087.32	9.7e-05
139	1087.31	9.7e-05
140	1087.28	9.7e-05
141	1087.31	9.7e-05
142	1087.29	9.7e-05
143	1087.31	9.7e-05
144	1087.3	9.7e-05
145	1087.3	9.7e-05
146	1087.31	9.7e-05
147	1087.3	9.7e-05
148	1087.28	9.7e-05
149	1087.31	9.7e-05
150	1087.29	9.7e-05
151	1087.29	9.7e-05
152	1087.33	9.7e-05
153	1087.3	9.7e-05
154	1087.33	9.7e-05
155	1087.3	9.7e-05
156	1087.29	9.7e-05
157	1087.3	9.7e-05
158	1087.31	9.7e-05
159	1087.3	9.7e-05
160	1087.3	9.7e-05
161	1087.3	9.7e-05
162	1087.31	9.7e-05
163	1087.32	9.7e-05
164	1087.32	9.7e-05
165	1087.32	9.7e-05
166	1087.31	9.7e-05
167	1087.33	9.7e-05
168	1087.33	9.7e-05
169	1087.29	9.7e-05
170	1087.34	9.7e-05
171	1087.31	9.7e-05
172	1087.33	9.7e-05
173	1087.31	9.7e-05
174	1087.32	9.7e-05
175	1087.3	9.7e-05
176	1087.28	9.7e-05
177	1087.31	9.7e-05
178	1087.31	9.7e-05
179	1087.3	9.7e-05
180	1087.29	9.7e-05
181	1087.32	9.7e-05
182	1087.29	9.7e-05
183	1087.29	9.7e-05
184	1087.31	9.7e-05
185	1087.31	9.7e-05
186	1087.3	9.7e-05
187	1087.31	9.7e-05
188	1087.3	9.7e-05
189	1087.31	9.7e-05
190	1087.33	9.7e-05
191	1087.35	9.7e-05
192	1087.32	9.7e-05
193	1087.31	9.7e-05
194	1087.31	9.7e-05
195	1087.33	9.7e-05
196	1087.31	9.7e-05
197	1087.28	9.7e-05
198	1087.33	9.7e-05
199	1087.32	9.7e-05
200	1087.32	9.7e-05
201	1087.31	9.7e-05
202	1087.3	9.7e-05
203	1087.28	9.7e-05
204	1087.31	9.7e-05
205	1087.32	9.7e-05
206	1087.33	9.7e-05
207	1087.32	9.7e-05
208	1087.28	9.7e-05
209	1087.31	9.7e-05
210	1087.29	9.7e-05
211	1087.31	9.7e-05
212	1087.31	9.7e-05
213	1087.34	9.7e-05
214	1087.31	9.7e-05
215	1087.29	9.7e-05
216	1087.3	9.7e-05
217	1087.31	9.7e-05
218	1087.31	9.7e-05
219	1087.3	9.7e-05
220	1087.3	9.7e-05
221	1087.31	9.7e-05
222	1087.31	9.7e-05
223	1087.31	9.7e-05
224	1087.31	9.7e-05
225	1087.31	9.7e-05
226	1087.3	9.7e-05
227	1087.33	9.7e-05
228	1087.31	9.7e-05
229	1087.33	9.7e-05
230	1087.34	9.7e-05
231	1087.31	9.7e-05
232	1087.32	9.7e-05
233	1087.32	9.7e-05
234	1087.31	9.7e-05
235	1087.31	9.7e-05
236	1087.31	9.7e-05
237	1087.31	9.7e-05
238	1087.32	9.7e-05
239	1087.35	9.7e-05
240	1087.32	9.7e-05
241	1087.33	9.7e-05
242	1087.34	9.7e-05
243	1087.33	9.7e-05
244	1087.32	9.7e-05
245	1087.31	9.7e-05
246	1087.3	9.7e-05
247	1087.33	9.7e-05
248	1087.34	9.7e-05
249	1087.31	9.7e-05
250	1087.34	9.7e-05
251	1087.32	9.7e-05
252	1087.31	9.7e-05
253	1087.33	9.7e-05
254	1087.3	9.7e-05
255	1087.34	9.7e-05
256	1087.32	9.7e-05
257	1087.32	9.7e-05
258	1087.31	9.7e-05
259	1087.34	9.7e-05
260	1087.31	9.7e-05
261	1087.31	9.7e-05
262	1087.3	9.7e-05
263	1087.32	9.7e-05
264	1087.31	9.7e-05
265	1087.34	9.7e-05
266	1087.32	9.7e-05
267	1087.36	9.7e-05
268	1087.33	9.7e-05
269	1087.32	9.7e-05
270	1087.35	9.7e-05
271	1087.34	9.7e-05
272	1087.34	9.7e-05
273	1087.31	9.7e-05
274	1087.33	9.7e-05
275	1087.33	9.7e-05
276	1087.34	9.7e-05
277	1087.32	9.7e-05
278	1087.35	9.7e-05
279	1087.34	9.7e-05
280	1087.33	9.7e-05
281	1087.33	9.7e-05
282	1087.33	9.7e-05
283	1087.31	9.7e-05
284	1087.32	9.7e-05
285	1087.33	9.7e-05
286	1087.31	9.7e-05
287	1087.32	9.7e-05
288	1087.34	9.7e-05
289	1087.33	9.7e-05
290	1087.34	9.7e-05
291	1087.33	9.7e-05
292	1087.31	9.7e-05
293	1087.3	9.7e-05
294	1087.34	9.7e-05
295	1087.33	9.7e-05
296	1087.32	9.7e-05
297	1087.33	9.7e-05
298	1087.3	9.7e-05
299	1087.32	9.7e-05
300	1087.33	9.7e-05
301	1087.34	9.7e-05
302	1087.33	9.7e-05
303	1087.31	9.7e-05
304	1087.31	9.7e-05
305	1087.35	9.7e-05
306	1087.31	9.7e-05
307	1087.31	9.7e-05
308	1087.31	9.7e-05
309	1087.33	9.7e-05
310	1087.3	9.7e-05
311	1087.31	9.7e-05
312	1087.31	9.7e-05
313	1087.32	9.7e-05
314	1087.33	9.7e-05
315	1087.33	9.7e-05
316	1087.32	9.7e-05
317	1087.34	9.7e-05
318	1087.32	9.7e-05
319	1087.33	9.7e-05
320	1087.36	9.7e-05
321	1087.37	9.7e-05
322	1087.36	9.7e-05
323	1087.38	9.7e-05
324	1087.37	9.7e-05
325	1087.36	9.7e-05
326	1087.37	9.7e-05
327	1087.36	9.7e-05
328	1087.38	9.7e-05
329	1087.37	9.7e-05
330	1087.37	9.7e-05
331	1087.36	9.7e-05
332	1087.33	9.7e-05
333	1087.36	9.7e-05
334	1087.37	9.7e-05
335	1087.34	9.7e-05
336	1087.36	9.7e-05
337	1087.35	9.7e-05
338	1087.32	9.7e-05
339	1087.35	9.7e-05
340	1087.34	9.7e-05
341	1087.36	9.7e-05
342	1087.35	9.7e-05
343	1087.32	9.7e-05
344	1087.33	9.7e-05
345	1087.34	9.7e-05
346	1087.34	9.7e-05
347	1087.34	9.7e-05
348	1087.34	9.7e-05
349	1087.33	9.7e-05
350	1087.34	9.7e-05
351	1087.34	9.7e-05
352	1087.33	9.7e-05
353	1087.31	9.7e-05
354	1087.34	9.7e-05
355	1087.33	9.7e-05
356	1087.33	9.7e-05
357	1087.33	9.7e-05
358	1087.34	9.7e-05
359	1087.32	9.7e-05
360	1087.32	9.7e-05
361	1087.33	9.7e-05
362	1087.35	9.7e-05
363	1087.33	9.7e-05
364	1087.32	9.7e-05
365	1087.33	9.7e-05
366	1087.32	9.7e-05
367	1087.32	9.7e-05
368	1087.33	9.7e-05
369	1087.33	9.7e-05
370	1087.33	9.7e-05
371	1087.38	9.7e-05
372	1087.36	9.7e-05
373	1087.37	9.7e-05
374	1087.35	9.7e-05
375	1087.37	9.7e-05
376	1087.35	9.7e-05
377	1087.36	9.7e-05
378	1087.36	9.7e-05
379	1087.37	9.7e-05
380	1087.35	9.7e-05
381	1087.39	9.7e-05
382	1087.37	9.7e-05
383	1087.38	9.7e-05
384	1087.34	9.7e-05
385	1087.32	9.7e-05
386	1087.33	9.7e-05
387	1087.35	9.7e-05
388	1087.36	9.7e-05
389	1087.37	9.7e-05
390	1087.34	9.7e-05
391	1087.35	9.7e-05
392	1087.36	9.7e-05
393	1087.36	9.7e-05
394	1087.34	9.7e-05
395	1087.38	9.7e-05
396	1087.35	9.7e-05
397	1087.31	9.7e-05
398	1087.34	9.7e-05
399	1087.35	9.7e-05
400	1087.37	9.7e-05
401	1087.35	9.7e-05
402	1087.36	9.7e-05
403	1087.33	9.7e-05
404	1087.37	9.7e-05
405	1087.36	9.7e-05
406	1087.36	9.7e-05
407	1087.35	9.7e-05
408	1087.36	9.7e-05
409	1087.34	9.7e-05
410	1087.35	9.7e-05
411	1087.34	9.7e-05
412	1087.37	9.7e-05
413	1087.36	9.7e-05
414	1087.35	9.7e-05
415	1087.35	9.7e-05
416	1087.37	9.7e-05
417	1087.38	9.7e-05
418	1087.34	9.7e-05
419	1087.37	9.7e-05
420	1087.38	9.7e-05
421	1087.37	9.7e-05
422	1087.36	9.7e-05
423	1087.4	9.7e-05
424	1087.38	9.7e-05
425	1087.37	9.7e-05
426	1087.36	9.7e-05
427	1087.38	9.7e-05
428	1087.37	9.7e-05
429	1087.38	9.7e-05
430	1087.35	9.7e-05
431	1087.34	9.7e-05
432	1087.34	9.7e-05
433	1087.35	9.7e-05
434	1087.37	9.7e-05
435	1087.37	9.7e-05
436	1087.33	9.7e-05
437	1087.34	9.7e-05
438	1087.36	9.7e-05
439	1087.35	9.7e-05
