N	R	I
0	894.763	9.7e-05
1	894.779	9.7e-05
2	894.771	9.7e-05
3	894.767	9.7e-05
4	894.785	9.7e-05
5	894.792	9.7e-05
6	894.768	9.7e-05
7	894.784	9.7e-05
8	894.773	9.7e-05
9	894.78	9.7e-05
10	894.773	9.7e-05
11	894.766	9.7e-05
12	894.772	9.7e-05
13	894.78	9.7e-05
14	894.777	9.7e-05
15	894.776	9.7e-05
16	894.756	9.7e-05
17	894.773	9.7e-05
18	894.741	9.7e-05
19	894.765	9.7e-05
20	894.757	9.7e-05
21	894.773	9.7e-05
22	894.774	9.7e-05
23	894.791	9.7e-05
24	894.763	9.7e-05
25	894.775	9.7e-05
26	894.781	9.7e-05
27	894.763	9.7e-05
28	894.772	9.7e-05
29	894.777	9.7e-05
30	894.763	9.7e-05
31	894.754	9.7e-05
32	894.77	9.7e-05
33	894.768	9.7e-05
34	894.781	9.7e-05
35	894.789	9.7e-05
36	894.792	9.7e-05
37	894.804	9.7e-05
38	894.785	9.7e-05
39	894.762	9.7e-05
40	894.773	9.7e-05
41	894.768	9.7e-05
42	894.764	9.7e-05
43	894.764	9.7e-05
44	894.787	9.7e-05
45	894.752	9.7e-05
46	894.773	9.7e-05
47	894.777	9.7e-05
48	894.773	9.7e-05
49	894.791	9.7e-05
50	894.782	9.7e-05
51	894.784	9.7e-05
52	894.785	9.7e-05
53	894.8	9.7e-05
54	894.779	9.7e-05
55	894.779	9.7e-05
56	894.789	9.7e-05
57	894.785	9.7e-05
58	894.77	9.7e-05
59	894.787	9.7e-05
60	894.776	9.7e-05
61	894.769	9.7e-05
62	894.77	9.7e-05
63	894.761	9.7e-05
64	894.79	9.7e-05
65	894.795	9.7e-05
66	894.766	9.7e-05
67	894.763	9.7e-05
68	894.757	9.7e-05
69	894.757	9.7e-05
70	894.758	9.7e-05
71	894.76	9.7e-05
72	894.76	9.7e-05
73	894.782	9.7e-05
74	894.786	9.7e-05
75	894.772	9.7e-05
76	894.76	9.7e-05
77	894.751	9.7e-05
78	894.77	9.7e-05
79	894.774	9.7e-05
80	894.77	9.7e-05
81	894.764	9.7e-05
82	894.751	9.7e-05
83	894.76	9.7e-05
84	894.769	9.7e-05
85	894.761	9.7e-05
86	894.771	9.7e-05
87	894.771	9.7e-05
88	894.779	9.7e-05
89	894.783	9.7e-05
90	894.763	9.7e-05
91	894.75	9.7e-05
92	894.753	9.7e-05
93	894.727	9.7e-05
94	894.74	9.7e-05
95	894.747	9.7e-05
96	894.731	9.7e-05
97	894.73	9.7e-05
98	894.732	9.7e-05
99	894.74	9.7e-05
