N	R	I
0	854.302	9.7e-05
1	854.271	9.7e-05
2	854.292	9.7e-05
3	854.308	9.7e-05
4	854.294	9.7e-05
5	854.29	9.7e-05
6	854.296	9.7e-05
7	854.309	9.7e-05
8	854.295	9.7e-05
9	854.329	9.7e-05
10	854.318	9.7e-05
11	854.306	9.7e-05
12	854.322	9.7e-05
13	854.312	9.7e-05
14	854.294	9.7e-05
15	854.295	9.7e-05
16	854.302	9.7e-05
17	854.314	9.7e-05
18	854.317	9.7e-05
19	854.335	9.7e-05
20	854.32	9.7e-05
21	854.313	9.7e-05
22	854.328	9.7e-05
23	854.334	9.7e-05
24	854.353	9.7e-05
25	854.344	9.7e-05
26	854.343	9.7e-05
27	854.338	9.7e-05
28	854.343	9.7e-05
29	854.324	9.7e-05
30	854.293	9.7e-05
31	854.318	9.7e-05
32	854.294	9.7e-05
33	854.319	9.7e-05
34	854.312	9.7e-05
35	854.312	9.7e-05
36	854.315	9.7e-05
37	854.323	9.7e-05
38	854.323	9.7e-05
39	854.316	9.7e-05
40	854.317	9.7e-05
41	854.304	9.7e-05
42	854.346	9.7e-05
43	854.32	9.7e-05
44	854.313	9.7e-05
45	854.326	9.7e-05
46	854.322	9.7e-05
47	854.332	9.7e-05
48	854.354	9.7e-05
49	854.343	9.7e-05
50	854.349	9.7e-05
51	854.348	9.7e-05
52	854.34	9.7e-05
53	854.343	9.7e-05
54	854.346	9.7e-05
55	854.353	9.7e-05
56	854.334	9.7e-05
57	854.347	9.7e-05
58	854.347	9.7e-05
59	854.357	9.7e-05
60	854.342	9.7e-05
61	854.343	9.7e-05
62	854.343	9.7e-05
63	854.312	9.7e-05
64	854.345	9.7e-05
65	854.357	9.7e-05
66	854.334	9.7e-05
67	854.336	9.7e-05
68	854.335	9.7e-05
69	854.33	9.7e-05
70	854.332	9.7e-05
71	854.321	9.7e-05
72	854.334	9.7e-05
73	854.329	9.7e-05
74	854.329	9.7e-05
75	854.341	9.7e-05
76	854.334	9.7e-05
77	854.325	9.7e-05
78	854.334	9.7e-05
79	854.331	9.7e-05
80	854.323	9.7e-05
81	854.325	9.7e-05
82	854.331	9.7e-05
83	854.338	9.7e-05
84	854.333	9.7e-05
85	854.329	9.7e-05
86	854.349	9.7e-05
87	854.322	9.7e-05
88	854.333	9.7e-05
89	854.343	9.7e-05
90	854.32	9.7e-05
91	854.32	9.7e-05
92	854.346	9.7e-05
93	854.333	9.7e-05
94	854.323	9.7e-05
95	854.336	9.7e-05
96	854.332	9.7e-05
97	854.366	9.7e-05
98	854.344	9.7e-05
99	854.347	9.7e-05
