N	R	I
0	1003.33	9.7e-05
1	1003.34	9.7e-05
2	1003.33	9.7e-05
3	1003.33	9.7e-05
4	1003.33	9.7e-05
5	1003.34	9.7e-05
6	1003.32	9.7e-05
7	1003.34	9.7e-05
8	1003.33	9.7e-05
9	1003.33	9.7e-05
10	1003.32	9.7e-05
11	1003.32	9.7e-05
12	1003.33	9.7e-05
13	1003.33	9.7e-05
14	1003.33	9.7e-05
15	1003.32	9.7e-05
16	1003.33	9.7e-05
17	1003.31	9.7e-05
18	1003.3	9.7e-05
19	1003.29	9.7e-05
20	1003.32	9.7e-05
21	1003.31	9.7e-05
22	1003.32	9.7e-05
23	1003.32	9.7e-05
24	1003.35	9.7e-05
25	1003.35	9.7e-05
26	1003.34	9.7e-05
27	1003.34	9.7e-05
28	1003.34	9.7e-05
29	1003.36	9.7e-05
30	1003.34	9.7e-05
31	1003.34	9.7e-05
32	1003.34	9.7e-05
33	1003.33	9.7e-05
34	1003.34	9.7e-05
35	1003.34	9.7e-05
36	1003.34	9.7e-05
37	1003.33	9.7e-05
38	1003.32	9.7e-05
39	1003.33	9.7e-05
40	1003.33	9.7e-05
41	1003.34	9.7e-05
42	1003.32	9.7e-05
43	1003.33	9.7e-05
44	1003.34	9.7e-05
45	1003.32	9.7e-05
46	1003.34	9.7e-05
47	1003.35	9.7e-05
48	1003.31	9.7e-05
49	1003.32	9.7e-05
50	1003.33	9.7e-05
51	1003.34	9.7e-05
52	1003.32	9.7e-05
53	1003.34	9.7e-05
54	1003.34	9.7e-05
55	1003.34	9.7e-05
56	1003.34	9.7e-05
57	1003.36	9.7e-05
58	1003.35	9.7e-05
59	1003.34	9.7e-05
60	1003.34	9.7e-05
61	1003.36	9.7e-05
62	1003.35	9.7e-05
63	1003.35	9.7e-05
64	1003.33	9.7e-05
65	1003.36	9.7e-05
66	1003.35	9.7e-05
67	1003.34	9.7e-05
68	1003.34	9.7e-05
69	1003.37	9.7e-05
70	1003.37	9.7e-05
71	1003.37	9.7e-05
72	1003.34	9.7e-05
73	1003.35	9.7e-05
74	1003.33	9.7e-05
75	1003.32	9.7e-05
76	1003.32	9.7e-05
77	1003.32	9.7e-05
78	1003.31	9.7e-05
79	1003.33	9.7e-05
80	1003.35	9.7e-05
81	1003.35	9.7e-05
82	1003.31	9.7e-05
83	1003.35	9.7e-05
84	1003.35	9.7e-05
85	1003.33	9.7e-05
86	1003.34	9.7e-05
87	1003.31	9.7e-05
88	1003.34	9.7e-05
89	1003.33	9.7e-05
90	1003.33	9.7e-05
91	1003.34	9.7e-05
92	1003.35	9.7e-05
93	1003.35	9.7e-05
94	1003.35	9.7e-05
95	1003.33	9.7e-05
96	1003.35	9.7e-05
97	1003.35	9.7e-05
98	1003.36	9.7e-05
99	1003.36	9.7e-05
