N	R	I
0	998.771	9.7e-05
1	998.772	9.7e-05
2	998.78	9.7e-05
3	998.772	9.7e-05
4	998.785	9.7e-05
5	998.758	9.7e-05
6	998.768	9.7e-05
7	998.781	9.7e-05
8	998.793	9.7e-05
9	998.778	9.7e-05
10	998.795	9.7e-05
11	998.791	9.7e-05
12	998.778	9.7e-05
13	998.756	9.7e-05
14	998.779	9.7e-05
15	998.783	9.7e-05
16	998.786	9.7e-05
17	998.76	9.7e-05
18	998.786	9.7e-05
19	998.767	9.7e-05
20	998.766	9.7e-05
21	998.761	9.7e-05
22	998.777	9.7e-05
23	998.77	9.7e-05
24	998.758	9.7e-05
25	998.77	9.7e-05
26	998.776	9.7e-05
27	998.797	9.7e-05
28	998.786	9.7e-05
29	998.806	9.7e-05
30	998.785	9.7e-05
31	998.809	9.7e-05
32	998.789	9.7e-05
33	998.774	9.7e-05
34	998.779	9.7e-05
35	998.768	9.7e-05
36	998.763	9.7e-05
37	998.795	9.7e-05
38	998.771	9.7e-05
39	998.776	9.7e-05
40	998.799	9.7e-05
41	998.795	9.7e-05
42	998.776	9.7e-05
43	998.775	9.7e-05
44	998.786	9.7e-05
45	998.792	9.7e-05
46	998.779	9.7e-05
47	998.77	9.7e-05
48	998.774	9.7e-05
49	998.787	9.7e-05
50	998.776	9.7e-05
51	998.777	9.7e-05
52	998.783	9.7e-05
53	998.784	9.7e-05
54	998.797	9.7e-05
55	998.814	9.7e-05
56	998.796	9.7e-05
57	998.795	9.7e-05
58	998.805	9.7e-05
59	998.79	9.7e-05
60	998.787	9.7e-05
61	998.795	9.7e-05
62	998.782	9.7e-05
63	998.777	9.7e-05
64	998.779	9.7e-05
65	998.766	9.7e-05
66	998.772	9.7e-05
67	998.768	9.7e-05
68	998.758	9.7e-05
69	998.751	9.7e-05
70	998.77	9.7e-05
71	998.781	9.7e-05
72	998.789	9.7e-05
73	998.781	9.7e-05
74	998.786	9.7e-05
75	998.799	9.7e-05
76	998.815	9.7e-05
77	998.83	9.7e-05
78	998.814	9.7e-05
79	998.811	9.7e-05
80	998.806	9.7e-05
81	998.787	9.7e-05
82	998.805	9.7e-05
83	998.785	9.7e-05
84	998.77	9.7e-05
85	998.782	9.7e-05
86	998.769	9.7e-05
87	998.786	9.7e-05
88	998.805	9.7e-05
89	998.796	9.7e-05
90	998.78	9.7e-05
91	998.804	9.7e-05
92	998.794	9.7e-05
93	998.818	9.7e-05
94	998.804	9.7e-05
95	998.812	9.7e-05
96	998.81	9.7e-05
97	998.798	9.7e-05
98	998.801	9.7e-05
99	998.811	9.7e-05
100	998.788	9.7e-05
101	998.801	9.7e-05
102	998.806	9.7e-05
103	998.808	9.7e-05
104	998.798	9.7e-05
105	998.811	9.7e-05
106	998.798	9.7e-05
107	998.815	9.7e-05
108	998.825	9.7e-05
109	998.82	9.7e-05
110	998.817	9.7e-05
111	998.832	9.7e-05
112	998.826	9.7e-05
113	998.793	9.7e-05
114	998.816	9.7e-05
115	998.82	9.7e-05
116	998.797	9.7e-05
117	998.814	9.7e-05
118	998.79	9.7e-05
119	998.791	9.7e-05
120	998.785	9.7e-05
121	998.806	9.7e-05
122	998.803	9.7e-05
123	998.81	9.7e-05
124	998.811	9.7e-05
125	998.812	9.7e-05
126	998.82	9.7e-05
127	998.815	9.7e-05
128	998.796	9.7e-05
129	998.797	9.7e-05
130	998.831	9.7e-05
131	998.803	9.7e-05
132	998.796	9.7e-05
133	998.817	9.7e-05
134	998.831	9.7e-05
135	998.82	9.7e-05
136	998.804	9.7e-05
137	998.817	9.7e-05
138	998.82	9.7e-05
139	998.807	9.7e-05
140	998.804	9.7e-05
141	998.807	9.7e-05
142	998.8	9.7e-05
143	998.79	9.7e-05
144	998.789	9.7e-05
145	998.784	9.7e-05
146	998.808	9.7e-05
147	998.804	9.7e-05
148	998.804	9.7e-05
149	998.8	9.7e-05
150	998.824	9.7e-05
151	998.823	9.7e-05
152	998.809	9.7e-05
153	998.809	9.7e-05
154	998.796	9.7e-05
155	998.789	9.7e-05
156	998.777	9.7e-05
157	998.783	9.7e-05
158	998.792	9.7e-05
159	998.785	9.7e-05
160	998.789	9.7e-05
161	998.773	9.7e-05
