N	R	I
0	1093.51	9.7e-05
1	1093.48	9.7e-05
2	1093.51	9.7e-05
3	1093.51	9.7e-05
4	1093.5	9.7e-05
5	1093.51	9.7e-05
6	1093.52	9.7e-05
7	1093.51	9.7e-05
8	1093.5	9.7e-05
9	1093.52	9.7e-05
10	1093.52	9.7e-05
11	1093.54	9.7e-05
12	1093.53	9.7e-05
13	1093.53	9.7e-05
14	1093.52	9.7e-05
15	1093.51	9.7e-05
16	1093.52	9.7e-05
17	1093.52	9.7e-05
18	1093.52	9.7e-05
19	1093.51	9.7e-05
20	1093.53	9.7e-05
21	1093.51	9.7e-05
22	1093.51	9.7e-05
23	1093.5	9.7e-05
24	1093.5	9.7e-05
25	1093.49	9.7e-05
26	1093.49	9.7e-05
27	1093.52	9.7e-05
28	1093.51	9.7e-05
29	1093.51	9.7e-05
30	1093.49	9.7e-05
31	1093.49	9.7e-05
32	1093.5	9.7e-05
33	1093.48	9.7e-05
34	1093.47	9.7e-05
35	1093.47	9.7e-05
36	1093.48	9.7e-05
37	1093.48	9.7e-05
38	1093.47	9.7e-05
39	1093.46	9.7e-05
40	1093.44	9.7e-05
41	1093.46	9.7e-05
42	1093.48	9.7e-05
43	1093.46	9.7e-05
44	1093.46	9.7e-05
45	1093.45	9.7e-05
46	1093.47	9.7e-05
47	1093.45	9.7e-05
48	1093.46	9.7e-05
49	1093.44	9.7e-05
50	1093.46	9.7e-05
51	1093.45	9.7e-05
52	1093.48	9.7e-05
53	1093.48	9.7e-05
54	1093.49	9.7e-05
55	1093.48	9.7e-05
56	1093.46	9.7e-05
57	1093.45	9.7e-05
58	1093.48	9.7e-05
59	1093.45	9.7e-05
60	1093.49	9.7e-05
61	1093.45	9.7e-05
62	1093.45	9.7e-05
63	1093.48	9.7e-05
64	1093.48	9.7e-05
65	1093.47	9.7e-05
66	1093.48	9.7e-05
67	1093.48	9.7e-05
68	1093.46	9.7e-05
69	1093.48	9.7e-05
70	1093.48	9.7e-05
71	1093.46	9.7e-05
72	1093.47	9.7e-05
73	1093.46	9.7e-05
74	1093.45	9.7e-05
75	1093.44	9.7e-05
76	1093.47	9.7e-05
77	1093.46	9.7e-05
78	1093.49	9.7e-05
79	1093.51	9.7e-05
80	1093.49	9.7e-05
81	1093.47	9.7e-05
82	1093.47	9.7e-05
83	1093.46	9.7e-05
84	1093.46	9.7e-05
85	1093.46	9.7e-05
86	1093.46	9.7e-05
87	1093.48	9.7e-05
