N	R	I
0	935.867	9.7e-05
1	935.849	9.7e-05
2	935.868	9.7e-05
3	935.852	9.7e-05
4	935.86	9.7e-05
5	935.844	9.7e-05
6	935.845	9.7e-05
7	935.841	9.7e-05
8	935.853	9.7e-05
9	935.834	9.7e-05
10	935.846	9.7e-05
11	935.825	9.7e-05
12	935.813	9.7e-05
13	935.816	9.7e-05
14	935.815	9.7e-05
15	935.817	9.7e-05
16	935.831	9.7e-05
17	935.82	9.7e-05
18	935.83	9.7e-05
19	935.817	9.7e-05
20	935.836	9.7e-05
21	935.84	9.7e-05
22	935.819	9.7e-05
23	935.8	9.7e-05
24	935.821	9.7e-05
25	935.809	9.7e-05
26	935.797	9.7e-05
27	935.769	9.7e-05
28	935.793	9.7e-05
29	935.798	9.7e-05
30	935.773	9.7e-05
31	935.796	9.7e-05
32	935.792	9.7e-05
33	935.778	9.7e-05
34	935.784	9.7e-05
35	935.771	9.7e-05
36	935.798	9.7e-05
37	935.778	9.7e-05
38	935.774	9.7e-05
39	935.762	9.7e-05
40	935.762	9.7e-05
41	935.786	9.7e-05
42	935.803	9.7e-05
43	935.785	9.7e-05
44	935.796	9.7e-05
45	935.797	9.7e-05
46	935.789	9.7e-05
47	935.79	9.7e-05
48	935.799	9.7e-05
49	935.78	9.7e-05
50	935.778	9.7e-05
51	935.799	9.7e-05
52	935.78	9.7e-05
53	935.778	9.7e-05
54	935.784	9.7e-05
55	935.785	9.7e-05
56	935.797	9.7e-05
57	935.766	9.7e-05
58	935.77	9.7e-05
59	935.768	9.7e-05
60	935.772	9.7e-05
61	935.76	9.7e-05
62	935.767	9.7e-05
63	935.764	9.7e-05
64	935.771	9.7e-05
65	935.77	9.7e-05
66	935.748	9.7e-05
67	935.764	9.7e-05
68	935.757	9.7e-05
69	935.778	9.7e-05
70	935.759	9.7e-05
71	935.747	9.7e-05
72	935.77	9.7e-05
73	935.752	9.7e-05
74	935.734	9.7e-05
75	935.751	9.7e-05
76	935.749	9.7e-05
77	935.757	9.7e-05
78	935.743	9.7e-05
79	935.777	9.7e-05
80	935.776	9.7e-05
81	935.771	9.7e-05
82	935.764	9.7e-05
83	935.76	9.7e-05
84	935.746	9.7e-05
85	935.765	9.7e-05
86	935.757	9.7e-05
87	935.761	9.7e-05
88	935.744	9.7e-05
89	935.739	9.7e-05
90	935.743	9.7e-05
91	935.741	9.7e-05
92	935.761	9.7e-05
93	935.774	9.7e-05
94	935.777	9.7e-05
95	935.787	9.7e-05
96	935.77	9.7e-05
97	935.764	9.7e-05
98	935.761	9.7e-05
99	935.759	9.7e-05
100	935.763	9.7e-05
101	935.761	9.7e-05
102	935.771	9.7e-05
103	935.772	9.7e-05
104	935.764	9.7e-05
105	935.748	9.7e-05
106	935.75	9.7e-05
107	935.763	9.7e-05
108	935.78	9.7e-05
109	935.755	9.7e-05
110	935.737	9.7e-05
111	935.779	9.7e-05
112	935.751	9.7e-05
113	935.767	9.7e-05
114	935.779	9.7e-05
115	935.787	9.7e-05
116	935.8	9.7e-05
117	935.794	9.7e-05
118	935.77	9.7e-05
119	935.764	9.7e-05
120	935.785	9.7e-05
121	935.792	9.7e-05
122	935.77	9.7e-05
123	935.798	9.7e-05
124	935.803	9.7e-05
125	935.786	9.7e-05
126	935.793	9.7e-05
127	935.788	9.7e-05
128	935.798	9.7e-05
129	935.791	9.7e-05
130	935.779	9.7e-05
131	935.782	9.7e-05
132	935.78	9.7e-05
133	935.787	9.7e-05
134	935.784	9.7e-05
135	935.799	9.7e-05
136	935.78	9.7e-05
137	935.769	9.7e-05
138	935.781	9.7e-05
139	935.786	9.7e-05
140	935.811	9.7e-05
141	935.825	9.7e-05
142	935.799	9.7e-05
143	935.79	9.7e-05
144	935.789	9.7e-05
145	935.786	9.7e-05
146	935.768	9.7e-05
147	935.781	9.7e-05
148	935.808	9.7e-05
149	935.816	9.7e-05
150	935.796	9.7e-05
151	935.807	9.7e-05
152	935.787	9.7e-05
153	935.791	9.7e-05
154	935.786	9.7e-05
155	935.789	9.7e-05
156	935.79	9.7e-05
157	935.787	9.7e-05
158	935.816	9.7e-05
159	935.807	9.7e-05
160	935.816	9.7e-05
161	935.837	9.7e-05
162	935.79	9.7e-05
163	935.807	9.7e-05
164	935.816	9.7e-05
165	935.815	9.7e-05
166	935.81	9.7e-05
167	935.827	9.7e-05
168	935.808	9.7e-05
169	935.793	9.7e-05
170	935.824	9.7e-05
171	935.82	9.7e-05
172	935.808	9.7e-05
173	935.804	9.7e-05
174	935.8	9.7e-05
175	935.838	9.7e-05
176	935.803	9.7e-05
177	935.835	9.7e-05
178	935.831	9.7e-05
179	935.8	9.7e-05
180	935.798	9.7e-05
181	935.82	9.7e-05
182	935.825	9.7e-05
183	935.839	9.7e-05
184	935.818	9.7e-05
185	935.818	9.7e-05
186	935.851	9.7e-05
187	935.83	9.7e-05
188	935.832	9.7e-05
189	935.808	9.7e-05
190	935.817	9.7e-05
191	935.835	9.7e-05
192	935.84	9.7e-05
193	935.821	9.7e-05
194	935.831	9.7e-05
195	935.831	9.7e-05
196	935.851	9.7e-05
197	935.84	9.7e-05
198	935.859	9.7e-05
199	935.844	9.7e-05
200	935.87	9.7e-05
201	935.852	9.7e-05
