N	R	I
0	1031.32	9.7e-05
1	1031.31	9.7e-05
2	1031.32	9.7e-05
3	1031.31	9.7e-05
4	1031.33	9.7e-05
5	1031.31	9.7e-05
6	1031.31	9.7e-05
7	1031.32	9.7e-05
8	1031.3	9.7e-05
9	1031.31	9.7e-05
10	1031.31	9.7e-05
11	1031.3	9.7e-05
12	1031.32	9.7e-05
13	1031.32	9.7e-05
14	1031.31	9.7e-05
15	1031.32	9.7e-05
16	1031.32	9.7e-05
17	1031.3	9.7e-05
18	1031.33	9.7e-05
19	1031.35	9.7e-05
20	1031.33	9.7e-05
21	1031.32	9.7e-05
22	1031.32	9.7e-05
23	1031.35	9.7e-05
24	1031.35	9.7e-05
25	1031.35	9.7e-05
26	1031.34	9.7e-05
27	1031.36	9.7e-05
28	1031.37	9.7e-05
29	1031.34	9.7e-05
30	1031.35	9.7e-05
31	1031.35	9.7e-05
32	1031.37	9.7e-05
33	1031.38	9.7e-05
34	1031.34	9.7e-05
35	1031.36	9.7e-05
36	1031.34	9.7e-05
37	1031.36	9.7e-05
38	1031.35	9.7e-05
39	1031.38	9.7e-05
40	1031.37	9.7e-05
41	1031.37	9.7e-05
42	1031.37	9.7e-05
43	1031.39	9.7e-05
44	1031.37	9.7e-05
45	1031.39	9.7e-05
46	1031.4	9.7e-05
47	1031.41	9.7e-05
48	1031.41	9.7e-05
49	1031.42	9.7e-05
50	1031.41	9.7e-05
51	1031.43	9.7e-05
52	1031.46	9.7e-05
53	1031.43	9.7e-05
54	1031.43	9.7e-05
55	1031.43	9.7e-05
56	1031.45	9.7e-05
57	1031.46	9.7e-05
58	1031.46	9.7e-05
59	1031.47	9.7e-05
60	1031.48	9.7e-05
61	1031.49	9.7e-05
62	1031.49	9.7e-05
63	1031.5	9.7e-05
64	1031.5	9.7e-05
65	1031.5	9.7e-05
66	1031.5	9.7e-05
67	1031.54	9.7e-05
68	1031.55	9.7e-05
69	1031.56	9.7e-05
70	1031.54	9.7e-05
71	1031.55	9.7e-05
72	1031.55	9.7e-05
73	1031.56	9.7e-05
74	1031.56	9.7e-05
75	1031.6	9.7e-05
76	1031.58	9.7e-05
77	1031.6	9.7e-05
78	1031.61	9.7e-05
79	1031.6	9.7e-05
80	1031.64	9.7e-05
81	1031.66	9.7e-05
82	1031.64	9.7e-05
83	1031.67	9.7e-05
84	1031.68	9.7e-05
85	1031.7	9.7e-05
86	1031.69	9.7e-05
87	1031.72	9.7e-05
88	1031.73	9.7e-05
89	1031.73	9.7e-05
90	1031.74	9.7e-05
91	1031.75	9.7e-05
92	1031.74	9.7e-05
93	1031.78	9.7e-05
94	1031.79	9.7e-05
95	1031.81	9.7e-05
96	1031.85	9.7e-05
97	1031.85	9.7e-05
98	1031.85	9.7e-05
99	1031.88	9.7e-05
100	1031.9	9.7e-05
101	1031.93	9.7e-05
102	1031.92	9.7e-05
103	1031.91	9.7e-05
104	1031.92	9.7e-05
105	1031.94	9.7e-05
106	1031.98	9.7e-05
107	1031.97	9.7e-05
108	1032.0	9.7e-05
109	1031.99	9.7e-05
110	1032.01	9.7e-05
111	1032.02	9.7e-05
112	1032.05	9.7e-05
113	1032.07	9.7e-05
114	1032.1	9.7e-05
115	1032.07	9.7e-05
116	1032.09	9.7e-05
117	1032.12	9.7e-05
118	1032.14	9.7e-05
119	1032.14	9.7e-05
120	1032.18	9.7e-05
121	1032.2	9.7e-05
122	1032.21	9.7e-05
123	1032.22	9.7e-05
124	1032.24	9.7e-05
125	1032.24	9.7e-05
126	1032.27	9.7e-05
127	1032.25	9.7e-05
128	1032.25	9.7e-05
129	1032.27	9.7e-05
130	1032.31	9.7e-05
131	1032.28	9.7e-05
132	1032.31	9.7e-05
133	1032.32	9.7e-05
134	1032.34	9.7e-05
135	1032.33	9.7e-05
136	1032.37	9.7e-05
137	1032.37	9.7e-05
138	1032.38	9.7e-05
139	1032.41	9.7e-05
