V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.57681e-06	0.596892	1e-05	1094.406
30.0	3.54674e-06	0.602432	1.21518e-05	1094.429
30.0	3.63018e-06	0.608029	1.47667e-05	1094.417
30.0	3.64396e-06	0.613711	1.79443e-05	1094.437
30.0	3.62563e-06	0.619487	2.18056e-05	1094.429
30.0	3.68553e-06	0.62536	2.64977e-05	1094.407
30.0	3.68716e-06	0.63133	3.21996e-05	1094.406
30.0	3.79378e-06	0.637421	3.91284e-05	1094.424
30.0	3.86094e-06	0.643618	4.75482e-05	1094.413
30.0	3.97707e-06	0.649947	5.77798e-05	1094.434
30.0	4.08186e-06	0.656393	7.02131e-05	1094.423
30.0	4.18941e-06	0.662958	8.53217e-05	1094.408
30.0	4.41263e-06	0.669654	0.000103682	1094.404
30.0	4.63797e-06	0.676475	0.000125992	1094.42
30.0	4.949e-06	0.683405	0.000153104	1094.433
30.0	5.41896e-06	0.690445	0.000186049	1094.415
30.0	5.98875e-06	0.697586	0.000226083	1094.406
30.0	6.71743e-06	0.704825	0.000274733	1094.419
30.0	7.73198e-06	0.712135	0.000333851	1094.398
30.0	9.02421e-06	0.719522	0.00040569	1094.42
30.0	1.07642e-05	0.72697	0.000492988	1094.399
30.0	1.29552e-05	0.734476	0.00059907	1094.427
30.0	1.5899e-05	0.742035	0.00072798	1094.424
30.0	1.96593e-05	0.749649	0.000884629	1094.419
30.0	2.46443e-05	0.757314	0.00107499	1094.431
30.0	3.099e-05	0.765069	0.00130631	1094.413
30.0	3.90721e-05	0.772922	0.0015874	1094.409
30.0	4.9429e-05	0.780899	0.00192898	1094.385
30.0	6.24988e-05	0.789039	0.00234407	1094.404
30.0	7.929e-05	0.797401	0.00284847	1094.402
30.0	0.000100235	0.806041	0.00346142	1094.414
30.0	0.000126746	0.81504	0.00420626	1094.412
30.0	0.000159314	0.824495	0.00511137	1094.397
30.0	0.000200164	0.834514	0.00621125	1094.415
30.0	0.000250593	0.845223	0.00754781	1094.41
30.0	0.000312663	0.85679	0.00917197	1094.417
30.0	0.000388293	0.869356	0.0111456	1094.404
30.0	0.000480795	0.883106	0.013544	1094.406
30.0	0.000593603	0.898254	0.0164584	1094.414
30.0	0.000728902	0.914907	0.02	1094.427
30.0	0.000729067	0.914722	0.02	1094.407
30.0	0.000593864	0.897754	0.0164584	1094.421
30.0	0.000481798	0.88249	0.013544	1094.41
30.0	0.000389231	0.868681	0.0111456	1094.432
30.0	0.000313147	0.856112	0.00917197	1094.409
30.0	0.000251005	0.844567	0.00754781	1094.417
30.0	0.000200506	0.833882	0.00621125	1094.408
30.0	0.000159963	0.823901	0.00511137	1094.402
30.0	0.000126936	0.814472	0.00420626	1094.42
30.0	0.000100346	0.805502	0.00346142	1094.406
30.0	7.95118e-05	0.796897	0.00284847	1094.42
30.0	6.27645e-05	0.788568	0.00234407	1094.402
30.0	4.95148e-05	0.780454	0.00192898	1094.407
30.0	3.90541e-05	0.772514	0.0015874	1094.405
30.0	3.1009e-05	0.764687	0.00130631	1094.405
30.0	2.4685e-05	0.756954	0.00107499	1094.416
30.0	1.9671e-05	0.749312	0.000884629	1094.402
30.0	1.59288e-05	0.741711	0.00072798	1094.409
30.0	1.30221e-05	0.734175	0.00059907	1094.413
30.0	1.0749e-05	0.726683	0.000492988	1094.388
30.0	9.0949e-06	0.719254	0.00040569	1094.414
30.0	7.77166e-06	0.71188	0.000333851	1094.415
30.0	6.76284e-06	0.704579	0.000274733	1094.399
30.0	5.99591e-06	0.697352	0.000226083	1094.415
30.0	5.45116e-06	0.69022	0.000186049	1094.412
30.0	4.99629e-06	0.683189	0.000153104	1094.406
30.0	4.67847e-06	0.67627	0.000125992	1094.401
30.0	4.46632e-06	0.669458	0.000103682	1094.4
30.0	4.28605e-06	0.662768	8.53217e-05	1094.417
30.0	4.08584e-06	0.656207	7.02131e-05	1094.406
30.0	3.99471e-06	0.649763	5.77798e-05	1094.411
30.0	3.93027e-06	0.643439	4.75482e-05	1094.385
30.0	3.82525e-06	0.637249	3.91284e-05	1094.408
30.0	3.78255e-06	0.631166	3.21996e-05	1094.422
30.0	3.70451e-06	0.625201	2.64977e-05	1094.404
30.0	3.68806e-06	0.61933	2.18056e-05	1094.406
30.0	3.69796e-06	0.613567	1.79443e-05	1094.405
