V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.45605e-06	0.597664	1e-05	1092.89
30.0	3.48752e-06	0.603198	1.21518e-05	1092.884
30.0	3.45758e-06	0.608795	1.47667e-05	1092.893
30.0	3.53702e-06	0.614467	1.79443e-05	1092.895
30.0	3.53852e-06	0.620235	2.18056e-05	1092.881
30.0	3.55624e-06	0.626099	2.64977e-05	1092.891
30.0	3.58774e-06	0.632068	3.21996e-05	1092.889
30.0	3.66276e-06	0.638147	3.91284e-05	1092.887
30.0	3.73927e-06	0.644346	4.75482e-05	1092.873
30.0	3.82344e-06	0.650653	5.77798e-05	1092.894
30.0	3.93235e-06	0.657091	7.02131e-05	1092.902
30.0	4.05529e-06	0.663651	8.53217e-05	1092.905
30.0	4.2566e-06	0.670338	0.000103682	1092.881
30.0	4.55917e-06	0.677149	0.000125992	1092.879
30.0	4.86764e-06	0.684071	0.000153104	1092.898
30.0	5.24972e-06	0.6911	0.000186049	1092.869
30.0	5.863e-06	0.698233	0.000226083	1092.895
30.0	6.6189e-06	0.705458	0.000274733	1092.896
30.0	7.60278e-06	0.712764	0.000333851	1092.885
30.0	8.91193e-06	0.720143	0.00040569	1092.881
30.0	1.0679e-05	0.727583	0.000492988	1092.877
30.0	1.28054e-05	0.735083	0.00059907	1092.887
30.0	1.57182e-05	0.742634	0.00072798	1092.903
30.0	1.95443e-05	0.750239	0.000884629	1092.889
30.0	2.4467e-05	0.757897	0.00107499	1092.878
30.0	3.06036e-05	0.765648	0.00130631	1092.898
30.0	3.88248e-05	0.773496	0.0015874	1092.89
30.0	4.92328e-05	0.781458	0.00192898	1092.886
30.0	6.23274e-05	0.789599	0.00234407	1092.9
30.0	7.89825e-05	0.797956	0.00284847	1092.9
30.0	9.98889e-05	0.806591	0.00346142	1092.888
30.0	0.000126161	0.815585	0.00420626	1092.897
30.0	0.000158813	0.825027	0.00511137	1092.885
30.0	0.000199579	0.83504	0.00621125	1092.88
30.0	0.000249758	0.84575	0.00754781	1092.893
30.0	0.000312041	0.857302	0.00917197	1092.895
30.0	0.000387218	0.869852	0.0111456	1092.913
30.0	0.00047957	0.883601	0.013544	1092.892
30.0	0.000591701	0.898722	0.0164584	1092.877
30.0	0.000727837	0.915389	0.02	1092.887
30.0	0.000727952	0.915202	0.02	1092.891
30.0	0.000592469	0.898267	0.0164584	1092.88
30.0	0.000480549	0.883016	0.013544	1092.901
30.0	0.000387605	0.869219	0.0111456	1092.882
30.0	0.000312341	0.856655	0.00917197	1092.883
30.0	0.000250136	0.845107	0.00754781	1092.882
30.0	0.00019992	0.834422	0.00621125	1092.891
30.0	0.000159238	0.82444	0.00511137	1092.884
30.0	0.000126248	0.815022	0.00420626	1092.867
30.0	0.000100225	0.80606	0.00346142	1092.871
30.0	7.9112e-05	0.797455	0.00284847	1092.879
30.0	6.23904e-05	0.789135	0.00234407	1092.883
30.0	4.93554e-05	0.78102	0.00192898	1092.858
30.0	3.8902e-05	0.773084	0.0015874	1092.879
30.0	3.07082e-05	0.765263	0.00130631	1092.882
30.0	2.44607e-05	0.757528	0.00107499	1092.888
30.0	1.95444e-05	0.749898	0.000884629	1092.875
30.0	1.58062e-05	0.742306	0.00072798	1092.883
30.0	1.2927e-05	0.734773	0.00059907	1092.884
30.0	1.06468e-05	0.727291	0.000492988	1092.884
30.0	8.94927e-06	0.719859	0.00040569	1092.88
30.0	7.61834e-06	0.712496	0.000333851	1092.896
30.0	6.62884e-06	0.705199	0.000274733	1092.867
30.0	5.84455e-06	0.697988	0.000226083	1092.888
30.0	5.31499e-06	0.690859	0.000186049	1092.877
30.0	4.90918e-06	0.683838	0.000153104	1092.871
30.0	4.52249e-06	0.676924	0.000125992	1092.898
30.0	4.30862e-06	0.670118	0.000103682	1092.862
30.0	4.10896e-06	0.663442	8.53217e-05	1092.879
30.0	3.99022e-06	0.656892	7.02131e-05	1092.882
30.0	3.86059e-06	0.650455	5.77798e-05	1092.877
30.0	3.76926e-06	0.64415	4.75482e-05	1092.874
30.0	3.72244e-06	0.637959	3.91284e-05	1092.899
30.0	3.64076e-06	0.63188	3.21996e-05	1092.887
30.0	3.6267e-06	0.625921	2.64977e-05	1092.886
30.0	3.58756e-06	0.620061	2.18056e-05	1092.876
30.0	3.53999e-06	0.614297	1.79443e-05	1092.899
30.0	3.52478e-06	0.608625	1.47667e-05	1092.893
30.0	3.46959e-06	0.603033	1.21518e-05	1092.884
30.0	3.51232e-06	0.597497	1e-05	1092.875
