V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.68054e-06	0.595895	1e-05	1096.011
30.0	3.70726e-06	0.60145	1.21518e-05	1095.994
30.0	3.76163e-06	0.607059	1.47667e-05	1096.014
30.0	3.75857e-06	0.612756	1.79443e-05	1095.992
30.0	3.75862e-06	0.61854	2.18056e-05	1095.98
30.0	3.83676e-06	0.624425	2.64977e-05	1095.991
30.0	3.88663e-06	0.630408	3.21996e-05	1095.983
30.0	3.90607e-06	0.63651	3.91284e-05	1095.99
30.0	4.00835e-06	0.642733	4.75482e-05	1096.006
30.0	4.04826e-06	0.649067	5.77798e-05	1095.995
30.0	4.20219e-06	0.655526	7.02131e-05	1096.016
30.0	4.37943e-06	0.662109	8.53217e-05	1096.011
30.0	4.53484e-06	0.66882	0.000103682	1095.991
30.0	4.7666e-06	0.675648	0.000125992	1096.0
30.0	5.10478e-06	0.682596	0.000153104	1096.013
30.0	5.56733e-06	0.689647	0.000186049	1095.999
30.0	6.14721e-06	0.696802	0.000226083	1095.996
30.0	6.86017e-06	0.704049	0.000274733	1095.999
30.0	7.86413e-06	0.711378	0.000333851	1095.998
30.0	9.15369e-06	0.71877	0.00040569	1095.993
30.0	1.08962e-05	0.726232	0.000492988	1096.013
30.0	1.31137e-05	0.733748	0.00059907	1095.997
30.0	1.6118e-05	0.741317	0.00072798	1096.014
30.0	1.9802e-05	0.74894	0.000884629	1095.995
30.0	2.47796e-05	0.756619	0.00107499	1095.981
30.0	3.11066e-05	0.764383	0.00130631	1095.993
30.0	3.9255e-05	0.772243	0.0015874	1095.981
30.0	4.96268e-05	0.78022	0.00192898	1095.983
30.0	6.27808e-05	0.78837	0.00234407	1096.002
30.0	7.9678e-05	0.796733	0.00284847	1095.976
30.0	0.000100698	0.805376	0.00346142	1096.011
30.0	0.000127055	0.814378	0.00420626	1095.997
30.0	0.000159858	0.823832	0.00511137	1095.984
30.0	0.000200645	0.833852	0.00621125	1096.017
30.0	0.000251278	0.844549	0.00754781	1095.996
30.0	0.000313393	0.856111	0.00917197	1095.999
30.0	0.000389047	0.868669	0.0111456	1095.992
30.0	0.000481964	0.882419	0.013544	1095.979
30.0	0.000594841	0.897549	0.0164584	1096.002
30.0	0.000730102	0.914226	0.02	1096.001
30.0	0.000731333	0.914	0.02	1095.978
30.0	0.000594741	0.897036	0.0164584	1095.992
30.0	0.000482457	0.881805	0.013544	1095.979
30.0	0.000390114	0.867993	0.0111456	1095.989
30.0	0.000314117	0.855431	0.00917197	1095.995
30.0	0.000251642	0.843887	0.00754781	1096.002
30.0	0.000201015	0.833206	0.00621125	1095.976
30.0	0.000160333	0.823225	0.00511137	1096.009
30.0	0.000127176	0.813812	0.00420626	1096.004
30.0	0.000100866	0.804841	0.00346142	1095.992
30.0	7.97358e-05	0.796228	0.00284847	1095.996
30.0	6.30138e-05	0.787904	0.00234407	1095.994
30.0	4.97407e-05	0.779781	0.00192898	1096.0
30.0	3.93356e-05	0.771844	0.0015874	1095.991
30.0	3.12115e-05	0.764015	0.00130631	1095.995
30.0	2.47805e-05	0.756265	0.00107499	1095.992
30.0	1.98858e-05	0.74862	0.000884629	1096.006
30.0	1.60867e-05	0.74101	0.00072798	1095.999
30.0	1.31725e-05	0.733459	0.00059907	1096.008
30.0	1.09652e-05	0.725966	0.000492988	1095.989
30.0	9.24046e-06	0.718519	0.00040569	1095.996
30.0	7.8674e-06	0.711136	0.000333851	1096.004
30.0	6.86525e-06	0.703825	0.000274733	1095.989
30.0	6.14676e-06	0.69659	0.000226083	1095.995
30.0	5.56953e-06	0.689443	0.000186049	1096.004
30.0	5.12592e-06	0.682402	0.000153104	1096.006
30.0	4.80659e-06	0.675466	0.000125992	1096.021
30.0	4.55632e-06	0.668644	0.000103682	1096.012
30.0	4.31613e-06	0.661941	8.53217e-05	1095.995
30.0	4.20155e-06	0.655363	7.02131e-05	1096.014
30.0	4.0937e-06	0.648912	5.77798e-05	1096.011
30.0	4.00986e-06	0.642581	4.75482e-05	1096.013
30.0	3.93029e-06	0.636379	3.91284e-05	1095.998
30.0	3.9128e-06	0.630285	3.21996e-05	1096.027
30.0	3.85556e-06	0.624306	2.64977e-05	1096.028
30.0	3.8102e-06	0.618428	2.18056e-05	1096.018
30.0	3.78128e-06	0.612645	1.79443e-05	1096.002
30.0	3.77483e-06	0.606959	1.47667e-05	1095.998
30.0	3.72449e-06	0.601354	1.21518e-05	1096.006
30.0	3.75543e-06	0.595805	1e-05	1096.001
30.0	3.73886e-06	0.595806	1e-05	1096.015
30.0	3.739e-06	0.601372	1.21518e-05	1096.016
30.0	3.75179e-06	0.606987	1.47667e-05	1096.019
30.0	3.77606e-06	0.612681	1.79443e-05	1096.019
30.0	3.75832e-06	0.618474	2.18056e-05	1096.016
30.0	3.8354e-06	0.62436	2.64977e-05	1096.011
30.0	3.85437e-06	0.630345	3.21996e-05	1096.022
30.0	3.96313e-06	0.636445	3.91284e-05	1096.007
30.0	3.98656e-06	0.642662	4.75482e-05	1096.022
30.0	4.07679e-06	0.649003	5.77798e-05	1096.02
30.0	4.23478e-06	0.655466	7.02131e-05	1096.005
30.0	4.33833e-06	0.662051	8.53217e-05	1096.02
30.0	4.47548e-06	0.66876	0.000103682	1096.026
30.0	4.76624e-06	0.675595	0.000125992	1096.014
30.0	5.16629e-06	0.682542	0.000153104	1096.031
30.0	5.57753e-06	0.689595	0.000186049	1096.029
30.0	6.10876e-06	0.696754	0.000226083	1096.042
30.0	6.8823e-06	0.704001	0.000274733	1096.016
30.0	7.84909e-06	0.711329	0.000333851	1096.027
30.0	9.16275e-06	0.718728	0.00040569	1096.028
30.0	1.0874e-05	0.726192	0.000492988	1096.039
30.0	1.30941e-05	0.733711	0.00059907	1096.028
30.0	1.60627e-05	0.741279	0.00072798	1096.026
30.0	1.98634e-05	0.748906	0.000884629	1096.043
30.0	2.46765e-05	0.756581	0.00107499	1096.035
30.0	3.12217e-05	0.764348	0.00130631	1096.054
30.0	3.92387e-05	0.772212	0.0015874	1096.043
30.0	4.96132e-05	0.780186	0.00192898	1096.042
30.0	6.28886e-05	0.788339	0.00234407	1096.036
30.0	7.96572e-05	0.796704	0.00284847	1096.034
30.0	0.000100551	0.805345	0.00346142	1096.026
30.0	0.000127094	0.814353	0.00420626	1096.041
30.0	0.000160056	0.823809	0.00511137	1096.028
30.0	0.000200641	0.83382	0.00621125	1096.027
30.0	0.00025096	0.844533	0.00754781	1096.047
30.0	0.000313077	0.85609	0.00917197	1096.039
30.0	0.000388431	0.868636	0.0111456	1096.019
30.0	0.000481725	0.88239	0.013544	1096.058
30.0	0.00059409	0.897491	0.0164584	1096.059
30.0	0.000729924	0.914177	0.02	1096.055
30.0	0.000730576	0.913971	0.02	1096.05
30.0	0.000594896	0.896999	0.0164584	1096.044
30.0	0.000482289	0.881758	0.013544	1096.057
30.0	0.000389291	0.86796	0.0111456	1096.051
30.0	0.000313393	0.855407	0.00917197	1096.05
30.0	0.000251244	0.843863	0.00754781	1096.044
30.0	0.000200705	0.833193	0.00621125	1096.057
30.0	0.000160236	0.823202	0.00511137	1096.044
30.0	0.000127105	0.813784	0.00420626	1096.053
30.0	0.000100869	0.804813	0.00346142	1096.047
30.0	7.9826e-05	0.796205	0.00284847	1096.059
30.0	6.30559e-05	0.787875	0.00234407	1096.042
30.0	4.97925e-05	0.779761	0.00192898	1096.038
30.0	3.93698e-05	0.771807	0.0015874	1096.054
30.0	3.11677e-05	0.763975	0.00130631	1096.031
30.0	2.4829e-05	0.756237	0.00107499	1096.058
30.0	1.98826e-05	0.748585	0.000884629	1096.074
30.0	1.60927e-05	0.740978	0.00072798	1096.066
30.0	1.31506e-05	0.733428	0.00059907	1096.041
30.0	1.09288e-05	0.725927	0.000492988	1096.076
30.0	9.16355e-06	0.718484	0.00040569	1096.059
30.0	7.88223e-06	0.711099	0.000333851	1096.061
30.0	6.84359e-06	0.703786	0.000274733	1096.049
30.0	6.14057e-06	0.696552	0.000226083	1096.057
30.0	5.54777e-06	0.689403	0.000186049	1096.06
30.0	5.09051e-06	0.682359	0.000153104	1096.044
30.0	4.84232e-06	0.675426	0.000125992	1096.056
30.0	4.57931e-06	0.668602	0.000103682	1096.043
30.0	4.36944e-06	0.661901	8.53217e-05	1096.055
30.0	4.23368e-06	0.655325	7.02131e-05	1096.046
30.0	4.09239e-06	0.648876	5.77798e-05	1096.051
30.0	3.99245e-06	0.642546	4.75482e-05	1096.05
30.0	3.94067e-06	0.636338	3.91284e-05	1096.039
30.0	3.87124e-06	0.630244	3.21996e-05	1096.049
30.0	3.8393e-06	0.624267	2.64977e-05	1096.053
30.0	3.82704e-06	0.618385	2.18056e-05	1096.058
30.0	3.76858e-06	0.612602	1.79443e-05	1096.055
30.0	3.75725e-06	0.606912	1.47667e-05	1096.057
30.0	3.73272e-06	0.60131	1.21518e-05	1096.04
30.0	3.72096e-06	0.595763	1e-05	1096.074
30.0	3.7251e-06	0.595766	1e-05	1096.048
30.0	3.74585e-06	0.601323	1.21518e-05	1096.066
30.0	3.74808e-06	0.606943	1.47667e-05	1096.051
30.0	3.74667e-06	0.612639	1.79443e-05	1096.055
30.0	3.82327e-06	0.618432	2.18056e-05	1096.052
30.0	3.84052e-06	0.624317	2.64977e-05	1096.068
30.0	3.87903e-06	0.630306	3.21996e-05	1096.06
30.0	3.92901e-06	0.636412	3.91284e-05	1096.067
30.0	3.95815e-06	0.642626	4.75482e-05	1096.054
30.0	4.08128e-06	0.648972	5.77798e-05	1096.053
30.0	4.18752e-06	0.655434	7.02131e-05	1096.067
30.0	4.34387e-06	0.662018	8.53217e-05	1096.069
30.0	4.54753e-06	0.668732	0.000103682	1096.065
30.0	4.81215e-06	0.675565	0.000125992	1096.077
30.0	5.13626e-06	0.682514	0.000153104	1096.057
30.0	5.50181e-06	0.68957	0.000186049	1096.069
30.0	6.18195e-06	0.696731	0.000226083	1096.066
30.0	6.88249e-06	0.70398	0.000274733	1096.077
30.0	7.81076e-06	0.711308	0.000333851	1096.049
30.0	9.12376e-06	0.718705	0.00040569	1096.082
30.0	1.08871e-05	0.726167	0.000492988	1096.074
30.0	1.31625e-05	0.733686	0.00059907	1096.081
30.0	1.60177e-05	0.741256	0.00072798	1096.089
30.0	1.98985e-05	0.748883	0.000884629	1096.07
30.0	2.47113e-05	0.756557	0.00107499	1096.063
30.0	3.09616e-05	0.764321	0.00130631	1096.061
30.0	3.91732e-05	0.772184	0.0015874	1096.057
30.0	4.96122e-05	0.780165	0.00192898	1096.074
30.0	6.27004e-05	0.788316	0.00234407	1096.081
30.0	7.96087e-05	0.796677	0.00284847	1096.077
30.0	0.000100598	0.805326	0.00346142	1096.079
30.0	0.00012675	0.814334	0.00420626	1096.101
30.0	0.00015963	0.823788	0.00511137	1096.083
30.0	0.000200257	0.833807	0.00621125	1096.063
30.0	0.000250795	0.844517	0.00754781	1096.082
