V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.85363e-06	0.59489	1e-05	1097.847
30.0	3.83367e-06	0.600456	1.21518e-05	1097.837
30.0	3.89532e-06	0.606073	1.47667e-05	1097.848
30.0	3.90191e-06	0.611777	1.79443e-05	1097.843
30.0	3.91975e-06	0.617578	2.18056e-05	1097.849
30.0	3.98959e-06	0.623465	2.64977e-05	1097.849
30.0	4.0383e-06	0.629461	3.21996e-05	1097.856
30.0	4.05067e-06	0.635566	3.91284e-05	1097.846
30.0	4.09329e-06	0.641793	4.75482e-05	1097.825
30.0	4.22698e-06	0.648141	5.77798e-05	1097.834
30.0	4.30949e-06	0.654608	7.02131e-05	1097.852
30.0	4.46548e-06	0.661205	8.53217e-05	1097.838
30.0	4.65594e-06	0.66792	0.000103682	1097.849
30.0	4.93276e-06	0.674764	0.000125992	1097.844
30.0	5.24381e-06	0.681718	0.000153104	1097.847
30.0	5.66184e-06	0.688784	0.000186049	1097.853
30.0	6.21715e-06	0.695953	0.000226083	1097.853
30.0	7.01675e-06	0.703207	0.000274733	1097.837
30.0	7.97498e-06	0.710544	0.000333851	1097.835
30.0	9.2987e-06	0.717953	0.00040569	1097.844
30.0	1.09894e-05	0.725423	0.000492988	1097.852
30.0	1.32589e-05	0.73295	0.00059907	1097.837
30.0	1.61575e-05	0.74053	0.00072798	1097.843
30.0	2.00038e-05	0.748166	0.000884629	1097.855
30.0	2.48675e-05	0.755848	0.00107499	1097.861
30.0	3.12665e-05	0.763623	0.00130631	1097.861
30.0	3.94259e-05	0.771489	0.0015874	1097.85
30.0	4.98004e-05	0.779475	0.00192898	1097.852
30.0	6.30803e-05	0.787634	0.00234407	1097.848
30.0	7.98098e-05	0.796003	0.00284847	1097.853
30.0	0.00010101	0.804652	0.00346142	1097.85
30.0	0.000127559	0.813659	0.00420626	1097.866
30.0	0.000160336	0.823116	0.00511137	1097.84
30.0	0.000201285	0.833134	0.00621125	1097.852
30.0	0.000252067	0.843843	0.00754781	1097.855
30.0	0.000314058	0.85538	0.00917197	1097.831
30.0	0.000390131	0.867938	0.0111456	1097.838
30.0	0.000483027	0.881686	0.013544	1097.854
30.0	0.000596358	0.896816	0.0164584	1097.829
30.0	0.000732008	0.91349	0.02	1097.86
30.0	0.000732495	0.913278	0.02	1097.856
30.0	0.000596162	0.896304	0.0164584	1097.852
30.0	0.000484113	0.88106	0.013544	1097.836
30.0	0.000390813	0.867284	0.0111456	1097.85
30.0	0.000314378	0.854721	0.00917197	1097.867
30.0	0.000252407	0.843174	0.00754781	1097.843
30.0	0.000201876	0.832489	0.00621125	1097.847
30.0	0.00016059	0.8225	0.00511137	1097.834
30.0	0.000127609	0.81308	0.00420626	1097.853
30.0	0.000101397	0.804115	0.00346142	1097.836
30.0	8.00721e-05	0.795501	0.00284847	1097.849
30.0	6.32776e-05	0.787161	0.00234407	1097.851
30.0	4.98896e-05	0.779042	0.00192898	1097.834
30.0	3.95758e-05	0.771078	0.0015874	1097.859
30.0	3.14472e-05	0.763239	0.00130631	1097.856
30.0	2.49997e-05	0.75548	0.00107499	1097.86
30.0	2.00919e-05	0.74783	0.000884629	1097.85
30.0	1.62781e-05	0.74021	0.00072798	1097.849
30.0	1.33328e-05	0.732648	0.00059907	1097.849
30.0	1.10874e-05	0.725136	0.000492988	1097.856
30.0	9.39087e-06	0.717681	0.00040569	1097.843
30.0	8.04552e-06	0.710288	0.000333851	1097.841
30.0	7.00845e-06	0.70296	0.000274733	1097.843
30.0	6.28372e-06	0.69572	0.000226083	1097.865
30.0	5.7499e-06	0.688561	0.000186049	1097.857
30.0	5.29471e-06	0.681506	0.000153104	1097.855
30.0	4.96885e-06	0.674558	0.000125992	1097.851
30.0	4.68684e-06	0.667721	0.000103682	1097.878
30.0	4.50986e-06	0.66101	8.53217e-05	1097.859
30.0	4.34831e-06	0.654422	7.02131e-05	1097.861
30.0	4.27284e-06	0.647962	5.77798e-05	1097.843
30.0	4.11341e-06	0.641617	4.75482e-05	1097.865
30.0	4.06122e-06	0.635401	3.91284e-05	1097.85
30.0	3.99554e-06	0.629299	3.21996e-05	1097.862
30.0	3.97716e-06	0.623306	2.64977e-05	1097.865
30.0	3.95605e-06	0.617421	2.18056e-05	1097.851
30.0	3.95767e-06	0.611634	1.79443e-05	1097.858
30.0	3.90201e-06	0.605936	1.47667e-05	1097.84
30.0	3.91148e-06	0.600317	1.21518e-05	1097.846
30.0	3.869e-06	0.594758	1e-05	1097.867
