N	Idark	dIdark	R	dR
1	1.5439e-07	5.38598e-10	922.244	2.53211
2	6.8981e-08	1.41389e-10	868.5	2.50767
3	6.86545e-08	1.41193e-10	870.985	2.5113
4	7.96561e-08	1.47794e-10	881.446	2.514
5	8.68392e-08	1.52104e-10	894.945	2.51994
6	1.31341e-07	5.32835e-10	912.701	2.52779
7	1.81825e-07	5.45456e-10	933.31	2.53791
8	2.29375e-07	5.57344e-10	945.787	2.54368
9	2.98049e-07	5.74512e-10	958.47	2.54818
11	5.59616e-07	6.39904e-10	993.626	2.56365
12	6.67616e-07	6.66904e-10	1004.66	2.5687
13	8.03859e-07	7.00965e-10	1014.43	2.61957
14	8.92324e-07	7.23081e-10	1021.52	2.57897
15	2.66248e-06	2.16562e-09	1081.94	2.60507
16	5.05111e-06	2.76278e-09	1113.01	2.62251
17	5.58168e-06	2.89542e-09	1116.26	2.62177
18	8.47238e-06	3.6181e-09	1133.91	2.63008
