N	Idark	dIdark	R	dR
1	0.0102809	2.20562e-05	875.287	2.57975
2	0.0104079	2.20816e-05	876.166	2.58059
3	0.0104623	2.20925e-05	879.536	2.58961
4	0.0105401	2.2108e-05	884.282	2.58716
5	0.010741	2.21482e-05	894.682	2.59109
6	0.0109682	2.21936e-05	907.34	2.5969
7	0.0112852	2.2257e-05	923.001	2.6049
8	0.0115785	2.23157e-05	938.144	2.61087
9	0.0117335	2.23467e-05	945.565	2.61388
10	0.011804	2.23608e-05	945.939	2.65538
11	0.011875	2.2375e-05	951.416	2.6205
12	0.0120655	2.24131e-05	961.825	2.62106
13	0.0125035	2.25007e-05	983.096	2.63161
14	0.0130522	2.26104e-05	1013.48	2.6507
15	0.0131917	2.26383e-05	1015.74	2.65392
16	0.0135172	2.27034e-05	1032.91	2.6544
17	0.0142144	2.28429e-05	1067.02	2.67011
18	0.0149651	2.2993e-05	1102.94	2.68748
19	0.0162528	2.32506e-05	1162.66	2.71702
20	0.0163192	2.32638e-05	1165.8	2.7186
