V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.91307e-06	0.597538	1e-05	1093.106
30.0	3.57147e-06	0.60307	1.21518e-05	1093.112
30.0	3.78341e-06	0.608667	1.47667e-05	1093.105
30.0	3.48068e-06	0.614339	1.79443e-05	1093.12
30.0	3.52542e-06	0.620111	2.18056e-05	1093.115
30.0	3.43535e-06	0.625978	2.64977e-05	1093.1
30.0	3.58508e-06	0.631945	3.21996e-05	1093.127
30.0	3.57343e-06	0.638032	3.91284e-05	1093.129
30.0	3.61557e-06	0.644229	4.75482e-05	1093.113
30.0	3.76468e-06	0.650543	5.77798e-05	1093.121
30.0	4.10279e-06	0.656982	7.02131e-05	1093.094
30.0	4.057e-06	0.663543	8.53217e-05	1093.105
30.0	4.32601e-06	0.670231	0.000103682	1093.109
30.0	4.3909e-06	0.677042	0.000125992	1093.112
30.0	4.67545e-06	0.683967	0.000153104	1093.095
30.0	5.45412e-06	0.690995	0.000186049	1093.117
30.0	6.0872e-06	0.698135	0.000226083	1093.103
30.0	7.03466e-06	0.70536	0.000274733	1093.102
30.0	7.38685e-06	0.712668	0.000333851	1093.121
30.0	9.00745e-06	0.720046	0.00040569	1093.119
30.0	1.076e-05	0.727488	0.000492988	1093.118
30.0	1.23495e-05	0.734987	0.00059907	1093.125
30.0	1.61332e-05	0.74254	0.00072798	1093.125
30.0	1.92918e-05	0.750149	0.000884629	1093.11
30.0	2.37454e-05	0.757807	0.00107499	1093.142
30.0	3.10908e-05	0.765555	0.00130631	1093.116
30.0	3.90916e-05	0.773408	0.0015874	1093.117
30.0	4.96086e-05	0.781376	0.00192898	1093.126
30.0	6.2456e-05	0.789516	0.00234407	1093.123
30.0	7.90998e-05	0.79787	0.00284847	1093.111
30.0	9.92816e-05	0.806501	0.00346142	1093.119
30.0	0.000126775	0.815497	0.00420626	1093.118
30.0	0.000158811	0.824945	0.00511137	1093.128
30.0	0.000198972	0.834958	0.00621125	1093.121
30.0	0.000248651	0.845663	0.00754781	1093.111
30.0	0.000312487	0.857215	0.00917197	1093.13
30.0	0.000393041	0.869764	0.0111456	1093.119
30.0	0.000480979	0.88351	0.013544	1093.117
30.0	0.000589267	0.898633	0.0164584	1093.119
30.0	0.000729909	0.915298	0.02	1093.115
30.0	0.000729725	0.915107	0.02	1093.113
30.0	0.000591346	0.898171	0.0164584	1093.12
30.0	0.000481727	0.882927	0.013544	1093.121
30.0	0.000391167	0.869132	0.0111456	1093.108
30.0	0.000311926	0.85657	0.00917197	1093.107
30.0	0.000250158	0.845026	0.00754781	1093.115
30.0	0.000199858	0.834337	0.00621125	1093.113
30.0	0.000159831	0.824353	0.00511137	1093.124
30.0	0.000126475	0.814935	0.00420626	1093.12
30.0	0.000100086	0.805973	0.00346142	1093.119
30.0	7.96032e-05	0.79737	0.00284847	1093.12
30.0	6.34161e-05	0.789045	0.00234407	1093.131
30.0	5.02366e-05	0.780937	0.00192898	1093.11
30.0	3.90677e-05	0.772992	0.0015874	1093.111
30.0	3.08557e-05	0.765166	0.00130631	1093.108
30.0	2.46791e-05	0.757437	0.00107499	1093.112
30.0	2.0248e-05	0.749808	0.000884629	1093.102
30.0	1.57499e-05	0.742213	0.00072798	1093.128
30.0	1.2908e-05	0.734678	0.00059907	1093.113
30.0	1.02739e-05	0.727193	0.000492988	1093.118
30.0	8.96402e-06	0.719766	0.00040569	1093.13
30.0	7.79512e-06	0.712398	0.000333851	1093.113
30.0	7.15924e-06	0.705099	0.000274733	1093.121
30.0	5.64396e-06	0.697886	0.000226083	1093.103
30.0	5.33095e-06	0.690757	0.000186049	1093.119
30.0	4.81041e-06	0.683734	0.000153104	1093.113
30.0	4.62003e-06	0.676818	0.000125992	1093.14
30.0	4.51084e-06	0.670011	0.000103682	1093.123
30.0	4.14525e-06	0.663329	8.53217e-05	1093.138
30.0	3.78671e-06	0.656772	7.02131e-05	1093.128
30.0	3.99461e-06	0.650339	5.77798e-05	1093.107
30.0	3.71504e-06	0.644027	4.75482e-05	1093.105
30.0	3.84993e-06	0.637841	3.91284e-05	1093.118
30.0	3.60366e-06	0.631761	3.21996e-05	1093.153
30.0	3.78801e-06	0.625797	2.64977e-05	1093.118
30.0	3.61698e-06	0.619934	2.18056e-05	1093.131
30.0	3.46202e-06	0.614166	1.79443e-05	1093.127
30.0	3.64431e-06	0.608489	1.47667e-05	1093.135
30.0	3.60878e-06	0.602896	1.21518e-05	1093.124
30.0	3.46739e-06	0.597361	1e-05	1093.132
