V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.70445e-06	0.59621	1e-05	1095.557
30.0	3.68439e-06	0.601753	1.21518e-05	1095.541
30.0	3.72072e-06	0.60736	1.47667e-05	1095.571
30.0	3.73396e-06	0.61305	1.79443e-05	1095.551
30.0	3.75553e-06	0.618831	2.18056e-05	1095.539
30.0	3.7845e-06	0.62471	2.64977e-05	1095.542
30.0	3.83585e-06	0.630689	3.21996e-05	1095.561
30.0	3.84975e-06	0.636784	3.91284e-05	1095.553
30.0	3.9422e-06	0.642994	4.75482e-05	1095.548
30.0	4.06047e-06	0.649328	5.77798e-05	1095.546
30.0	4.13181e-06	0.655777	7.02131e-05	1095.545
30.0	4.31042e-06	0.662358	8.53217e-05	1095.567
30.0	4.47809e-06	0.669059	0.000103682	1095.553
30.0	4.7115e-06	0.675888	0.000125992	1095.553
30.0	5.02454e-06	0.682827	0.000153104	1095.554
30.0	5.44975e-06	0.689872	0.000186049	1095.549
30.0	6.04142e-06	0.697026	0.000226083	1095.542
30.0	6.8195e-06	0.704268	0.000274733	1095.543
30.0	7.8239e-06	0.711591	0.000333851	1095.544
30.0	9.12902e-06	0.718982	0.00040569	1095.56
30.0	1.08655e-05	0.726437	0.000492988	1095.557
30.0	1.30499e-05	0.733951	0.00059907	1095.56
30.0	1.60997e-05	0.741516	0.00072798	1095.559
30.0	1.9866e-05	0.749136	0.000884629	1095.555
30.0	2.47151e-05	0.756806	0.00107499	1095.558
30.0	3.11268e-05	0.764571	0.00130631	1095.547
30.0	3.91597e-05	0.772422	0.0015874	1095.546
30.0	4.9682e-05	0.780406	0.00192898	1095.559
30.0	6.26339e-05	0.788552	0.00234407	1095.544
30.0	7.94008e-05	0.796915	0.00284847	1095.561
30.0	0.000100689	0.805557	0.00346142	1095.568
30.0	0.000126984	0.814556	0.00420626	1095.543
30.0	0.000159896	0.824013	0.00511137	1095.567
30.0	0.000200494	0.83403	0.00621125	1095.553
30.0	0.000251037	0.844743	0.00754781	1095.553
30.0	0.000312862	0.856296	0.00917197	1095.543
30.0	0.000389142	0.868853	0.0111456	1095.567
30.0	0.000481826	0.882596	0.013544	1095.561
30.0	0.000594203	0.897719	0.0164584	1095.545
30.0	0.000730226	0.914398	0.02	1095.567
30.0	0.000730138	0.914207	0.02	1095.573
30.0	0.000595091	0.897277	0.0164584	1095.564
30.0	0.000482551	0.882028	0.013544	1095.538
30.0	0.000389461	0.868227	0.0111456	1095.554
30.0	0.00031357	0.855659	0.00917197	1095.55
30.0	0.000251882	0.844117	0.00754781	1095.541
30.0	0.000200936	0.833423	0.00621125	1095.556
30.0	0.000160126	0.823435	0.00511137	1095.552
30.0	0.000126989	0.814013	0.00420626	1095.555
30.0	0.000100863	0.805041	0.00346142	1095.569
30.0	7.97968e-05	0.796436	0.00284847	1095.561
30.0	6.29036e-05	0.788098	0.00234407	1095.532
30.0	4.97234e-05	0.779974	0.00192898	1095.557
30.0	3.9251e-05	0.772021	0.0015874	1095.573
30.0	3.11461e-05	0.764189	0.00130631	1095.544
30.0	2.47691e-05	0.756447	0.00107499	1095.551
30.0	1.98184e-05	0.748805	0.000884629	1095.559
30.0	1.61003e-05	0.741199	0.00072798	1095.565
30.0	1.30664e-05	0.733648	0.00059907	1095.548
30.0	1.0898e-05	0.726151	0.000492988	1095.558
30.0	9.13946e-06	0.718713	0.00040569	1095.552
30.0	7.82025e-06	0.711333	0.000333851	1095.556
30.0	6.88121e-06	0.704022	0.000274733	1095.554
30.0	6.13226e-06	0.696788	0.000226083	1095.557
30.0	5.53167e-06	0.689645	0.000186049	1095.555
30.0	5.1238e-06	0.682605	0.000153104	1095.546
30.0	4.75601e-06	0.675674	0.000125992	1095.558
30.0	4.53299e-06	0.668857	0.000103682	1095.557
30.0	4.32143e-06	0.662159	8.53217e-05	1095.558
30.0	4.15219e-06	0.655588	7.02131e-05	1095.563
30.0	4.07439e-06	0.649145	5.77798e-05	1095.57
30.0	3.98922e-06	0.642819	4.75482e-05	1095.557
30.0	3.90893e-06	0.636614	3.91284e-05	1095.569
30.0	3.86904e-06	0.630522	3.21996e-05	1095.571
