V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.49869e-06	0.597627	1e-05	1092.935
30.0	3.47525e-06	0.603163	1.21518e-05	1092.941
30.0	3.42019e-06	0.608754	1.47667e-05	1092.951
30.0	3.51415e-06	0.614427	1.79443e-05	1092.94
30.0	3.51681e-06	0.620196	2.18056e-05	1092.947
30.0	3.69195e-06	0.626064	2.64977e-05	1092.928
30.0	3.5816e-06	0.632028	3.21996e-05	1092.945
30.0	3.70542e-06	0.638104	3.91284e-05	1092.956
30.0	3.86081e-06	0.6443	4.75482e-05	1092.944
30.0	3.88273e-06	0.650613	5.77798e-05	1092.93
30.0	4.0298e-06	0.657056	7.02131e-05	1092.942
30.0	4.14475e-06	0.663613	8.53217e-05	1092.935
30.0	4.23838e-06	0.670298	0.000103682	1092.954
30.0	4.60762e-06	0.67711	0.000125992	1092.927
30.0	4.93891e-06	0.684032	0.000153104	1092.932
30.0	5.30296e-06	0.691062	0.000186049	1092.946
30.0	6.0471e-06	0.698197	0.000226083	1092.952
30.0	6.47146e-06	0.705421	0.000274733	1092.944
30.0	7.5894e-06	0.712729	0.000333851	1092.926
30.0	9.02892e-06	0.720106	0.00040569	1092.953
30.0	1.05852e-05	0.72755	0.000492988	1092.946
30.0	1.28402e-05	0.735047	0.00059907	1092.935
30.0	1.59392e-05	0.742598	0.00072798	1092.963
30.0	1.94385e-05	0.750206	0.000884629	1092.922
30.0	2.444e-05	0.757861	0.00107499	1092.942
30.0	3.04545e-05	0.765612	0.00130631	1092.946
30.0	3.87488e-05	0.773458	0.0015874	1092.936
30.0	4.90119e-05	0.781429	0.00192898	1092.939
30.0	6.2147e-05	0.789567	0.00234407	1092.939
30.0	7.87729e-05	0.797924	0.00284847	1092.928
30.0	9.94201e-05	0.806559	0.00346142	1092.941
30.0	0.000126401	0.815554	0.00420626	1092.939
30.0	0.000158709	0.825	0.00511137	1092.941
30.0	0.000198998	0.835012	0.00621125	1092.932
30.0	0.00024946	0.845719	0.00754781	1092.936
30.0	0.000311485	0.857274	0.00917197	1092.963
30.0	0.000388394	0.869821	0.0111456	1092.933
30.0	0.000479781	0.88357	0.013544	1092.947
30.0	0.000591596	0.898695	0.0164584	1092.948
30.0	0.000727267	0.91536	0.02	1092.932
30.0	0.00072759	0.91517	0.02	1092.93
30.0	0.000591663	0.898231	0.0164584	1092.94
30.0	0.000480202	0.882986	0.013544	1092.938
30.0	0.000388543	0.869187	0.0111456	1092.913
30.0	0.000312132	0.856625	0.00917197	1092.931
30.0	0.00024987	0.845081	0.00754781	1092.928
30.0	0.000199761	0.834399	0.00621125	1092.944
30.0	0.000158933	0.824409	0.00511137	1092.939
30.0	0.00012626	0.814997	0.00420626	1092.942
30.0	0.000100759	0.806029	0.00346142	1092.947
30.0	7.91798e-05	0.797425	0.00284847	1092.942
30.0	6.22597e-05	0.789102	0.00234407	1092.938
30.0	4.89484e-05	0.780988	0.00192898	1092.939
30.0	3.89116e-05	0.773047	0.0015874	1092.938
30.0	3.06235e-05	0.765219	0.00130631	1092.951
30.0	2.43837e-05	0.757491	0.00107499	1092.928
30.0	1.97376e-05	0.749867	0.000884629	1092.932
30.0	1.59197e-05	0.742271	0.00072798	1092.94
30.0	1.30333e-05	0.734738	0.00059907	1092.943
30.0	1.06495e-05	0.727254	0.000492988	1092.932
30.0	9.00005e-06	0.719828	0.00040569	1092.936
30.0	7.63898e-06	0.71246	0.000333851	1092.925
30.0	6.65709e-06	0.705168	0.000274733	1092.927
30.0	5.78619e-06	0.697952	0.000226083	1092.933
30.0	5.32117e-06	0.690824	0.000186049	1092.939
30.0	4.95657e-06	0.683803	0.000153104	1092.922
30.0	4.63125e-06	0.676889	0.000125992	1092.92
30.0	4.39278e-06	0.670086	0.000103682	1092.935
30.0	4.08286e-06	0.663411	8.53217e-05	1092.933
30.0	3.86509e-06	0.656854	7.02131e-05	1092.924
30.0	3.89418e-06	0.650423	5.77798e-05	1092.938
30.0	3.8331e-06	0.644112	4.75482e-05	1092.927
30.0	3.68972e-06	0.637923	3.91284e-05	1092.944
30.0	3.64474e-06	0.631848	3.21996e-05	1092.922
30.0	3.51621e-06	0.625888	2.64977e-05	1092.945
30.0	3.62152e-06	0.620028	2.18056e-05	1092.923
30.0	3.54222e-06	0.614265	1.79443e-05	1092.942
30.0	3.48455e-06	0.60859	1.47667e-05	1092.939
30.0	3.53035e-06	0.602993	1.21518e-05	1092.947
30.0	3.44467e-06	0.597461	1e-05	1092.922
