V_sipm	I_sipm	V_led	I_led	R_rtd
29.75	3.38381e-06	0.59494	1e-05	1097.802
29.75	3.39398e-06	0.600493	1.21518e-05	1097.803
29.75	3.39243e-06	0.606113	1.47667e-05	1097.798
29.75	3.42546e-06	0.611813	1.79443e-05	1097.801
29.75	3.46107e-06	0.617612	2.18056e-05	1097.814
29.75	3.48249e-06	0.623498	2.64977e-05	1097.829
29.75	3.51825e-06	0.629493	3.21996e-05	1097.824
29.75	3.57556e-06	0.635598	3.91284e-05	1097.792
29.75	3.6104e-06	0.641833	4.75482e-05	1097.792
29.75	3.70643e-06	0.64817	5.77798e-05	1097.811
29.75	3.80594e-06	0.654639	7.02131e-05	1097.8
29.75	3.92757e-06	0.661232	8.53217e-05	1097.796
29.75	4.11725e-06	0.66795	0.000103682	1097.816
29.75	4.31687e-06	0.674791	0.000125992	1097.804
29.75	4.61128e-06	0.681746	0.000153104	1097.82
29.75	5.01008e-06	0.68881	0.000186049	1097.805
29.75	5.51261e-06	0.695977	0.000226083	1097.818
29.75	6.21292e-06	0.703234	0.000274733	1097.817
29.75	7.02369e-06	0.710567	0.000333851	1097.797
29.75	8.18472e-06	0.717977	0.00040569	1097.799
29.75	9.69997e-06	0.725447	0.000492988	1097.805
29.75	1.17146e-05	0.732975	0.00059907	1097.811
29.75	1.43605e-05	0.74055	0.00072798	1097.817
29.75	1.75881e-05	0.748187	0.000884629	1097.823
29.75	2.20422e-05	0.75587	0.00107499	1097.814
29.75	2.76857e-05	0.763642	0.00130631	1097.798
29.75	3.49281e-05	0.771513	0.0015874	1097.796
29.75	4.41084e-05	0.7795	0.00192898	1097.816
29.75	5.57829e-05	0.787656	0.00234407	1097.807
29.75	7.05371e-05	0.796027	0.00284847	1097.812
29.75	8.91129e-05	0.804675	0.00346142	1097.809
29.75	0.000112382	0.813682	0.00420626	1097.797
29.75	0.000141809	0.823139	0.00511137	1097.818
29.75	0.000177838	0.833148	0.00621125	1097.801
29.75	0.000222579	0.843866	0.00754781	1097.816
29.75	0.000277918	0.855418	0.00917197	1097.811
29.75	0.00034529	0.867973	0.0111456	1097.803
29.75	0.000427408	0.881723	0.013544	1097.787
29.75	0.000527985	0.896849	0.0164584	1097.786
29.75	0.000648784	0.913501	0.02	1097.792
29.75	0.000649233	0.913297	0.02	1097.814
29.75	0.000528462	0.896348	0.0164584	1097.803
29.75	0.000428388	0.881091	0.013544	1097.795
29.75	0.000345775	0.867294	0.0111456	1097.814
29.75	0.000278002	0.854745	0.00917197	1097.798
29.75	0.000222948	0.843204	0.00754781	1097.81
29.75	0.000178342	0.832519	0.00621125	1097.791
29.75	0.000142044	0.82254	0.00511137	1097.804
29.75	0.00011267	0.813113	0.00420626	1097.811
29.75	8.9235e-05	0.804142	0.00346142	1097.793
29.75	7.07736e-05	0.795537	0.00284847	1097.797
29.75	5.59447e-05	0.787193	0.00234407	1097.815
29.75	4.4163e-05	0.779075	0.00192898	1097.806
29.75	3.48959e-05	0.771107	0.0015874	1097.79
29.75	2.77207e-05	0.763261	0.00130631	1097.802
29.75	2.2092e-05	0.755513	0.00107499	1097.792
29.75	1.76965e-05	0.74786	0.000884629	1097.803
29.75	1.42916e-05	0.740236	0.00072798	1097.813
29.75	1.17272e-05	0.732681	0.00059907	1097.81
29.75	9.74615e-06	0.725168	0.000492988	1097.83
29.75	8.2117e-06	0.71771	0.00040569	1097.815
29.75	7.06965e-06	0.710316	0.000333851	1097.799
29.75	6.20922e-06	0.702992	0.000274733	1097.823
29.75	5.4906e-06	0.695749	0.000226083	1097.826
29.75	5.02472e-06	0.68859	0.000186049	1097.797
29.75	4.64451e-06	0.681535	0.000153104	1097.815
29.75	4.35558e-06	0.674588	0.000125992	1097.81
29.75	4.12318e-06	0.667755	0.000103682	1097.817
29.75	3.95904e-06	0.661044	8.53217e-05	1097.814
29.75	3.79105e-06	0.654457	7.02131e-05	1097.787
29.75	3.71712e-06	0.647993	5.77798e-05	1097.798
29.75	3.6265e-06	0.641649	4.75482e-05	1097.807
29.75	3.59501e-06	0.635433	3.91284e-05	1097.803
29.75	3.55997e-06	0.62933	3.21996e-05	1097.806
29.75	3.49719e-06	0.623345	2.64977e-05	1097.83
29.75	3.45049e-06	0.617457	2.18056e-05	1097.816
29.75	3.4564e-06	0.611662	1.79443e-05	1097.809
29.75	3.44456e-06	0.605969	1.47667e-05	1097.815
29.75	3.39765e-06	0.600353	1.21518e-05	1097.836
29.75	3.40235e-06	0.594793	1e-05	1097.824
