Rq                       dRq                      R                        dR(mal)                  wait_time
5.067058030881078448e+05 1.497319082656514183e+03 1.079739903552884471e+03 6.989671379316829025e+00 1.000000000000000056e-01
5.069875793476848048e+05 1.491957686479067434e+03 1.079622967524197293e+03 6.822525035243870661e+00 1.000000000000000021e-02
5.069859555899504339e+05 1.491987639132497407e+03 1.079641114000066182e+03 6.822532652383367591e+00 1.000000000000000021e-03
5.069856075437698164e+05 1.491643493442523095e+03 1.079661327290944200e+03 6.822541134796307638e+00 1.000000000000000048e-04
5.069290147351176129e+05 1.493283206358574262e+03 1.079641631993702504e+03 6.897644184417430324e+00 5.000000000000000278e-02
5.070091892683606711e+05 1.492112567123234385e+03 1.079602194428339544e+03 6.822516316423314464e+00 2.500000000000000139e-02
5.068241225043805898e+05 1.495066232804881565e+03 1.079696303685977909e+03 6.989651975229719483e+00 7.499999999999999722e-02
5.069749972349637537e+05 1.491797338032317157e+03 1.079667036843601636e+03 6.897655138362076777e+00 1.000000000000000082e-05
5.069806605694811442e+05 1.491543114406657878e+03 1.079700527154167048e+03 6.822557588828308539e+00 9.999999999999999547e-07
5.069969425981222303e+05 1.491527156194051031e+03 1.079684546820518108e+03 6.989646742763109266e+00 9.999999999999999547e-08
