N	R	I
0	1080.46	9.7e-05
1	1080.47	9.7e-05
2	1080.46	9.7e-05
3	1080.48	9.7e-05
4	1080.45	9.7e-05
5	1080.44	9.7e-05
6	1080.44	9.7e-05
7	1080.44	9.7e-05
8	1080.46	9.7e-05
9	1080.44	9.7e-05
10	1080.42	9.7e-05
11	1080.43	9.7e-05
12	1080.44	9.7e-05
13	1080.43	9.7e-05
14	1080.44	9.7e-05
15	1080.44	9.7e-05
16	1080.43	9.7e-05
17	1080.46	9.7e-05
18	1080.44	9.7e-05
19	1080.45	9.7e-05
20	1080.44	9.7e-05
21	1080.44	9.7e-05
22	1080.45	9.7e-05
23	1080.44	9.7e-05
24	1080.46	9.7e-05
25	1080.46	9.7e-05
26	1080.45	9.7e-05
27	1080.43	9.7e-05
28	1080.46	9.7e-05
29	1080.45	9.7e-05
30	1080.45	9.7e-05
31	1080.44	9.7e-05
32	1080.45	9.7e-05
33	1080.45	9.7e-05
34	1080.44	9.7e-05
35	1080.43	9.7e-05
36	1080.44	9.7e-05
37	1080.45	9.7e-05
38	1080.45	9.7e-05
39	1080.45	9.7e-05
40	1080.44	9.7e-05
41	1080.43	9.7e-05
42	1080.45	9.7e-05
43	1080.42	9.7e-05
44	1080.45	9.7e-05
45	1080.46	9.7e-05
46	1080.43	9.7e-05
47	1080.42	9.7e-05
48	1080.43	9.7e-05
49	1080.43	9.7e-05
50	1080.41	9.7e-05
51	1080.45	9.7e-05
52	1080.45	9.7e-05
53	1080.46	9.7e-05
54	1080.45	9.7e-05
55	1080.44	9.7e-05
56	1080.43	9.7e-05
57	1080.45	9.7e-05
58	1080.46	9.7e-05
59	1080.44	9.7e-05
60	1080.47	9.7e-05
61	1080.45	9.7e-05
62	1080.44	9.7e-05
63	1080.44	9.7e-05
64	1080.46	9.7e-05
65	1080.45	9.7e-05
66	1080.47	9.7e-05
67	1080.45	9.7e-05
68	1080.46	9.7e-05
69	1080.45	9.7e-05
70	1080.43	9.7e-05
71	1080.45	9.7e-05
72	1080.41	9.7e-05
73	1080.42	9.7e-05
74	1080.43	9.7e-05
75	1080.42	9.7e-05
76	1080.44	9.7e-05
77	1080.43	9.7e-05
78	1080.43	9.7e-05
79	1080.44	9.7e-05
80	1080.45	9.7e-05
81	1080.44	9.7e-05
82	1080.44	9.7e-05
83	1080.44	9.7e-05
84	1080.45	9.7e-05
85	1080.44	9.7e-05
86	1080.46	9.7e-05
87	1080.45	9.7e-05
88	1080.45	9.7e-05
89	1080.46	9.7e-05
90	1080.45	9.7e-05
91	1080.45	9.7e-05
