N	R	I
0	948.323	9.7e-05
1	948.332	9.7e-05
2	948.32	9.7e-05
3	948.328	9.7e-05
4	948.332	9.7e-05
5	948.327	9.7e-05
6	948.356	9.7e-05
7	948.339	9.7e-05
8	948.328	9.7e-05
9	948.331	9.7e-05
10	948.356	9.7e-05
11	948.316	9.7e-05
12	948.329	9.7e-05
13	948.322	9.7e-05
14	948.328	9.7e-05
15	948.336	9.7e-05
16	948.307	9.7e-05
17	948.314	9.7e-05
18	948.313	9.7e-05
19	948.309	9.7e-05
20	948.294	9.7e-05
21	948.297	9.7e-05
22	948.295	9.7e-05
23	948.311	9.7e-05
24	948.309	9.7e-05
25	948.314	9.7e-05
26	948.307	9.7e-05
27	948.31	9.7e-05
28	948.313	9.7e-05
29	948.304	9.7e-05
30	948.299	9.7e-05
31	948.298	9.7e-05
32	948.318	9.7e-05
33	948.312	9.7e-05
34	948.279	9.7e-05
35	948.29	9.7e-05
36	948.293	9.7e-05
37	948.282	9.7e-05
38	948.273	9.7e-05
39	948.272	9.7e-05
40	948.273	9.7e-05
41	948.268	9.7e-05
42	948.273	9.7e-05
43	948.259	9.7e-05
44	948.254	9.7e-05
45	948.275	9.7e-05
46	948.278	9.7e-05
47	948.295	9.7e-05
48	948.243	9.7e-05
49	948.273	9.7e-05
50	948.271	9.7e-05
51	948.291	9.7e-05
52	948.283	9.7e-05
53	948.263	9.7e-05
54	948.282	9.7e-05
55	948.238	9.7e-05
56	948.267	9.7e-05
57	948.286	9.7e-05
58	948.287	9.7e-05
59	948.281	9.7e-05
60	948.265	9.7e-05
61	948.26	9.7e-05
62	948.263	9.7e-05
63	948.248	9.7e-05
64	948.244	9.7e-05
65	948.259	9.7e-05
66	948.258	9.7e-05
67	948.244	9.7e-05
68	948.269	9.7e-05
69	948.241	9.7e-05
70	948.231	9.7e-05
71	948.252	9.7e-05
72	948.267	9.7e-05
73	948.268	9.7e-05
74	948.276	9.7e-05
75	948.255	9.7e-05
76	948.251	9.7e-05
77	948.251	9.7e-05
78	948.251	9.7e-05
79	948.252	9.7e-05
80	948.255	9.7e-05
81	948.27	9.7e-05
82	948.266	9.7e-05
83	948.251	9.7e-05
84	948.26	9.7e-05
85	948.252	9.7e-05
86	948.272	9.7e-05
87	948.236	9.7e-05
88	948.236	9.7e-05
89	948.24	9.7e-05
90	948.248	9.7e-05
91	948.239	9.7e-05
92	948.264	9.7e-05
93	948.256	9.7e-05
94	948.249	9.7e-05
95	948.232	9.7e-05
96	948.256	9.7e-05
97	948.233	9.7e-05
98	948.245	9.7e-05
99	948.231	9.7e-05
100	948.222	9.7e-05
101	948.247	9.7e-05
102	948.251	9.7e-05
103	948.247	9.7e-05
104	948.248	9.7e-05
105	948.248	9.7e-05
106	948.267	9.7e-05
107	948.27	9.7e-05
108	948.291	9.7e-05
109	948.284	9.7e-05
110	948.28	9.7e-05
111	948.258	9.7e-05
112	948.269	9.7e-05
113	948.292	9.7e-05
114	948.287	9.7e-05
115	948.291	9.7e-05
116	948.286	9.7e-05
117	948.271	9.7e-05
118	948.275	9.7e-05
119	948.274	9.7e-05
120	948.276	9.7e-05
121	948.282	9.7e-05
122	948.288	9.7e-05
123	948.277	9.7e-05
124	948.27	9.7e-05
125	948.264	9.7e-05
126	948.256	9.7e-05
127	948.257	9.7e-05
128	948.27	9.7e-05
129	948.294	9.7e-05
130	948.295	9.7e-05
131	948.283	9.7e-05
132	948.266	9.7e-05
133	948.292	9.7e-05
134	948.298	9.7e-05
135	948.297	9.7e-05
136	948.284	9.7e-05
137	948.275	9.7e-05
138	948.289	9.7e-05
139	948.297	9.7e-05
140	948.277	9.7e-05
141	948.302	9.7e-05
142	948.319	9.7e-05
143	948.314	9.7e-05
144	948.315	9.7e-05
145	948.305	9.7e-05
146	948.313	9.7e-05
147	948.336	9.7e-05
148	948.322	9.7e-05
149	948.295	9.7e-05
150	948.329	9.7e-05
151	948.348	9.7e-05
152	948.33	9.7e-05
153	948.305	9.7e-05
154	948.341	9.7e-05
155	948.339	9.7e-05
156	948.351	9.7e-05
157	948.333	9.7e-05
158	948.35	9.7e-05
159	948.323	9.7e-05
160	948.347	9.7e-05
161	948.347	9.7e-05
162	948.347	9.7e-05
163	948.325	9.7e-05
164	948.34	9.7e-05
165	948.326	9.7e-05
166	948.331	9.7e-05
167	948.316	9.7e-05
168	948.336	9.7e-05
169	948.338	9.7e-05
170	948.331	9.7e-05
171	948.335	9.7e-05
172	948.341	9.7e-05
173	948.35	9.7e-05
174	948.343	9.7e-05
175	948.352	9.7e-05
176	948.35	9.7e-05
177	948.33	9.7e-05
178	948.351	9.7e-05
179	948.356	9.7e-05
180	948.354	9.7e-05
181	948.35	9.7e-05
182	948.334	9.7e-05
183	948.339	9.7e-05
184	948.353	9.7e-05
185	948.381	9.7e-05
186	948.353	9.7e-05
187	948.37	9.7e-05
188	948.363	9.7e-05
189	948.393	9.7e-05
190	948.38	9.7e-05
191	948.372	9.7e-05
192	948.395	9.7e-05
193	948.388	9.7e-05
194	948.39	9.7e-05
195	948.393	9.7e-05
196	948.4	9.7e-05
197	948.393	9.7e-05
198	948.404	9.7e-05
199	948.395	9.7e-05
200	948.39	9.7e-05
201	948.401	9.7e-05
