time	R	I
0.0	1079.97	9.7e-05
0.01	1079.97	9.7e-05
0.02	1079.97	9.7e-05
0.03	1079.97	9.7e-05
0.04	1079.97	9.7e-05
0.05	1079.97	9.7e-05
0.06	1079.98	9.7e-05
0.07	1079.98	9.7e-05
0.08	1079.97	9.7e-05
0.09	1079.98	9.7e-05
0.1	1079.98	9.7e-05
0.11	1079.99	9.7e-05
0.12	1079.98	9.7e-05
0.13	1080.0	9.7e-05
0.14	1079.99	9.7e-05
0.15	1079.97	9.7e-05
0.16	1080.01	9.7e-05
0.17	1079.98	9.7e-05
0.18	1079.95	9.7e-05
0.19	1079.96	9.7e-05
0.2	1079.98	9.7e-05
0.21	1079.97	9.7e-05
0.22	1079.95	9.7e-05
0.23	1079.96	9.7e-05
0.24	1079.97	9.7e-05
0.25	1079.97	9.7e-05
0.26	1079.96	9.7e-05
0.27	1079.96	9.7e-05
0.28	1079.99	9.7e-05
0.29	1080.0	9.7e-05
0.3	1079.98	9.7e-05
0.31	1079.99	9.7e-05
0.32	1079.99	9.7e-05
0.33	1079.97	9.7e-05
0.34	1079.97	9.7e-05
0.35	1079.96	9.7e-05
0.36	1079.96	9.7e-05
0.37	1079.97	9.7e-05
0.38	1079.98	9.7e-05
0.39	1079.99	9.7e-05
0.4	1080.02	9.7e-05
0.41	1080.01	9.7e-05
0.42	1079.97	9.7e-05
0.43	1079.96	9.7e-05
0.44	1080.0	9.7e-05
0.45	1079.95	9.7e-05
0.46	1079.94	9.7e-05
0.47	1079.94	9.7e-05
0.48	1079.94	9.7e-05
0.49	1079.95	9.7e-05
0.5	1079.97	9.7e-05
0.51	1079.97	9.7e-05
0.52	1079.97	9.7e-05
0.53	1079.96	9.7e-05
0.54	1079.97	9.7e-05
0.55	1079.94	9.7e-05
0.56	1079.94	9.7e-05
0.57	1079.96	9.7e-05
0.58	1079.94	9.7e-05
0.59	1079.96	9.7e-05
0.6	1079.94	9.7e-05
0.61	1079.96	9.7e-05
0.62	1079.96	9.7e-05
0.63	1079.99	9.7e-05
0.64	1079.96	9.7e-05
0.65	1079.96	9.7e-05
0.66	1079.92	9.7e-05
0.67	1079.93	9.7e-05
0.68	1079.96	9.7e-05
0.69	1079.97	9.7e-05
0.7	1079.98	9.7e-05
0.71	1079.99	9.7e-05
0.72	1079.98	9.7e-05
0.73	1079.97	9.7e-05
0.74	1079.96	9.7e-05
0.75	1079.95	9.7e-05
0.76	1079.97	9.7e-05
0.77	1079.94	9.7e-05
0.78	1079.94	9.7e-05
0.79	1079.96	9.7e-05
0.8	1079.98	9.7e-05
0.81	1079.95	9.7e-05
0.82	1079.95	9.7e-05
0.83	1079.96	9.7e-05
0.84	1079.94	9.7e-05
0.85	1079.98	9.7e-05
0.86	1079.96	9.7e-05
0.87	1079.96	9.7e-05
0.88	1079.97	9.7e-05
0.89	1079.94	9.7e-05
0.9	1079.97	9.7e-05
0.91	1079.96	9.7e-05
0.92	1079.95	9.7e-05
0.93	1079.97	9.7e-05
0.94	1079.96	9.7e-05
0.95	1079.97	9.7e-05
0.96	1079.96	9.7e-05
0.97	1079.98	9.7e-05
0.98	1079.98	9.7e-05
0.99	1079.98	9.7e-05
