N	R	I
0	1079.14	9.7e-05
1	1079.13	9.7e-05
2	1079.14	9.7e-05
3	1079.13	9.7e-05
4	1079.13	9.7e-05
5	1079.17	9.7e-05
6	1079.14	9.7e-05
7	1079.15	9.7e-05
8	1079.17	9.7e-05
9	1079.15	9.7e-05
10	1079.16	9.7e-05
11	1079.13	9.7e-05
12	1079.13	9.7e-05
13	1079.1	9.7e-05
14	1079.12	9.7e-05
15	1079.13	9.7e-05
16	1079.12	9.7e-05
17	1079.11	9.7e-05
18	1079.13	9.7e-05
19	1079.13	9.7e-05
20	1079.13	9.7e-05
21	1079.13	9.7e-05
22	1079.11	9.7e-05
23	1079.11	9.7e-05
24	1079.14	9.7e-05
25	1079.12	9.7e-05
26	1079.12	9.7e-05
27	1079.13	9.7e-05
28	1079.13	9.7e-05
29	1079.14	9.7e-05
30	1079.16	9.7e-05
31	1079.13	9.7e-05
32	1079.13	9.7e-05
33	1079.13	9.7e-05
34	1079.13	9.7e-05
35	1079.12	9.7e-05
36	1079.12	9.7e-05
37	1079.12	9.7e-05
38	1079.1	9.7e-05
39	1079.09	9.7e-05
40	1079.11	9.7e-05
41	1079.08	9.7e-05
42	1079.12	9.7e-05
43	1079.1	9.7e-05
44	1079.11	9.7e-05
45	1079.11	9.7e-05
46	1079.1	9.7e-05
47	1079.11	9.7e-05
48	1079.12	9.7e-05
49	1079.13	9.7e-05
50	1079.11	9.7e-05
51	1079.12	9.7e-05
52	1079.12	9.7e-05
53	1079.13	9.7e-05
54	1079.12	9.7e-05
55	1079.1	9.7e-05
56	1079.11	9.7e-05
57	1079.12	9.7e-05
58	1079.11	9.7e-05
59	1079.12	9.7e-05
60	1079.12	9.7e-05
61	1079.11	9.7e-05
62	1079.13	9.7e-05
63	1079.14	9.7e-05
64	1079.14	9.7e-05
65	1079.13	9.7e-05
66	1079.14	9.7e-05
67	1079.11	9.7e-05
68	1079.14	9.7e-05
69	1079.12	9.7e-05
70	1079.13	9.7e-05
71	1079.13	9.7e-05
72	1079.13	9.7e-05
73	1079.11	9.7e-05
74	1079.1	9.7e-05
75	1079.12	9.7e-05
76	1079.11	9.7e-05
77	1079.13	9.7e-05
78	1079.12	9.7e-05
79	1079.14	9.7e-05
80	1079.11	9.7e-05
81	1079.12	9.7e-05
82	1079.11	9.7e-05
83	1079.13	9.7e-05
84	1079.11	9.7e-05
85	1079.09	9.7e-05
86	1079.12	9.7e-05
87	1079.13	9.7e-05
88	1079.12	9.7e-05
89	1079.12	9.7e-05
90	1079.13	9.7e-05
91	1079.12	9.7e-05
92	1079.11	9.7e-05
93	1079.11	9.7e-05
94	1079.13	9.7e-05
95	1079.1	9.7e-05
96	1079.11	9.7e-05
97	1079.1	9.7e-05
98	1079.13	9.7e-05
99	1079.12	9.7e-05
100	1079.11	9.7e-05
101	1079.11	9.7e-05
102	1079.12	9.7e-05
103	1079.11	9.7e-05
104	1079.09	9.7e-05
105	1079.09	9.7e-05
106	1079.11	9.7e-05
107	1079.11	9.7e-05
108	1079.11	9.7e-05
109	1079.11	9.7e-05
110	1079.11	9.7e-05
111	1079.1	9.7e-05
112	1079.11	9.7e-05
113	1079.13	9.7e-05
114	1079.12	9.7e-05
115	1079.12	9.7e-05
116	1079.12	9.7e-05
117	1079.13	9.7e-05
118	1079.11	9.7e-05
119	1079.11	9.7e-05
120	1079.12	9.7e-05
121	1079.13	9.7e-05
122	1079.13	9.7e-05
123	1079.13	9.7e-05
124	1079.1	9.7e-05
125	1079.15	9.7e-05
126	1079.12	9.7e-05
127	1079.1	9.7e-05
128	1079.11	9.7e-05
129	1079.14	9.7e-05
130	1079.09	9.7e-05
131	1079.12	9.7e-05
132	1079.11	9.7e-05
133	1079.12	9.7e-05
134	1079.11	9.7e-05
135	1079.1	9.7e-05
136	1079.1	9.7e-05
137	1079.1	9.7e-05
138	1079.1	9.7e-05
139	1079.09	9.7e-05
140	1079.1	9.7e-05
141	1079.1	9.7e-05
142	1079.1	9.7e-05
143	1079.1	9.7e-05
144	1079.12	9.7e-05
145	1079.1	9.7e-05
146	1079.13	9.7e-05
147	1079.11	9.7e-05
148	1079.11	9.7e-05
149	1079.1	9.7e-05
150	1079.12	9.7e-05
151	1079.11	9.7e-05
152	1079.08	9.7e-05
153	1079.1	9.7e-05
154	1079.1	9.7e-05
155	1079.1	9.7e-05
156	1079.1	9.7e-05
157	1079.09	9.7e-05
158	1079.09	9.7e-05
159	1079.09	9.7e-05
160	1079.1	9.7e-05
161	1079.11	9.7e-05
162	1079.1	9.7e-05
163	1079.11	9.7e-05
164	1079.12	9.7e-05
165	1079.11	9.7e-05
166	1079.11	9.7e-05
167	1079.12	9.7e-05
168	1079.11	9.7e-05
169	1079.13	9.7e-05
170	1079.13	9.7e-05
171	1079.11	9.7e-05
172	1079.14	9.7e-05
173	1079.14	9.7e-05
174	1079.14	9.7e-05
175	1079.13	9.7e-05
176	1079.13	9.7e-05
177	1079.16	9.7e-05
178	1079.14	9.7e-05
179	1079.13	9.7e-05
180	1079.12	9.7e-05
181	1079.1	9.7e-05
182	1079.1	9.7e-05
183	1079.11	9.7e-05
184	1079.09	9.7e-05
185	1079.12	9.7e-05
186	1079.12	9.7e-05
187	1079.09	9.7e-05
188	1079.13	9.7e-05
189	1079.09	9.7e-05
190	1079.11	9.7e-05
191	1079.11	9.7e-05
192	1079.11	9.7e-05
193	1079.11	9.7e-05
194	1079.1	9.7e-05
195	1079.11	9.7e-05
196	1079.11	9.7e-05
197	1079.12	9.7e-05
198	1079.13	9.7e-05
199	1079.12	9.7e-05
200	1079.13	9.7e-05
201	1079.12	9.7e-05
202	1079.11	9.7e-05
203	1079.11	9.7e-05
204	1079.13	9.7e-05
205	1079.12	9.7e-05
206	1079.12	9.7e-05
207	1079.12	9.7e-05
208	1079.13	9.7e-05
209	1079.14	9.7e-05
210	1079.17	9.7e-05
211	1079.13	9.7e-05
212	1079.15	9.7e-05
213	1079.15	9.7e-05
214	1079.1	9.7e-05
215	1079.11	9.7e-05
216	1079.13	9.7e-05
217	1079.13	9.7e-05
218	1079.12	9.7e-05
219	1079.14	9.7e-05
220	1079.13	9.7e-05
221	1079.12	9.7e-05
222	1079.1	9.7e-05
223	1079.12	9.7e-05
224	1079.13	9.7e-05
225	1079.14	9.7e-05
226	1079.11	9.7e-05
227	1079.13	9.7e-05
228	1079.12	9.7e-05
229	1079.14	9.7e-05
230	1079.13	9.7e-05
231	1079.14	9.7e-05
232	1079.14	9.7e-05
233	1079.12	9.7e-05
234	1079.12	9.7e-05
235	1079.11	9.7e-05
236	1079.12	9.7e-05
237	1079.12	9.7e-05
238	1079.12	9.7e-05
239	1079.11	9.7e-05
240	1079.14	9.7e-05
241	1079.15	9.7e-05
242	1079.14	9.7e-05
243	1079.12	9.7e-05
244	1079.13	9.7e-05
245	1079.14	9.7e-05
246	1079.1	9.7e-05
247	1079.11	9.7e-05
248	1079.14	9.7e-05
249	1079.13	9.7e-05
250	1079.11	9.7e-05
251	1079.13	9.7e-05
252	1079.13	9.7e-05
253	1079.13	9.7e-05
254	1079.15	9.7e-05
255	1079.15	9.7e-05
256	1079.12	9.7e-05
257	1079.13	9.7e-05
258	1079.14	9.7e-05
259	1079.15	9.7e-05
260	1079.15	9.7e-05
261	1079.13	9.7e-05
262	1079.13	9.7e-05
263	1079.14	9.7e-05
264	1079.13	9.7e-05
265	1079.14	9.7e-05
266	1079.1	9.7e-05
267	1079.13	9.7e-05
268	1079.1	9.7e-05
269	1079.12	9.7e-05
270	1079.11	9.7e-05
271	1079.12	9.7e-05
272	1079.12	9.7e-05
273	1079.11	9.7e-05
274	1079.12	9.7e-05
275	1079.12	9.7e-05
276	1079.12	9.7e-05
277	1079.11	9.7e-05
278	1079.1	9.7e-05
279	1079.1	9.7e-05
280	1079.09	9.7e-05
281	1079.11	9.7e-05
282	1079.09	9.7e-05
283	1079.11	9.7e-05
284	1079.1	9.7e-05
285	1079.11	9.7e-05
286	1079.13	9.7e-05
287	1079.1	9.7e-05
288	1079.1	9.7e-05
289	1079.12	9.7e-05
290	1079.11	9.7e-05
291	1079.12	9.7e-05
292	1079.14	9.7e-05
293	1079.12	9.7e-05
294	1079.11	9.7e-05
295	1079.12	9.7e-05
296	1079.13	9.7e-05
297	1079.1	9.7e-05
298	1079.12	9.7e-05
299	1079.1	9.7e-05
300	1079.14	9.7e-05
301	1079.13	9.7e-05
302	1079.11	9.7e-05
303	1079.13	9.7e-05
304	1079.13	9.7e-05
305	1079.13	9.7e-05
306	1079.13	9.7e-05
307	1079.13	9.7e-05
308	1079.12	9.7e-05
309	1079.12	9.7e-05
310	1079.11	9.7e-05
311	1079.1	9.7e-05
312	1079.11	9.7e-05
313	1079.09	9.7e-05
314	1079.1	9.7e-05
315	1079.11	9.7e-05
316	1079.1	9.7e-05
317	1079.11	9.7e-05
318	1079.1	9.7e-05
319	1079.1	9.7e-05
320	1079.12	9.7e-05
321	1079.12	9.7e-05
322	1079.1	9.7e-05
323	1079.12	9.7e-05
324	1079.1	9.7e-05
325	1079.09	9.7e-05
326	1079.11	9.7e-05
327	1079.12	9.7e-05
328	1079.1	9.7e-05
329	1079.12	9.7e-05
330	1079.11	9.7e-05
331	1079.12	9.7e-05
332	1079.11	9.7e-05
333	1079.11	9.7e-05
334	1079.13	9.7e-05
335	1079.12	9.7e-05
336	1079.12	9.7e-05
337	1079.11	9.7e-05
338	1079.12	9.7e-05
339	1079.11	9.7e-05
340	1079.13	9.7e-05
341	1079.11	9.7e-05
342	1079.13	9.7e-05
343	1079.13	9.7e-05
344	1079.1	9.7e-05
345	1079.09	9.7e-05
346	1079.11	9.7e-05
347	1079.07	9.7e-05
348	1079.15	9.7e-05
349	1079.12	9.7e-05
350	1079.12	9.7e-05
351	1079.08	9.7e-05
352	1079.11	9.7e-05
353	1079.09	9.7e-05
354	1079.13	9.7e-05
355	1079.13	9.7e-05
356	1079.12	9.7e-05
357	1079.11	9.7e-05
358	1079.12	9.7e-05
359	1079.12	9.7e-05
360	1079.12	9.7e-05
361	1079.13	9.7e-05
362	1079.11	9.7e-05
363	1079.11	9.7e-05
364	1079.14	9.7e-05
365	1079.12	9.7e-05
366	1079.13	9.7e-05
367	1079.13	9.7e-05
368	1079.16	9.7e-05
369	1079.14	9.7e-05
370	1079.12	9.7e-05
371	1079.15	9.7e-05
372	1079.14	9.7e-05
373	1079.16	9.7e-05
374	1079.16	9.7e-05
375	1079.14	9.7e-05
376	1079.12	9.7e-05
377	1079.14	9.7e-05
