N	Rq	dRq	R	dR
1	531581	1764.88	853.899	2.5797
2	529550	1764.25	860.403	2.58135
3	529594	1612.41	868.685	2.58079
4	527836	1609.92	877.788	2.58419
5	526103	1607.67	886.145	2.58832
6	524233	1605.62	895.864	2.59203
7	521824	1593.81	908.2	2.59859
8	519837	1601.98	919.694	2.6022
9	519261	1461.62	930.832	2.60714
10	516893	1448.87	945.028	2.61349
11	514630	1446.86	959.464	2.62332
12	512869	1330.04	979.536	2.63018
13	509927	1324.5	1000.06	2.64159
14	507966	1316.8	1015.51	2.65569
15	505685	1313.52	1033.72	2.6609
16	503445	1207.58	1061.85	2.68334
17	500605	1208.46	1086.68	2.73191
18	500048	1204.25	1092.13	2.72702
19	530868	1774.33	855.466	2.57787
20	502718	1294.97	1102.94	2.68748
21	496497	1192.13	1162.66	2.71702
22	496163	1195.4	1165.8	2.7186
23	494421	1109.37	1154.08	2.57975
24	494416	1039.55	1162.7	2.58059
25	493555	1034.52	1171.62	2.58961
26	492639	1027.3	1180.99	2.58716
27	491739	1028.23	1190.6	2.59109
28	490408	1027.32	1205.49	2.5969
29	489373	1026.16	1217.7	2.6049
30	488861	955.149	1235.98	2.61087
31	487207	954.197	1257.9	2.61388
32	487004	954.603	1260.69	2.65538
33	486159	952.804	1273.23	2.6205
34	485337	948.019	1285.63	2.62106
