T	Vbr	dT	dVbr
-3.632680997561730862e+01 2.343867716686796498e+01 4.011435076327845572e-01 2.338404643204141081e-03
-3.385697945536624331e+01 2.349369370396182433e+01 3.541994704919438908e-01 3.152450463098298208e-03
-2.777367229304843477e+01 2.362281864677927601e+01 3.775566294344620544e-01 3.073961584276771550e-03
-2.412061990518259336e+01 2.370167825603486733e+01 3.734019532764430993e-01 3.617152727349126455e-03
-1.950114470742425965e+01 2.379195766679429269e+01 4.295903304114139787e-01 2.328592949324898628e-03
-1.766057746064107192e+01 2.383643723738288500e+01 3.733371334910515205e-01 7.390532272682743577e-03
-1.426911168094415494e+01 2.392119669960854722e+01 3.693084222864352895e-01 1.371295975985059590e-02
-8.341434604422810040e+00 2.402406883334300147e+01 6.695295653212230969e-01 5.542734951668173635e-03
-4.244616383556476080e+00 2.411835492432853201e+01 6.077255447158336210e-01 3.000638928956283341e-03
3.225266249211207192e+00 2.427572694094431327e+01 5.112664800106355711e-01 1.964976644061519184e-03
1.966294928313277168e+01 2.462816700699918115e+01 5.353807514875591478e-01 2.059378288031990783e-03
2.636639580602883015e+01 2.477287263424927488e+01 4.182364145905645980e-01 9.912316819582121796e-03
