T   Vbr dT  dVbr
-3.636702490170379320e+01 2.342870072798210046e+01 5.970223077956777515e-03 1.027537815539544472e-02
-3.390994378913641327e+01 2.350281492071971101e+01 4.125675009332234293e-03 8.800693806403822247e-03
-2.772295441968836727e+01 2.363705639651672641e+01 4.652811455359374092e-03 1.115266652599795558e-02
-2.420902635794378099e+01 2.369908329243856926e+01 4.625443097437677634e-03 2.170029268735534575e-02
-1.968255366244355287e+01 2.379477263118810271e+01 7.015424292929396156e-03 1.164103591764150195e-02
-1.753984913353719577e+01 2.385164182763507412e+01 4.320718927712779295e-03 1.256496715744949942e-02
-1.442963506625891590e+01 2.398005743961228120e+01 3.965228870072861310e-03 1.242373487802963389e-01
-8.374961992136325861e+00 2.403339589905231577e+01 4.635560955616856854e-03 2.064592309401516723e-02
-4.157419542740656837e+00 2.412249826887687121e+01 5.326358160357785865e-03 1.149950661435606911e-02
3.125230814038157057e+00 2.427514884445684729e+01 7.940819907513099393e-03 8.637325291520179041e-03
1.923150138342795401e+01 2.461872933770519367e+01 9.246059318925064358e-03 9.231395254331278138e-03
2.579913208096698440e+01 2.474830698539181739e+01 9.761534557972030221e-03 1.193628841396082718e-02
