N	R	I
0	1078.74	9.7e-05
1	1078.75	9.7e-05
2	1078.76	9.7e-05
3	1078.74	9.7e-05
4	1078.74	9.7e-05
5	1078.75	9.7e-05
6	1078.73	9.7e-05
7	1078.73	9.7e-05
8	1078.74	9.7e-05
9	1078.74	9.7e-05
10	1078.75	9.7e-05
11	1078.75	9.7e-05
12	1078.75	9.7e-05
13	1078.76	9.7e-05
14	1078.75	9.7e-05
15	1078.74	9.7e-05
16	1078.77	9.7e-05
17	1078.76	9.7e-05
18	1078.76	9.7e-05
19	1078.75	9.7e-05
20	1078.77	9.7e-05
21	1078.79	9.7e-05
22	1078.77	9.7e-05
23	1078.77	9.7e-05
24	1078.74	9.7e-05
25	1078.76	9.7e-05
26	1078.77	9.7e-05
27	1078.74	9.7e-05
28	1078.75	9.7e-05
29	1078.75	9.7e-05
30	1078.73	9.7e-05
31	1078.74	9.7e-05
32	1078.75	9.7e-05
33	1078.74	9.7e-05
34	1078.75	9.7e-05
35	1078.73	9.7e-05
36	1078.75	9.7e-05
37	1078.72	9.7e-05
38	1078.73	9.7e-05
39	1078.74	9.7e-05
40	1078.72	9.7e-05
41	1078.73	9.7e-05
42	1078.73	9.7e-05
43	1078.77	9.7e-05
44	1078.73	9.7e-05
45	1078.73	9.7e-05
46	1078.75	9.7e-05
47	1078.74	9.7e-05
48	1078.76	9.7e-05
49	1078.76	9.7e-05
50	1078.77	9.7e-05
51	1078.76	9.7e-05
52	1078.77	9.7e-05
53	1078.79	9.7e-05
54	1078.78	9.7e-05
55	1078.77	9.7e-05
56	1078.76	9.7e-05
57	1078.79	9.7e-05
58	1078.79	9.7e-05
59	1078.77	9.7e-05
60	1078.74	9.7e-05
61	1078.78	9.7e-05
62	1078.78	9.7e-05
63	1078.77	9.7e-05
64	1078.75	9.7e-05
65	1078.77	9.7e-05
66	1078.74	9.7e-05
67	1078.77	9.7e-05
68	1078.74	9.7e-05
69	1078.78	9.7e-05
70	1078.78	9.7e-05
71	1078.79	9.7e-05
72	1078.78	9.7e-05
73	1078.79	9.7e-05
74	1078.78	9.7e-05
75	1078.77	9.7e-05
76	1078.78	9.7e-05
77	1078.76	9.7e-05
78	1078.79	9.7e-05
79	1078.77	9.7e-05
80	1078.76	9.7e-05
81	1078.79	9.7e-05
82	1078.78	9.7e-05
83	1078.78	9.7e-05
84	1078.8	9.7e-05
85	1078.81	9.7e-05
86	1078.77	9.7e-05
87	1078.78	9.7e-05
88	1078.78	9.7e-05
89	1078.81	9.7e-05
90	1078.79	9.7e-05
91	1078.8	9.7e-05
92	1078.8	9.7e-05
93	1078.79	9.7e-05
94	1078.8	9.7e-05
95	1078.82	9.7e-05
96	1078.8	9.7e-05
97	1078.79	9.7e-05
98	1078.82	9.7e-05
99	1078.8	9.7e-05
100	1078.77	9.7e-05
101	1078.79	9.7e-05
102	1078.82	9.7e-05
103	1078.79	9.7e-05
104	1078.78	9.7e-05
105	1078.81	9.7e-05
106	1078.81	9.7e-05
107	1078.82	9.7e-05
108	1078.81	9.7e-05
109	1078.81	9.7e-05
110	1078.83	9.7e-05
111	1078.83	9.7e-05
112	1078.79	9.7e-05
113	1078.81	9.7e-05
114	1078.78	9.7e-05
115	1078.8	9.7e-05
116	1078.79	9.7e-05
117	1078.78	9.7e-05
118	1078.78	9.7e-05
119	1078.79	9.7e-05
120	1078.77	9.7e-05
121	1078.8	9.7e-05
122	1078.78	9.7e-05
123	1078.8	9.7e-05
124	1078.79	9.7e-05
125	1078.77	9.7e-05
126	1078.8	9.7e-05
127	1078.82	9.7e-05
128	1078.8	9.7e-05
129	1078.82	9.7e-05
130	1078.81	9.7e-05
131	1078.8	9.7e-05
132	1078.82	9.7e-05
133	1078.82	9.7e-05
134	1078.83	9.7e-05
135	1078.8	9.7e-05
136	1078.81	9.7e-05
137	1078.83	9.7e-05
138	1078.84	9.7e-05
139	1078.81	9.7e-05
140	1078.82	9.7e-05
141	1078.83	9.7e-05
142	1078.81	9.7e-05
143	1078.82	9.7e-05
144	1078.82	9.7e-05
145	1078.83	9.7e-05
146	1078.83	9.7e-05
147	1078.83	9.7e-05
148	1078.82	9.7e-05
149	1078.79	9.7e-05
150	1078.78	9.7e-05
151	1078.82	9.7e-05
152	1078.82	9.7e-05
153	1078.82	9.7e-05
154	1078.8	9.7e-05
155	1078.81	9.7e-05
156	1078.81	9.7e-05
157	1078.79	9.7e-05
158	1078.78	9.7e-05
159	1078.8	9.7e-05
160	1078.78	9.7e-05
161	1078.77	9.7e-05
