N	R	I
0	1171.27	9.7e-05
1	1171.31	9.7e-05
2	1171.28	9.7e-05
3	1171.28	9.7e-05
4	1171.29	9.7e-05
5	1171.26	9.7e-05
6	1171.28	9.7e-05
7	1171.31	9.7e-05
8	1171.29	9.7e-05
9	1171.3	9.7e-05
10	1171.3	9.7e-05
11	1171.3	9.7e-05
12	1171.29	9.7e-05
13	1171.29	9.7e-05
14	1171.3	9.7e-05
15	1171.28	9.7e-05
16	1171.3	9.7e-05
17	1171.31	9.7e-05
18	1171.29	9.7e-05
19	1171.29	9.7e-05
20	1171.3	9.7e-05
21	1171.3	9.7e-05
22	1171.32	9.7e-05
23	1171.31	9.7e-05
24	1171.31	9.7e-05
25	1171.3	9.7e-05
26	1171.31	9.7e-05
27	1171.29	9.7e-05
28	1171.29	9.7e-05
29	1171.29	9.7e-05
30	1171.28	9.7e-05
31	1171.29	9.7e-05
32	1171.28	9.7e-05
33	1171.32	9.7e-05
34	1171.31	9.7e-05
35	1171.29	9.7e-05
36	1171.31	9.7e-05
37	1171.29	9.7e-05
38	1171.31	9.7e-05
39	1171.32	9.7e-05
40	1171.34	9.7e-05
41	1171.33	9.7e-05
42	1171.34	9.7e-05
43	1171.33	9.7e-05
44	1171.35	9.7e-05
45	1171.34	9.7e-05
46	1171.31	9.7e-05
47	1171.33	9.7e-05
48	1171.33	9.7e-05
49	1171.33	9.7e-05
50	1171.33	9.7e-05
51	1171.31	9.7e-05
52	1171.32	9.7e-05
53	1171.34	9.7e-05
54	1171.34	9.7e-05
55	1171.31	9.7e-05
56	1171.32	9.7e-05
57	1171.33	9.7e-05
58	1171.33	9.7e-05
59	1171.37	9.7e-05
60	1171.35	9.7e-05
61	1171.35	9.7e-05
62	1171.32	9.7e-05
63	1171.32	9.7e-05
64	1171.32	9.7e-05
65	1171.31	9.7e-05
66	1171.31	9.7e-05
67	1171.33	9.7e-05
68	1171.32	9.7e-05
69	1171.33	9.7e-05
70	1171.32	9.7e-05
71	1171.32	9.7e-05
72	1171.31	9.7e-05
73	1171.33	9.7e-05
74	1171.33	9.7e-05
75	1171.34	9.7e-05
76	1171.32	9.7e-05
77	1171.32	9.7e-05
78	1171.32	9.7e-05
79	1171.35	9.7e-05
80	1171.34	9.7e-05
81	1171.31	9.7e-05
82	1171.34	9.7e-05
83	1171.34	9.7e-05
84	1171.35	9.7e-05
85	1171.35	9.7e-05
86	1171.35	9.7e-05
87	1171.35	9.7e-05
88	1171.34	9.7e-05
89	1171.34	9.7e-05
90	1171.36	9.7e-05
91	1171.36	9.7e-05
92	1171.36	9.7e-05
93	1171.36	9.7e-05
94	1171.35	9.7e-05
95	1171.33	9.7e-05
96	1171.36	9.7e-05
97	1171.35	9.7e-05
98	1171.35	9.7e-05
99	1171.35	9.7e-05
