N	R	I
0	1079.78	9.7e-05
1	1079.77	9.7e-05
2	1079.8	9.7e-05
3	1079.8	9.7e-05
4	1079.81	9.7e-05
5	1079.81	9.7e-05
6	1079.82	9.7e-05
7	1079.78	9.7e-05
8	1079.77	9.7e-05
9	1079.79	9.7e-05
10	1079.81	9.7e-05
11	1079.82	9.7e-05
12	1079.82	9.7e-05
13	1079.78	9.7e-05
14	1079.79	9.7e-05
15	1079.8	9.7e-05
16	1079.81	9.7e-05
17	1079.8	9.7e-05
18	1079.79	9.7e-05
19	1079.8	9.7e-05
20	1079.81	9.7e-05
21	1079.8	9.7e-05
22	1079.8	9.7e-05
23	1079.8	9.7e-05
24	1079.82	9.7e-05
25	1079.81	9.7e-05
26	1079.79	9.7e-05
27	1079.81	9.7e-05
28	1079.81	9.7e-05
29	1079.81	9.7e-05
30	1079.81	9.7e-05
31	1079.81	9.7e-05
32	1079.82	9.7e-05
33	1079.83	9.7e-05
34	1079.82	9.7e-05
35	1079.84	9.7e-05
36	1079.82	9.7e-05
37	1079.83	9.7e-05
38	1079.84	9.7e-05
39	1079.84	9.7e-05
40	1079.82	9.7e-05
41	1079.82	9.7e-05
42	1079.83	9.7e-05
43	1079.82	9.7e-05
44	1079.81	9.7e-05
45	1079.82	9.7e-05
46	1079.82	9.7e-05
47	1079.83	9.7e-05
48	1079.84	9.7e-05
49	1079.82	9.7e-05
50	1079.83	9.7e-05
51	1079.83	9.7e-05
52	1079.83	9.7e-05
53	1079.83	9.7e-05
54	1079.83	9.7e-05
55	1079.83	9.7e-05
56	1079.84	9.7e-05
57	1079.85	9.7e-05
58	1079.84	9.7e-05
59	1079.83	9.7e-05
60	1079.83	9.7e-05
61	1079.82	9.7e-05
62	1079.85	9.7e-05
63	1079.83	9.7e-05
64	1079.82	9.7e-05
65	1079.81	9.7e-05
66	1079.8	9.7e-05
67	1079.81	9.7e-05
68	1079.82	9.7e-05
69	1079.8	9.7e-05
70	1079.84	9.7e-05
71	1079.82	9.7e-05
72	1079.81	9.7e-05
73	1079.84	9.7e-05
74	1079.83	9.7e-05
75	1079.84	9.7e-05
76	1079.82	9.7e-05
77	1079.83	9.7e-05
78	1079.82	9.7e-05
79	1079.83	9.7e-05
80	1079.84	9.7e-05
81	1079.82	9.7e-05
82	1079.81	9.7e-05
83	1079.83	9.7e-05
84	1079.8	9.7e-05
85	1079.81	9.7e-05
86	1079.8	9.7e-05
87	1079.84	9.7e-05
88	1079.84	9.7e-05
89	1079.83	9.7e-05
90	1079.85	9.7e-05
91	1079.84	9.7e-05
92	1079.82	9.7e-05
93	1079.81	9.7e-05
94	1079.81	9.7e-05
95	1079.82	9.7e-05
96	1079.8	9.7e-05
97	1079.81	9.7e-05
98	1079.82	9.7e-05
99	1079.82	9.7e-05
