N	R	I
0	1162.45	9.7e-05
1	1162.48	9.7e-05
2	1162.48	9.7e-05
3	1162.47	9.7e-05
4	1162.48	9.7e-05
5	1162.49	9.7e-05
6	1162.47	9.7e-05
7	1162.47	9.7e-05
8	1162.47	9.7e-05
9	1162.47	9.7e-05
10	1162.49	9.7e-05
11	1162.48	9.7e-05
12	1162.48	9.7e-05
13	1162.49	9.7e-05
14	1162.47	9.7e-05
15	1162.48	9.7e-05
16	1162.5	9.7e-05
17	1162.48	9.7e-05
18	1162.48	9.7e-05
19	1162.51	9.7e-05
20	1162.48	9.7e-05
21	1162.5	9.7e-05
22	1162.51	9.7e-05
23	1162.5	9.7e-05
24	1162.51	9.7e-05
25	1162.49	9.7e-05
26	1162.49	9.7e-05
27	1162.51	9.7e-05
28	1162.51	9.7e-05
29	1162.49	9.7e-05
30	1162.48	9.7e-05
31	1162.49	9.7e-05
32	1162.49	9.7e-05
33	1162.48	9.7e-05
34	1162.49	9.7e-05
35	1162.46	9.7e-05
36	1162.48	9.7e-05
37	1162.46	9.7e-05
38	1162.47	9.7e-05
39	1162.47	9.7e-05
40	1162.49	9.7e-05
41	1162.48	9.7e-05
42	1162.49	9.7e-05
43	1162.49	9.7e-05
44	1162.49	9.7e-05
45	1162.49	9.7e-05
46	1162.5	9.7e-05
47	1162.48	9.7e-05
48	1162.48	9.7e-05
49	1162.5	9.7e-05
50	1162.51	9.7e-05
51	1162.51	9.7e-05
52	1162.5	9.7e-05
53	1162.5	9.7e-05
54	1162.47	9.7e-05
55	1162.5	9.7e-05
56	1162.48	9.7e-05
57	1162.48	9.7e-05
58	1162.47	9.7e-05
59	1162.49	9.7e-05
60	1162.52	9.7e-05
61	1162.49	9.7e-05
62	1162.5	9.7e-05
63	1162.5	9.7e-05
64	1162.52	9.7e-05
65	1162.5	9.7e-05
66	1162.5	9.7e-05
67	1162.52	9.7e-05
68	1162.49	9.7e-05
69	1162.49	9.7e-05
70	1162.49	9.7e-05
71	1162.49	9.7e-05
72	1162.48	9.7e-05
73	1162.5	9.7e-05
74	1162.5	9.7e-05
75	1162.49	9.7e-05
76	1162.48	9.7e-05
77	1162.48	9.7e-05
78	1162.52	9.7e-05
79	1162.52	9.7e-05
80	1162.51	9.7e-05
81	1162.51	9.7e-05
82	1162.51	9.7e-05
83	1162.48	9.7e-05
84	1162.49	9.7e-05
85	1162.46	9.7e-05
86	1162.5	9.7e-05
87	1162.49	9.7e-05
88	1162.51	9.7e-05
89	1162.51	9.7e-05
90	1162.49	9.7e-05
91	1162.5	9.7e-05
92	1162.51	9.7e-05
93	1162.52	9.7e-05
94	1162.5	9.7e-05
95	1162.52	9.7e-05
96	1162.5	9.7e-05
97	1162.53	9.7e-05
98	1162.52	9.7e-05
99	1162.51	9.7e-05
