N	R	I
0	881.276	9.7e-05
1	881.277	9.7e-05
2	881.265	9.7e-05
3	881.276	9.7e-05
4	881.256	9.7e-05
5	881.278	9.7e-05
6	881.274	9.7e-05
7	881.263	9.7e-05
8	881.282	9.7e-05
9	881.272	9.7e-05
10	881.249	9.7e-05
11	881.247	9.7e-05
12	881.256	9.7e-05
13	881.262	9.7e-05
14	881.269	9.7e-05
15	881.252	9.7e-05
16	881.255	9.7e-05
17	881.256	9.7e-05
18	881.264	9.7e-05
19	881.27	9.7e-05
20	881.266	9.7e-05
21	881.282	9.7e-05
22	881.256	9.7e-05
23	881.288	9.7e-05
24	881.265	9.7e-05
25	881.271	9.7e-05
26	881.276	9.7e-05
27	881.262	9.7e-05
28	881.29	9.7e-05
29	881.289	9.7e-05
30	881.27	9.7e-05
31	881.299	9.7e-05
32	881.269	9.7e-05
33	881.268	9.7e-05
34	881.248	9.7e-05
35	881.286	9.7e-05
36	881.277	9.7e-05
37	881.283	9.7e-05
38	881.282	9.7e-05
39	881.273	9.7e-05
40	881.266	9.7e-05
41	881.281	9.7e-05
42	881.289	9.7e-05
43	881.284	9.7e-05
44	881.307	9.7e-05
45	881.286	9.7e-05
46	881.286	9.7e-05
47	881.285	9.7e-05
48	881.289	9.7e-05
49	881.276	9.7e-05
50	881.265	9.7e-05
51	881.256	9.7e-05
52	881.268	9.7e-05
53	881.271	9.7e-05
54	881.276	9.7e-05
55	881.28	9.7e-05
56	881.279	9.7e-05
57	881.281	9.7e-05
58	881.284	9.7e-05
59	881.288	9.7e-05
60	881.297	9.7e-05
61	881.284	9.7e-05
62	881.311	9.7e-05
63	881.295	9.7e-05
64	881.272	9.7e-05
65	881.301	9.7e-05
66	881.32	9.7e-05
67	881.304	9.7e-05
68	881.297	9.7e-05
69	881.29	9.7e-05
70	881.271	9.7e-05
71	881.282	9.7e-05
72	881.29	9.7e-05
73	881.3	9.7e-05
74	881.293	9.7e-05
75	881.291	9.7e-05
76	881.316	9.7e-05
77	881.298	9.7e-05
78	881.308	9.7e-05
79	881.314	9.7e-05
80	881.289	9.7e-05
81	881.282	9.7e-05
82	881.292	9.7e-05
83	881.289	9.7e-05
84	881.312	9.7e-05
85	881.299	9.7e-05
86	881.287	9.7e-05
87	881.307	9.7e-05
88	881.323	9.7e-05
89	881.315	9.7e-05
90	881.325	9.7e-05
91	881.314	9.7e-05
92	881.325	9.7e-05
93	881.331	9.7e-05
94	881.301	9.7e-05
95	881.312	9.7e-05
96	881.302	9.7e-05
97	881.296	9.7e-05
98	881.32	9.7e-05
99	881.317	9.7e-05
100	881.319	9.7e-05
101	881.312	9.7e-05
102	881.299	9.7e-05
103	881.296	9.7e-05
104	881.301	9.7e-05
105	881.313	9.7e-05
106	881.31	9.7e-05
107	881.294	9.7e-05
108	881.294	9.7e-05
109	881.277	9.7e-05
110	881.304	9.7e-05
111	881.269	9.7e-05
112	881.281	9.7e-05
113	881.283	9.7e-05
114	881.291	9.7e-05
115	881.299	9.7e-05
116	881.287	9.7e-05
117	881.288	9.7e-05
118	881.316	9.7e-05
119	881.288	9.7e-05
120	881.293	9.7e-05
121	881.303	9.7e-05
122	881.311	9.7e-05
123	881.322	9.7e-05
124	881.326	9.7e-05
125	881.301	9.7e-05
126	881.31	9.7e-05
127	881.293	9.7e-05
128	881.296	9.7e-05
129	881.306	9.7e-05
130	881.304	9.7e-05
131	881.312	9.7e-05
132	881.286	9.7e-05
133	881.317	9.7e-05
134	881.323	9.7e-05
135	881.314	9.7e-05
136	881.295	9.7e-05
137	881.326	9.7e-05
138	881.324	9.7e-05
139	881.305	9.7e-05
140	881.32	9.7e-05
141	881.29	9.7e-05
142	881.294	9.7e-05
143	881.297	9.7e-05
144	881.309	9.7e-05
145	881.325	9.7e-05
146	881.316	9.7e-05
147	881.313	9.7e-05
148	881.315	9.7e-05
149	881.282	9.7e-05
150	881.304	9.7e-05
151	881.306	9.7e-05
152	881.293	9.7e-05
153	881.311	9.7e-05
154	881.296	9.7e-05
155	881.294	9.7e-05
156	881.281	9.7e-05
157	881.28	9.7e-05
158	881.292	9.7e-05
159	881.292	9.7e-05
160	881.289	9.7e-05
161	881.292	9.7e-05
