N	R	I
0	944.386	9.7e-05
1	944.404	9.7e-05
2	944.387	9.7e-05
3	944.365	9.7e-05
4	944.406	9.7e-05
5	944.39	9.7e-05
6	944.392	9.7e-05
7	944.376	9.7e-05
8	944.382	9.7e-05
9	944.37	9.7e-05
10	944.406	9.7e-05
11	944.4	9.7e-05
12	944.391	9.7e-05
13	944.39	9.7e-05
14	944.388	9.7e-05
15	944.418	9.7e-05
16	944.422	9.7e-05
17	944.406	9.7e-05
18	944.413	9.7e-05
19	944.425	9.7e-05
20	944.406	9.7e-05
21	944.397	9.7e-05
22	944.388	9.7e-05
23	944.395	9.7e-05
24	944.393	9.7e-05
25	944.414	9.7e-05
26	944.417	9.7e-05
27	944.394	9.7e-05
28	944.407	9.7e-05
29	944.421	9.7e-05
30	944.409	9.7e-05
31	944.413	9.7e-05
32	944.406	9.7e-05
33	944.394	9.7e-05
34	944.409	9.7e-05
35	944.418	9.7e-05
36	944.418	9.7e-05
37	944.415	9.7e-05
38	944.434	9.7e-05
39	944.407	9.7e-05
40	944.426	9.7e-05
41	944.406	9.7e-05
42	944.399	9.7e-05
43	944.407	9.7e-05
44	944.403	9.7e-05
45	944.403	9.7e-05
46	944.395	9.7e-05
47	944.418	9.7e-05
48	944.427	9.7e-05
49	944.403	9.7e-05
50	944.398	9.7e-05
51	944.418	9.7e-05
52	944.423	9.7e-05
53	944.394	9.7e-05
54	944.422	9.7e-05
55	944.417	9.7e-05
56	944.419	9.7e-05
57	944.415	9.7e-05
58	944.427	9.7e-05
59	944.424	9.7e-05
60	944.437	9.7e-05
61	944.443	9.7e-05
62	944.422	9.7e-05
63	944.424	9.7e-05
64	944.432	9.7e-05
65	944.415	9.7e-05
66	944.395	9.7e-05
67	944.395	9.7e-05
68	944.383	9.7e-05
69	944.43	9.7e-05
70	944.424	9.7e-05
71	944.411	9.7e-05
72	944.389	9.7e-05
73	944.408	9.7e-05
74	944.405	9.7e-05
75	944.433	9.7e-05
76	944.435	9.7e-05
77	944.439	9.7e-05
78	944.435	9.7e-05
79	944.426	9.7e-05
80	944.443	9.7e-05
81	944.431	9.7e-05
82	944.422	9.7e-05
83	944.448	9.7e-05
84	944.432	9.7e-05
85	944.437	9.7e-05
86	944.437	9.7e-05
87	944.424	9.7e-05
88	944.448	9.7e-05
89	944.441	9.7e-05
90	944.431	9.7e-05
91	944.457	9.7e-05
92	944.437	9.7e-05
93	944.435	9.7e-05
94	944.438	9.7e-05
95	944.427	9.7e-05
96	944.424	9.7e-05
97	944.438	9.7e-05
98	944.426	9.7e-05
99	944.436	9.7e-05
