N	R	I
0	931.264	9.7e-05
1	931.226	9.7e-05
2	931.235	9.7e-05
3	931.232	9.7e-05
4	931.254	9.7e-05
5	931.279	9.7e-05
6	931.264	9.7e-05
7	931.252	9.7e-05
8	931.258	9.7e-05
9	931.257	9.7e-05
10	931.233	9.7e-05
11	931.255	9.7e-05
12	931.269	9.7e-05
13	931.228	9.7e-05
14	931.26	9.7e-05
15	931.255	9.7e-05
16	931.246	9.7e-05
17	931.234	9.7e-05
18	931.224	9.7e-05
19	931.245	9.7e-05
20	931.255	9.7e-05
21	931.264	9.7e-05
22	931.267	9.7e-05
23	931.268	9.7e-05
24	931.263	9.7e-05
25	931.243	9.7e-05
26	931.253	9.7e-05
27	931.253	9.7e-05
28	931.263	9.7e-05
29	931.249	9.7e-05
30	931.222	9.7e-05
31	931.217	9.7e-05
32	931.242	9.7e-05
33	931.249	9.7e-05
34	931.233	9.7e-05
35	931.226	9.7e-05
36	931.24	9.7e-05
37	931.241	9.7e-05
38	931.226	9.7e-05
39	931.223	9.7e-05
40	931.225	9.7e-05
41	931.227	9.7e-05
42	931.226	9.7e-05
43	931.237	9.7e-05
44	931.227	9.7e-05
45	931.244	9.7e-05
46	931.233	9.7e-05
47	931.24	9.7e-05
48	931.223	9.7e-05
49	931.219	9.7e-05
50	931.233	9.7e-05
51	931.241	9.7e-05
52	931.234	9.7e-05
53	931.234	9.7e-05
54	931.219	9.7e-05
55	931.226	9.7e-05
56	931.237	9.7e-05
57	931.217	9.7e-05
58	931.243	9.7e-05
59	931.233	9.7e-05
60	931.243	9.7e-05
61	931.242	9.7e-05
62	931.253	9.7e-05
63	931.246	9.7e-05
64	931.258	9.7e-05
65	931.247	9.7e-05
66	931.244	9.7e-05
67	931.25	9.7e-05
68	931.239	9.7e-05
69	931.238	9.7e-05
70	931.232	9.7e-05
71	931.249	9.7e-05
72	931.248	9.7e-05
73	931.232	9.7e-05
74	931.241	9.7e-05
75	931.245	9.7e-05
76	931.217	9.7e-05
77	931.241	9.7e-05
78	931.255	9.7e-05
79	931.261	9.7e-05
80	931.26	9.7e-05
81	931.264	9.7e-05
82	931.233	9.7e-05
83	931.243	9.7e-05
84	931.244	9.7e-05
85	931.251	9.7e-05
86	931.248	9.7e-05
87	931.255	9.7e-05
88	931.239	9.7e-05
89	931.244	9.7e-05
90	931.257	9.7e-05
91	931.262	9.7e-05
92	931.248	9.7e-05
93	931.254	9.7e-05
94	931.25	9.7e-05
95	931.247	9.7e-05
96	931.256	9.7e-05
97	931.256	9.7e-05
98	931.268	9.7e-05
99	931.255	9.7e-05
