V	I
0.0	5.96046e-08
0.01	-6.07967e-07
0.02	-5.96046e-07
0.03	-5.36442e-07
0.04	-6.79493e-07
0.05	-5.60284e-07
0.06	-5.72205e-07
0.07	-5.48363e-07
0.08	-6.19888e-07
0.09	-5.96046e-07
0.1	-1.4782e-06
0.11	-6.07967e-07
0.12	-6.79493e-07
0.13	-5.48363e-07
0.14	-5.60284e-07
0.15	-5.60284e-07
0.16	-5.24521e-07
0.17	-5.96046e-07
0.18	-6.19888e-07
0.19	-6.07967e-07
0.2	-7.51019e-07
0.21	-6.07967e-07
0.22	-5.84126e-07
0.23	-5.72205e-07
0.24	-5.24521e-07
0.25	-4.76837e-07
0.26	-5.72205e-07
0.27	-5.48363e-07
0.28	-4.76837e-07
0.29	-5.60284e-07
0.3	-5.60284e-07
0.31	-4.76837e-07
0.32	-4.88758e-07
0.33	-4.17233e-07
0.34	-4.29153e-07
0.35	-5.126e-07
0.36	-4.41074e-07
0.37	-3.33786e-07
0.38	-3.09944e-07
0.39	-1.19209e-07
0.4	2.38419e-08
0.41	1.90735e-07
0.42	5.126e-07
0.43	8.82149e-07
0.44	1.32322e-06
0.45	2.20537e-06
0.46	3.31402e-06
0.47	4.98295e-06
0.48	7.77245e-06
0.49	1.11938e-05
0.5	1.63555e-05
0.51	2.38776e-05
0.52	3.46184e-05
0.53	5.02706e-05
0.54	7.26342e-05
0.55	0.000104165
0.56	0.000147653
0.57	0.000206685
0.58	0.000284457
0.59	0.000383091
0.6	0.000504875
0.61	0.000651038
0.62	0.00081985
0.63	0.0010107
0.64	0.00122275
0.65	0.0014527
0.66	0.00169853
0.67	0.00195971
0.68	0.00223274
0.69	0.00251666
0.7	0.00281146
0.71	0.00311391
0.72	0.00342398
0.73	0.00374198
0.74	0.00406485
0.75	0.00439303
0.76	0.00472752
0.77	0.00506506
0.78	0.00540668
0.79	0.00575343
0.8	0.00610211
0.81	0.00645508
0.82	0.00680964
0.83	0.00716686
0.84	0.00752776
0.85	0.0078897
0.86	0.00825381
0.87	0.00862116
0.88	0.00898894
0.89	0.00935837
0.9	0.00973089
0.91	0.0101035
0.92	0.0104777
0.93	0.0108545
0.94	0.0112315
0.95	0.0116095
0.96	0.0119899
0.97	0.0123701
0.98	0.0127517
0.99	0.0131355
