N	R	I
0	881.428	9.7e-05
1	881.428	9.7e-05
2	881.423	9.7e-05
3	881.398	9.7e-05
4	881.392	9.7e-05
5	881.433	9.7e-05
6	881.439	9.7e-05
7	881.42	9.7e-05
8	881.43	9.7e-05
9	881.425	9.7e-05
10	881.412	9.7e-05
11	881.432	9.7e-05
12	881.427	9.7e-05
13	881.448	9.7e-05
14	881.441	9.7e-05
15	881.429	9.7e-05
16	881.425	9.7e-05
17	881.421	9.7e-05
18	881.421	9.7e-05
19	881.43	9.7e-05
20	881.425	9.7e-05
21	881.417	9.7e-05
22	881.431	9.7e-05
23	881.426	9.7e-05
24	881.42	9.7e-05
25	881.419	9.7e-05
26	881.427	9.7e-05
27	881.427	9.7e-05
28	881.437	9.7e-05
29	881.429	9.7e-05
30	881.427	9.7e-05
31	881.407	9.7e-05
32	881.407	9.7e-05
33	881.416	9.7e-05
34	881.409	9.7e-05
35	881.403	9.7e-05
36	881.4	9.7e-05
37	881.41	9.7e-05
38	881.409	9.7e-05
39	881.414	9.7e-05
40	881.448	9.7e-05
41	881.419	9.7e-05
42	881.422	9.7e-05
43	881.414	9.7e-05
44	881.388	9.7e-05
45	881.408	9.7e-05
46	881.41	9.7e-05
47	881.407	9.7e-05
48	881.41	9.7e-05
49	881.403	9.7e-05
50	881.411	9.7e-05
51	881.416	9.7e-05
52	881.431	9.7e-05
53	881.417	9.7e-05
54	881.434	9.7e-05
55	881.444	9.7e-05
56	881.421	9.7e-05
57	881.444	9.7e-05
58	881.405	9.7e-05
59	881.401	9.7e-05
60	881.418	9.7e-05
61	881.406	9.7e-05
62	881.406	9.7e-05
63	881.396	9.7e-05
64	881.416	9.7e-05
65	881.41	9.7e-05
66	881.403	9.7e-05
67	881.407	9.7e-05
68	881.4	9.7e-05
69	881.395	9.7e-05
70	881.388	9.7e-05
71	881.417	9.7e-05
72	881.403	9.7e-05
73	881.418	9.7e-05
74	881.418	9.7e-05
75	881.424	9.7e-05
76	881.401	9.7e-05
77	881.409	9.7e-05
78	881.405	9.7e-05
79	881.433	9.7e-05
80	881.401	9.7e-05
81	881.409	9.7e-05
82	881.427	9.7e-05
83	881.416	9.7e-05
84	881.415	9.7e-05
85	881.402	9.7e-05
86	881.424	9.7e-05
87	881.434	9.7e-05
88	881.409	9.7e-05
89	881.4	9.7e-05
90	881.406	9.7e-05
91	881.421	9.7e-05
92	881.416	9.7e-05
93	881.43	9.7e-05
94	881.425	9.7e-05
95	881.429	9.7e-05
96	881.412	9.7e-05
97	881.44	9.7e-05
98	881.425	9.7e-05
99	881.463	9.7e-05
100	881.457	9.7e-05
101	881.46	9.7e-05
102	881.443	9.7e-05
103	881.436	9.7e-05
104	881.43	9.7e-05
105	881.448	9.7e-05
106	881.423	9.7e-05
107	881.423	9.7e-05
108	881.446	9.7e-05
109	881.428	9.7e-05
110	881.447	9.7e-05
111	881.425	9.7e-05
112	881.415	9.7e-05
113	881.418	9.7e-05
114	881.433	9.7e-05
115	881.437	9.7e-05
116	881.414	9.7e-05
117	881.424	9.7e-05
118	881.43	9.7e-05
119	881.444	9.7e-05
120	881.423	9.7e-05
121	881.409	9.7e-05
122	881.434	9.7e-05
123	881.417	9.7e-05
124	881.424	9.7e-05
125	881.442	9.7e-05
126	881.443	9.7e-05
127	881.42	9.7e-05
128	881.425	9.7e-05
129	881.436	9.7e-05
130	881.425	9.7e-05
131	881.423	9.7e-05
132	881.431	9.7e-05
133	881.45	9.7e-05
134	881.439	9.7e-05
135	881.446	9.7e-05
136	881.459	9.7e-05
137	881.444	9.7e-05
138	881.432	9.7e-05
139	881.443	9.7e-05
140	881.447	9.7e-05
141	881.441	9.7e-05
142	881.468	9.7e-05
143	881.454	9.7e-05
144	881.456	9.7e-05
145	881.437	9.7e-05
146	881.452	9.7e-05
147	881.448	9.7e-05
148	881.438	9.7e-05
149	881.436	9.7e-05
150	881.456	9.7e-05
151	881.443	9.7e-05
152	881.447	9.7e-05
153	881.438	9.7e-05
154	881.414	9.7e-05
155	881.436	9.7e-05
156	881.452	9.7e-05
157	881.447	9.7e-05
158	881.446	9.7e-05
159	881.453	9.7e-05
160	881.453	9.7e-05
161	881.448	9.7e-05
