N	R	I
0	997.995	9.7e-05
1	998.017	9.7e-05
2	997.986	9.7e-05
3	998.004	9.7e-05
4	997.991	9.7e-05
5	997.991	9.7e-05
6	998.007	9.7e-05
7	998.002	9.7e-05
8	998.019	9.7e-05
9	998.034	9.7e-05
10	998.014	9.7e-05
11	997.982	9.7e-05
12	998.002	9.7e-05
13	997.998	9.7e-05
14	998.007	9.7e-05
15	998.006	9.7e-05
16	997.995	9.7e-05
17	998.022	9.7e-05
18	998.006	9.7e-05
19	998.011	9.7e-05
20	997.996	9.7e-05
21	997.98	9.7e-05
22	998.01	9.7e-05
23	998.011	9.7e-05
24	998.0	9.7e-05
25	998.014	9.7e-05
26	997.979	9.7e-05
27	998.016	9.7e-05
28	998.008	9.7e-05
29	997.999	9.7e-05
30	998.01	9.7e-05
31	997.981	9.7e-05
32	998.011	9.7e-05
33	998.004	9.7e-05
34	998.002	9.7e-05
35	997.998	9.7e-05
36	997.994	9.7e-05
37	997.986	9.7e-05
38	998.017	9.7e-05
39	997.997	9.7e-05
40	997.986	9.7e-05
41	997.996	9.7e-05
42	997.984	9.7e-05
43	998.009	9.7e-05
44	998.012	9.7e-05
45	998.023	9.7e-05
46	998.003	9.7e-05
47	998.006	9.7e-05
48	998.007	9.7e-05
49	998.021	9.7e-05
50	998.016	9.7e-05
51	997.974	9.7e-05
52	998.003	9.7e-05
53	998.008	9.7e-05
54	998.014	9.7e-05
55	997.984	9.7e-05
56	997.982	9.7e-05
57	997.995	9.7e-05
58	997.99	9.7e-05
59	997.98	9.7e-05
60	997.984	9.7e-05
61	997.995	9.7e-05
62	997.995	9.7e-05
63	997.997	9.7e-05
64	997.987	9.7e-05
65	997.991	9.7e-05
66	998.0	9.7e-05
67	997.982	9.7e-05
68	998.0	9.7e-05
69	998.021	9.7e-05
70	998.026	9.7e-05
71	998.029	9.7e-05
72	998.004	9.7e-05
73	998.028	9.7e-05
74	998.002	9.7e-05
75	997.987	9.7e-05
76	998.011	9.7e-05
77	998.043	9.7e-05
78	998.007	9.7e-05
79	998.026	9.7e-05
80	998.026	9.7e-05
81	998.0	9.7e-05
82	997.994	9.7e-05
83	998.009	9.7e-05
84	998.012	9.7e-05
85	998.016	9.7e-05
86	998.011	9.7e-05
87	997.997	9.7e-05
88	998.016	9.7e-05
89	998.024	9.7e-05
90	997.992	9.7e-05
91	998.001	9.7e-05
92	997.995	9.7e-05
93	997.988	9.7e-05
94	998.0	9.7e-05
95	997.998	9.7e-05
96	998.007	9.7e-05
97	997.997	9.7e-05
98	998.01	9.7e-05
99	998.023	9.7e-05
100	998.016	9.7e-05
101	998.016	9.7e-05
102	998.022	9.7e-05
103	998.016	9.7e-05
104	998.025	9.7e-05
105	998.048	9.7e-05
106	998.034	9.7e-05
107	998.029	9.7e-05
108	998.028	9.7e-05
109	998.029	9.7e-05
110	997.998	9.7e-05
111	998.029	9.7e-05
112	998.046	9.7e-05
113	998.018	9.7e-05
114	998.024	9.7e-05
115	998.033	9.7e-05
116	998.026	9.7e-05
117	998.026	9.7e-05
118	998.027	9.7e-05
119	998.028	9.7e-05
120	998.029	9.7e-05
121	998.03	9.7e-05
122	998.031	9.7e-05
123	998.047	9.7e-05
124	998.053	9.7e-05
125	998.049	9.7e-05
126	998.058	9.7e-05
127	998.061	9.7e-05
128	998.045	9.7e-05
129	998.056	9.7e-05
130	998.039	9.7e-05
131	998.047	9.7e-05
132	998.018	9.7e-05
133	998.04	9.7e-05
134	998.043	9.7e-05
135	998.022	9.7e-05
136	998.036	9.7e-05
137	998.056	9.7e-05
138	998.015	9.7e-05
139	998.043	9.7e-05
140	998.037	9.7e-05
141	998.048	9.7e-05
142	998.028	9.7e-05
143	998.035	9.7e-05
144	998.011	9.7e-05
145	998.029	9.7e-05
146	998.048	9.7e-05
147	998.064	9.7e-05
148	998.043	9.7e-05
149	998.052	9.7e-05
150	998.04	9.7e-05
151	998.056	9.7e-05
152	998.041	9.7e-05
153	998.024	9.7e-05
154	998.041	9.7e-05
155	998.019	9.7e-05
156	998.025	9.7e-05
157	998.047	9.7e-05
158	998.047	9.7e-05
159	998.037	9.7e-05
160	998.045	9.7e-05
161	998.04	9.7e-05
