N	R	I
0	998.229	9.7e-05
1	998.206	9.7e-05
2	998.221	9.7e-05
3	998.232	9.7e-05
4	998.241	9.7e-05
5	998.228	9.7e-05
6	998.215	9.7e-05
7	998.216	9.7e-05
8	998.205	9.7e-05
9	998.215	9.7e-05
10	998.212	9.7e-05
11	998.199	9.7e-05
12	998.215	9.7e-05
13	998.23	9.7e-05
14	998.217	9.7e-05
15	998.237	9.7e-05
16	998.234	9.7e-05
17	998.231	9.7e-05
18	998.224	9.7e-05
19	998.223	9.7e-05
20	998.213	9.7e-05
21	998.205	9.7e-05
22	998.213	9.7e-05
23	998.21	9.7e-05
24	998.217	9.7e-05
25	998.235	9.7e-05
26	998.218	9.7e-05
27	998.221	9.7e-05
28	998.215	9.7e-05
29	998.241	9.7e-05
30	998.249	9.7e-05
31	998.226	9.7e-05
32	998.227	9.7e-05
33	998.242	9.7e-05
34	998.249	9.7e-05
35	998.238	9.7e-05
36	998.238	9.7e-05
37	998.238	9.7e-05
38	998.228	9.7e-05
39	998.243	9.7e-05
40	998.256	9.7e-05
41	998.244	9.7e-05
42	998.239	9.7e-05
43	998.238	9.7e-05
44	998.229	9.7e-05
45	998.225	9.7e-05
46	998.236	9.7e-05
47	998.267	9.7e-05
48	998.257	9.7e-05
49	998.247	9.7e-05
50	998.236	9.7e-05
51	998.25	9.7e-05
52	998.262	9.7e-05
53	998.247	9.7e-05
54	998.235	9.7e-05
55	998.234	9.7e-05
56	998.245	9.7e-05
57	998.259	9.7e-05
58	998.252	9.7e-05
59	998.249	9.7e-05
60	998.237	9.7e-05
61	998.235	9.7e-05
62	998.245	9.7e-05
63	998.236	9.7e-05
64	998.247	9.7e-05
65	998.228	9.7e-05
66	998.228	9.7e-05
67	998.259	9.7e-05
68	998.234	9.7e-05
69	998.237	9.7e-05
70	998.261	9.7e-05
71	998.231	9.7e-05
72	998.224	9.7e-05
73	998.251	9.7e-05
74	998.241	9.7e-05
75	998.198	9.7e-05
76	998.212	9.7e-05
77	998.231	9.7e-05
78	998.232	9.7e-05
79	998.21	9.7e-05
80	998.185	9.7e-05
81	998.224	9.7e-05
82	998.234	9.7e-05
83	998.232	9.7e-05
84	998.246	9.7e-05
85	998.245	9.7e-05
86	998.244	9.7e-05
87	998.25	9.7e-05
88	998.239	9.7e-05
89	998.24	9.7e-05
90	998.246	9.7e-05
91	998.261	9.7e-05
92	998.247	9.7e-05
93	998.221	9.7e-05
94	998.252	9.7e-05
95	998.247	9.7e-05
96	998.256	9.7e-05
97	998.234	9.7e-05
98	998.256	9.7e-05
99	998.254	9.7e-05
100	998.268	9.7e-05
101	998.257	9.7e-05
102	998.242	9.7e-05
103	998.255	9.7e-05
104	998.245	9.7e-05
105	998.245	9.7e-05
106	998.239	9.7e-05
107	998.25	9.7e-05
108	998.27	9.7e-05
109	998.271	9.7e-05
110	998.281	9.7e-05
111	998.276	9.7e-05
112	998.271	9.7e-05
113	998.259	9.7e-05
114	998.259	9.7e-05
115	998.272	9.7e-05
116	998.252	9.7e-05
117	998.28	9.7e-05
118	998.26	9.7e-05
119	998.258	9.7e-05
120	998.248	9.7e-05
121	998.246	9.7e-05
122	998.226	9.7e-05
123	998.25	9.7e-05
124	998.259	9.7e-05
125	998.231	9.7e-05
126	998.225	9.7e-05
127	998.234	9.7e-05
128	998.233	9.7e-05
129	998.254	9.7e-05
130	998.245	9.7e-05
131	998.263	9.7e-05
132	998.255	9.7e-05
133	998.235	9.7e-05
134	998.264	9.7e-05
135	998.257	9.7e-05
136	998.282	9.7e-05
137	998.28	9.7e-05
138	998.255	9.7e-05
139	998.257	9.7e-05
140	998.257	9.7e-05
141	998.238	9.7e-05
142	998.244	9.7e-05
143	998.25	9.7e-05
144	998.254	9.7e-05
145	998.268	9.7e-05
146	998.267	9.7e-05
147	998.272	9.7e-05
148	998.252	9.7e-05
149	998.238	9.7e-05
150	998.252	9.7e-05
151	998.234	9.7e-05
152	998.263	9.7e-05
153	998.271	9.7e-05
154	998.271	9.7e-05
155	998.27	9.7e-05
156	998.243	9.7e-05
157	998.245	9.7e-05
158	998.245	9.7e-05
159	998.233	9.7e-05
160	998.245	9.7e-05
161	998.253	9.7e-05
