N	R	I
0	1001.76	9.7e-05
1	1001.74	9.7e-05
2	1001.75	9.7e-05
3	1001.77	9.7e-05
4	1001.79	9.7e-05
5	1001.78	9.7e-05
6	1001.76	9.7e-05
7	1001.78	9.7e-05
8	1001.75	9.7e-05
9	1001.77	9.7e-05
10	1001.77	9.7e-05
11	1001.76	9.7e-05
12	1001.77	9.7e-05
13	1001.75	9.7e-05
14	1001.77	9.7e-05
15	1001.77	9.7e-05
16	1001.79	9.7e-05
17	1001.77	9.7e-05
18	1001.76	9.7e-05
19	1001.76	9.7e-05
20	1001.77	9.7e-05
21	1001.76	9.7e-05
22	1001.77	9.7e-05
23	1001.74	9.7e-05
24	1001.76	9.7e-05
25	1001.77	9.7e-05
26	1001.77	9.7e-05
27	1001.77	9.7e-05
28	1001.78	9.7e-05
29	1001.78	9.7e-05
30	1001.77	9.7e-05
31	1001.78	9.7e-05
32	1001.79	9.7e-05
33	1001.77	9.7e-05
34	1001.78	9.7e-05
35	1001.79	9.7e-05
36	1001.79	9.7e-05
37	1001.79	9.7e-05
38	1001.79	9.7e-05
39	1001.78	9.7e-05
40	1001.78	9.7e-05
41	1001.78	9.7e-05
42	1001.79	9.7e-05
43	1001.76	9.7e-05
44	1001.81	9.7e-05
45	1001.78	9.7e-05
46	1001.74	9.7e-05
47	1001.76	9.7e-05
48	1001.76	9.7e-05
49	1001.77	9.7e-05
50	1001.76	9.7e-05
51	1001.74	9.7e-05
52	1001.75	9.7e-05
53	1001.76	9.7e-05
54	1001.75	9.7e-05
55	1001.78	9.7e-05
56	1001.77	9.7e-05
57	1001.77	9.7e-05
58	1001.78	9.7e-05
59	1001.77	9.7e-05
60	1001.76	9.7e-05
61	1001.76	9.7e-05
62	1001.75	9.7e-05
63	1001.77	9.7e-05
64	1001.79	9.7e-05
65	1001.78	9.7e-05
66	1001.77	9.7e-05
67	1001.76	9.7e-05
68	1001.77	9.7e-05
69	1001.77	9.7e-05
70	1001.76	9.7e-05
71	1001.77	9.7e-05
72	1001.75	9.7e-05
73	1001.78	9.7e-05
74	1001.76	9.7e-05
75	1001.77	9.7e-05
76	1001.77	9.7e-05
77	1001.77	9.7e-05
78	1001.76	9.7e-05
79	1001.76	9.7e-05
80	1001.78	9.7e-05
81	1001.79	9.7e-05
82	1001.79	9.7e-05
83	1001.79	9.7e-05
84	1001.79	9.7e-05
85	1001.8	9.7e-05
86	1001.79	9.7e-05
87	1001.82	9.7e-05
88	1001.81	9.7e-05
89	1001.81	9.7e-05
90	1001.82	9.7e-05
91	1001.81	9.7e-05
92	1001.81	9.7e-05
93	1001.82	9.7e-05
94	1001.8	9.7e-05
95	1001.81	9.7e-05
96	1001.79	9.7e-05
97	1001.79	9.7e-05
98	1001.79	9.7e-05
99	1001.8	9.7e-05
