N	R	I
0	979.075	9.7e-05
1	979.088	9.7e-05
2	979.08	9.7e-05
3	979.102	9.7e-05
4	979.089	9.7e-05
5	979.091	9.7e-05
6	979.085	9.7e-05
7	979.093	9.7e-05
8	979.067	9.7e-05
9	979.092	9.7e-05
10	979.096	9.7e-05
11	979.097	9.7e-05
12	979.09	9.7e-05
13	979.086	9.7e-05
14	979.079	9.7e-05
15	979.104	9.7e-05
16	979.094	9.7e-05
17	979.088	9.7e-05
18	979.092	9.7e-05
19	979.084	9.7e-05
20	979.066	9.7e-05
21	979.078	9.7e-05
22	979.093	9.7e-05
23	979.135	9.7e-05
24	979.111	9.7e-05
25	979.109	9.7e-05
26	979.101	9.7e-05
27	979.087	9.7e-05
28	979.087	9.7e-05
29	979.067	9.7e-05
30	979.081	9.7e-05
31	979.097	9.7e-05
32	979.083	9.7e-05
33	979.092	9.7e-05
34	979.095	9.7e-05
35	979.085	9.7e-05
36	979.082	9.7e-05
37	979.105	9.7e-05
38	979.092	9.7e-05
39	979.105	9.7e-05
40	979.105	9.7e-05
41	979.097	9.7e-05
42	979.079	9.7e-05
43	979.09	9.7e-05
44	979.099	9.7e-05
45	979.086	9.7e-05
46	979.069	9.7e-05
47	979.099	9.7e-05
48	979.101	9.7e-05
49	979.09	9.7e-05
50	979.109	9.7e-05
51	979.106	9.7e-05
52	979.123	9.7e-05
53	979.12	9.7e-05
54	979.12	9.7e-05
55	979.105	9.7e-05
56	979.072	9.7e-05
57	979.093	9.7e-05
58	979.079	9.7e-05
59	979.104	9.7e-05
60	979.08	9.7e-05
61	979.08	9.7e-05
62	979.087	9.7e-05
63	979.098	9.7e-05
64	979.099	9.7e-05
65	979.108	9.7e-05
66	979.104	9.7e-05
67	979.112	9.7e-05
68	979.086	9.7e-05
69	979.078	9.7e-05
70	979.105	9.7e-05
71	979.097	9.7e-05
72	979.096	9.7e-05
73	979.082	9.7e-05
74	979.094	9.7e-05
75	979.123	9.7e-05
76	979.114	9.7e-05
77	979.085	9.7e-05
78	979.107	9.7e-05
79	979.092	9.7e-05
80	979.103	9.7e-05
81	979.105	9.7e-05
82	979.119	9.7e-05
83	979.126	9.7e-05
84	979.105	9.7e-05
85	979.111	9.7e-05
86	979.105	9.7e-05
87	979.109	9.7e-05
88	979.143	9.7e-05
89	979.101	9.7e-05
90	979.101	9.7e-05
91	979.103	9.7e-05
92	979.106	9.7e-05
93	979.112	9.7e-05
94	979.102	9.7e-05
95	979.102	9.7e-05
96	979.095	9.7e-05
97	979.105	9.7e-05
98	979.122	9.7e-05
99	979.119	9.7e-05
